DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,408.55,425.0,403.85,410.0,410.45,SIYSIL
2021-07-15,423.65,424.5,405.0,405.9,406.5,SIYSIL
2021-07-14,413.0,428.0,409.1,417.0,420.15,SIYSIL
2021-07-13,415.0,456.0,408.85,409.3,411.8,SIYSIL
2021-07-12,354.0,418.8,349.0,418.8,418.8,SIYSIL
2021-07-09,324.0,359.2,323.15,353.85,349.0,SIYSIL
2021-07-08,318.0,328.75,315.4,323.55,322.95,SIYSIL
2021-07-07,309.95,313.5,308.05,311.0,309.8,SIYSIL
2021-07-06,310.0,316.7,306.35,311.0,308.4,SIYSIL
2021-07-05,311.0,311.4,305.75,309.8,309.15,SIYSIL
2021-07-02,311.9,312.5,307.95,309.8,309.2,SIYSIL
2021-07-01,308.0,317.65,305.0,310.0,310.6,SIYSIL
2021-06-30,315.0,316.45,304.65,305.8,306.45,SIYSIL
2021-06-29,317.95,321.95,312.0,314.8,313.85,SIYSIL
2021-06-28,319.9,323.4,315.55,317.55,316.7,SIYSIL
2021-06-25,323.5,325.8,316.45,317.05,318.3,SIYSIL
2021-06-24,326.5,326.8,320.75,325.0,323.2,SIYSIL
2021-06-23,319.05,328.55,316.85,327.0,324.1,SIYSIL
2021-06-22,314.9,333.7,312.0,317.0,316.15,SIYSIL
2021-06-21,309.0,317.0,305.45,312.2,312.8,SIYSIL
2021-06-18,313.5,317.0,297.0,308.0,308.4,SIYSIL
2021-06-17,306.1,318.0,305.95,314.0,311.05,SIYSIL
2021-06-16,321.4,321.5,309.6,312.5,311.45,SIYSIL
2021-06-15,306.4,323.5,302.6,320.35,320.35,SIYSIL
2021-06-14,307.55,307.55,288.45,302.1,304.1,SIYSIL
2021-06-11,310.5,314.3,305.1,308.4,307.55,SIYSIL
2021-06-10,309.95,314.4,309.0,309.1,310.05,SIYSIL
2021-06-09,316.0,319.95,305.0,309.95,307.15,SIYSIL
2021-06-08,309.95,317.9,309.95,314.0,315.0,SIYSIL
2021-06-07,320.5,322.85,301.85,310.05,307.4,SIYSIL
2021-06-04,319.0,325.0,309.25,318.1,318.4,SIYSIL
2021-06-03,308.5,321.35,307.65,316.45,317.7,SIYSIL
2021-06-02,288.1,309.7,286.55,305.0,303.6,SIYSIL
2021-06-01,265.5,297.0,262.5,289.45,286.65,SIYSIL
2021-05-31,283.0,283.45,263.0,265.0,264.55,SIYSIL
2021-05-28,292.0,298.4,280.65,283.0,282.85,SIYSIL
2021-05-27,282.7,282.95,266.0,273.0,273.35,SIYSIL
2021-05-26,281.3,294.35,280.1,282.7,282.5,SIYSIL
2021-05-25,255.75,282.0,254.95,278.55,277.6,SIYSIL
2021-05-24,243.9,258.95,240.5,253.9,253.15,SIYSIL
2021-05-21,239.0,246.0,235.0,240.0,240.15,SIYSIL
2021-05-20,225.05,227.7,220.8,225.0,224.25,SIYSIL
2021-05-19,221.05,225.3,219.05,224.5,224.5,SIYSIL
2021-05-18,215.2,223.0,211.6,221.3,219.95,SIYSIL
2021-05-17,210.0,216.4,206.65,214.8,213.6,SIYSIL
2021-05-14,208.9,211.15,202.8,207.0,205.0,SIYSIL
2021-05-12,214.45,216.35,204.5,209.4,207.0,SIYSIL
2021-05-11,207.9,218.85,206.1,210.2,212.65,SIYSIL
2021-05-10,213.4,214.0,207.8,209.4,209.2,SIYSIL
2021-05-07,212.6,213.7,209.55,210.0,210.75,SIYSIL
2021-05-06,216.2,217.8,208.95,214.0,212.25,SIYSIL
2021-05-05,207.7,235.8,207.7,213.35,214.6,SIYSIL
2021-05-04,204.45,212.0,202.6,206.6,205.05,SIYSIL
2021-05-03,197.5,207.0,196.0,204.5,203.4,SIYSIL
2021-04-30,190.4,198.05,189.0,196.5,196.25,SIYSIL
2021-04-29,196.0,196.0,190.2,191.0,191.75,SIYSIL
2021-04-28,193.0,199.2,189.0,193.4,194.85,SIYSIL
2021-04-27,192.95,192.95,188.5,191.15,191.15,SIYSIL
2021-04-26,187.6,193.05,187.6,191.8,189.15,SIYSIL
2021-04-23,183.1,192.2,183.1,187.0,187.1,SIYSIL
2021-04-22,187.7,188.95,186.0,186.75,186.45,SIYSIL
2021-04-20,186.85,192.2,185.6,186.85,187.25,SIYSIL
2021-04-19,187.1,188.8,185.0,186.0,185.9,SIYSIL
2021-04-16,190.85,198.8,189.5,192.5,193.3,SIYSIL
2021-04-15,194.0,194.0,186.4,188.4,188.7,SIYSIL
2021-04-13,187.15,195.35,187.15,194.0,192.5,SIYSIL
2021-04-12,200.0,200.0,185.35,187.25,189.25,SIYSIL
2021-04-09,212.0,213.55,205.5,207.15,206.4,SIYSIL
2021-04-08,189.0,217.3,188.65,211.1,211.9,SIYSIL
2021-04-07,186.4,190.0,186.1,188.95,188.9,SIYSIL
2021-04-06,186.2,188.55,184.2,185.6,185.45,SIYSIL
2021-04-05,187.25,191.0,182.0,186.5,185.25,SIYSIL
2021-04-01,189.95,195.0,189.4,191.1,190.95,SIYSIL
2021-03-31,190.85,191.25,182.75,187.0,186.4,SIYSIL
2021-03-30,186.35,194.9,186.05,190.0,189.95,SIYSIL
2021-03-26,187.0,190.85,184.9,189.0,185.4,SIYSIL
2021-03-25,198.5,198.5,185.0,189.0,187.4,SIYSIL
2021-03-24,197.0,202.0,191.0,196.0,198.5,SIYSIL
2021-03-23,201.0,205.7,198.0,198.7,199.05,SIYSIL
2021-03-22,202.0,202.6,198.05,200.25,200.15,SIYSIL
2021-03-19,200.2,204.0,196.0,202.0,202.45,SIYSIL
2021-03-18,211.1,217.95,198.2,208.0,204.2,SIYSIL
2021-03-17,216.65,216.95,208.6,210.9,209.85,SIYSIL
2021-03-16,214.45,218.85,212.55,215.0,216.85,SIYSIL
2021-03-15,220.0,220.0,209.0,215.55,214.35,SIYSIL
2021-03-12,219.0,220.35,214.1,216.2,216.15,SIYSIL
2021-03-10,208.9,215.15,204.2,213.2,213.95,SIYSIL
2021-03-09,208.9,211.8,201.2,207.0,207.65,SIYSIL
2021-03-08,210.2,216.75,204.45,209.0,207.8,SIYSIL
2021-03-05,219.9,221.45,203.95,210.8,208.4,SIYSIL
2021-03-04,215.8,222.1,215.6,218.3,218.65,SIYSIL
2021-03-03,220.8,224.05,214.5,216.0,217.1,SIYSIL
2021-03-02,220.65,225.0,217.6,220.5,220.8,SIYSIL
2021-03-01,216.65,224.35,216.65,221.0,219.55,SIYSIL
2021-02-26,215.25,221.8,212.0,215.0,215.55,SIYSIL
2021-02-25,225.0,227.05,221.0,221.5,221.9,SIYSIL
2021-02-24,221.5,229.95,210.0,224.0,223.5,SIYSIL
2021-02-23,208.0,224.65,205.1,221.0,219.75,SIYSIL
2021-02-22,207.0,214.75,205.75,206.25,207.6,SIYSIL
2021-02-19,197.85,214.5,195.45,205.05,205.45,SIYSIL
2021-02-18,194.8,199.2,194.7,198.35,198.0,SIYSIL
2021-02-17,192.95,201.45,191.75,194.05,193.85,SIYSIL
2021-02-16,192.6,194.05,188.75,192.4,192.15,SIYSIL
2021-02-15,192.75,193.5,189.9,191.5,192.05,SIYSIL
2021-02-12,197.05,197.35,190.35,192.0,191.8,SIYSIL
2021-02-11,197.0,198.5,195.35,196.5,196.05,SIYSIL
2021-02-10,195.1,199.7,192.5,197.5,197.0,SIYSIL
2021-02-09,197.0,198.0,194.5,197.0,196.65,SIYSIL
2021-02-08,204.8,204.8,194.1,197.0,196.15,SIYSIL
2021-02-05,201.55,202.95,192.0,195.7,194.7,SIYSIL
2021-02-04,205.95,205.95,199.55,200.65,200.5,SIYSIL
2021-02-03,206.7,208.65,202.5,204.5,204.3,SIYSIL
2021-02-02,197.95,203.3,191.0,201.0,201.15,SIYSIL
2021-02-01,184.15,193.5,179.85,191.9,190.25,SIYSIL
2021-01-29,184.0,187.55,180.0,180.25,183.2,SIYSIL
2021-01-28,184.0,186.8,180.1,183.1,182.55,SIYSIL
2021-01-27,185.55,189.95,183.0,184.7,185.05,SIYSIL
2021-01-25,192.95,194.9,185.0,186.2,185.5,SIYSIL
2021-01-22,192.7,195.2,187.65,193.25,191.95,SIYSIL
2021-01-21,197.7,200.65,191.05,194.1,192.35,SIYSIL
2021-01-20,197.95,202.0,196.0,197.2,197.7,SIYSIL
2021-01-19,189.45,198.85,189.45,195.5,195.15,SIYSIL
2021-01-18,196.95,196.95,186.0,189.9,188.5,SIYSIL
2021-01-15,198.05,201.45,195.0,199.0,196.25,SIYSIL
2021-01-14,202.8,202.85,198.0,199.0,198.85,SIYSIL
2021-01-13,205.9,205.9,199.65,202.5,202.55,SIYSIL
2021-01-12,201.5,208.2,198.95,204.15,204.5,SIYSIL
2021-01-11,206.45,208.0,197.3,201.1,200.6,SIYSIL
2021-01-08,200.9,209.4,200.2,205.15,205.4,SIYSIL
2021-01-07,204.0,207.55,199.05,200.0,199.9,SIYSIL
2021-01-06,210.1,210.7,200.05,202.0,202.7,SIYSIL
2021-01-05,207.5,212.0,207.5,210.0,209.05,SIYSIL
2021-01-04,215.4,217.0,205.9,210.2,211.15,SIYSIL
2021-01-01,196.8,212.8,196.8,212.8,211.1,SIYSIL
2020-12-31,197.35,201.0,192.3,196.5,195.8,SIYSIL
2020-12-30,196.0,198.9,193.55,196.0,196.35,SIYSIL
2020-12-29,200.45,201.2,193.8,195.0,195.0,SIYSIL
2020-12-28,193.15,201.65,192.0,198.55,199.45,SIYSIL
2020-12-24,196.8,197.8,190.0,192.0,192.15,SIYSIL
2020-12-23,182.4,196.5,180.0,194.5,194.9,SIYSIL
2020-12-22,175.0,182.0,166.9,182.0,180.7,SIYSIL
2020-12-21,195.35,202.9,170.25,175.0,177.1,SIYSIL
2020-12-18,201.35,202.8,186.25,196.0,195.35,SIYSIL
2020-12-17,207.75,215.5,199.9,201.35,201.15,SIYSIL
2020-12-16,207.0,214.0,202.1,206.4,206.8,SIYSIL
2020-12-15,182.2,204.9,176.8,202.25,201.25,SIYSIL
2020-12-14,176.0,182.0,175.25,180.6,180.4,SIYSIL
2020-12-11,180.7,181.6,173.6,174.0,175.15,SIYSIL
2020-12-10,182.0,183.8,174.6,177.95,177.6,SIYSIL
2020-12-09,185.0,186.8,180.95,183.0,183.25,SIYSIL
2020-12-08,183.25,185.45,174.0,184.95,184.5,SIYSIL
2020-12-07,176.9,184.95,174.5,183.25,181.7,SIYSIL
2020-12-04,174.7,177.55,172.0,173.8,173.4,SIYSIL
2020-12-03,172.4,173.9,170.05,171.3,171.2,SIYSIL
2020-12-02,171.2,175.0,167.25,169.0,169.95,SIYSIL
2020-12-01,162.0,173.9,161.95,171.5,170.2,SIYSIL
2020-11-27,163.0,164.95,160.3,161.0,161.3,SIYSIL
2020-11-26,157.0,162.45,154.05,162.0,160.7,SIYSIL
2020-11-25,162.0,164.0,154.55,155.0,156.6,SIYSIL
2020-11-24,165.0,168.0,158.1,160.95,160.9,SIYSIL
2020-11-23,154.25,161.0,151.05,159.5,159.2,SIYSIL
2020-11-20,155.0,158.05,150.9,154.0,154.0,SIYSIL
2020-11-19,146.95,157.65,146.55,153.55,154.25,SIYSIL
2020-11-18,144.9,150.0,144.1,148.75,148.45,SIYSIL
2020-11-17,140.15,146.8,138.15,143.9,145.2,SIYSIL
2020-11-14,136.9,138.9,135.6,137.5,137.75,SIYSIL
2020-11-13,137.2,137.2,134.5,135.0,134.95,SIYSIL
2020-11-12,138.2,139.35,136.2,136.2,136.6,SIYSIL
2020-11-11,137.9,137.9,133.65,134.8,134.95,SIYSIL
2020-11-10,137.4,141.0,134.05,135.5,135.55,SIYSIL
2020-11-09,136.25,165.05,134.95,136.9,136.8,SIYSIL
2020-11-06,139.25,142.4,136.0,136.25,137.55,SIYSIL
2020-11-05,141.1,142.45,138.05,139.0,138.7,SIYSIL
2020-11-04,137.7,141.0,135.8,141.0,140.4,SIYSIL
2020-11-03,135.1,138.4,135.1,137.55,137.05,SIYSIL
2020-11-02,137.35,140.45,135.0,135.95,136.45,SIYSIL
2020-10-30,138.4,141.1,136.5,137.1,137.35,SIYSIL
2020-10-29,140.0,141.1,137.0,138.4,139.35,SIYSIL
2020-10-28,140.0,142.35,139.15,140.0,140.0,SIYSIL
2020-10-27,143.05,144.0,141.0,141.45,141.45,SIYSIL
2020-10-26,145.05,146.25,142.0,142.5,142.8,SIYSIL
2020-10-23,144.5,146.0,142.6,145.0,145.05,SIYSIL
2020-10-22,141.1,144.9,140.05,142.4,142.1,SIYSIL
2020-10-21,144.65,144.9,140.85,141.9,141.7,SIYSIL
2020-10-20,144.0,145.0,141.05,143.5,142.0,SIYSIL
2020-10-19,144.45,145.25,142.0,143.05,143.8,SIYSIL
2020-10-16,141.85,144.05,139.0,142.55,141.35,SIYSIL
2020-10-15,144.5,146.3,139.5,139.9,140.3,SIYSIL
2020-10-14,144.8,145.0,139.7,144.05,144.55,SIYSIL
2020-10-13,146.0,148.7,140.05,142.0,142.95,SIYSIL
