DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,122.05,134.55,121.8,127.0,126.45,SMARTLINK
2021-07-15,122.9,126.5,121.1,121.2,121.95,SMARTLINK
2021-07-14,125.0,126.9,121.55,121.55,121.95,SMARTLINK
2021-07-13,123.65,128.5,121.35,124.0,124.6,SMARTLINK
2021-07-12,125.9,130.0,120.0,122.9,122.45,SMARTLINK
2021-07-09,112.0,129.9,110.3,124.5,127.25,SMARTLINK
2021-07-08,109.55,114.9,109.1,110.65,111.1,SMARTLINK
2021-07-07,111.0,113.35,109.5,110.9,110.15,SMARTLINK
2021-07-06,111.55,113.4,108.6,109.0,109.2,SMARTLINK
2021-07-05,111.0,114.45,110.3,111.5,111.25,SMARTLINK
2021-07-02,112.0,114.95,109.5,110.6,110.55,SMARTLINK
2021-07-01,117.4,117.4,111.0,112.2,112.5,SMARTLINK
2021-06-30,107.65,119.8,107.65,112.8,113.1,SMARTLINK
2021-06-29,110.45,110.75,106.2,107.45,107.45,SMARTLINK
2021-06-28,113.7,113.95,109.1,109.1,109.75,SMARTLINK
2021-06-25,107.0,119.0,104.3,112.3,113.05,SMARTLINK
2021-06-24,110.35,113.0,108.0,108.5,108.7,SMARTLINK
2021-06-23,113.8,115.6,108.0,109.25,109.1,SMARTLINK
2021-06-22,122.0,122.0,111.25,113.6,114.0,SMARTLINK
2021-06-21,100.15,122.55,97.85,122.55,122.1,SMARTLINK
2021-06-18,112.0,114.85,96.4,102.7,102.15,SMARTLINK
2021-06-17,118.6,124.9,108.25,111.4,110.8,SMARTLINK
2021-06-16,98.95,117.0,96.5,117.0,117.0,SMARTLINK
2021-06-15,96.75,98.7,95.05,97.0,97.5,SMARTLINK
2021-06-14,97.0,98.7,94.3,95.4,95.85,SMARTLINK
2021-06-11,98.8,103.0,94.1,97.0,96.85,SMARTLINK
2021-06-10,94.0,101.9,93.9,97.8,98.15,SMARTLINK
2021-06-09,96.5,97.7,93.6,94.55,94.05,SMARTLINK
2021-06-08,98.0,98.0,95.1,96.55,95.9,SMARTLINK
2021-06-07,96.0,100.8,93.6,99.0,98.05,SMARTLINK
2021-06-04,98.0,98.95,94.75,97.5,96.3,SMARTLINK
2021-06-03,93.4,95.0,92.8,93.0,93.05,SMARTLINK
2021-06-02,93.05,94.95,93.0,93.05,93.4,SMARTLINK
