DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,612.5,614.95,582.0,586.25,585.35,688.35,200.25,SOBHA
2021-07-26,607.7,626.9,605.5,609.9,608.95,688.35,200.25,SOBHA
2021-07-23,605.9,635.0,594.05,601.1,604.7,688.35,200.25,SOBHA
2021-07-22,611.4,619.85,595.55,602.55,602.25,688.35,200.25,SOBHA
2021-07-20,621.05,627.5,590.2,608.0,608.15,688.35,200.25,SOBHA
2021-07-19,645.0,656.0,615.35,620.75,620.65,688.35,200.25,SOBHA
2021-07-16,679.0,688.35,645.0,652.0,658.3,688.35,200.25,SOBHA
2021-07-15,562.0,678.3,552.55,670.0,673.5,678.3,200.25,SOBHA
2021-07-14,579.0,579.0,560.3,563.05,565.25,581.9,200.25,SOBHA
2021-07-13,577.9,581.9,565.35,579.05,577.3,581.9,200.25,SOBHA
2021-07-12,560.0,578.5,552.05,573.15,572.7,578.5,200.25,SOBHA
2021-07-09,566.05,572.6,548.0,558.0,556.1,572.6,200.25,SOBHA
2021-07-08,525.0,559.6,520.5,555.0,548.35,559.6,200.25,SOBHA
2021-07-07,512.6,535.65,505.3,521.0,516.95,548.5,200.25,SOBHA
2021-07-06,482.85,496.7,480.65,491.0,490.9,548.5,200.25,SOBHA
2021-07-05,471.0,483.35,468.0,480.0,479.5,548.5,200.25,SOBHA
2021-07-02,473.0,473.85,462.0,465.0,464.8,548.5,200.25,SOBHA
2021-07-01,472.9,474.5,469.05,470.05,470.55,548.5,200.25,SOBHA
2021-06-30,481.45,486.85,465.65,472.0,471.05,548.5,200.25,SOBHA
2021-06-29,473.5,484.5,473.0,479.0,479.1,548.5,200.25,SOBHA
2021-06-28,461.0,478.9,461.0,473.7,471.35,548.5,200.25,SOBHA
2021-06-25,477.0,477.0,459.0,459.65,460.75,548.5,200.25,SOBHA
2021-06-24,494.6,495.0,466.1,468.65,467.85,548.5,200.25,SOBHA
2021-06-23,490.0,494.7,480.0,482.0,482.35,548.5,200.25,SOBHA
2021-06-22,511.0,520.0,498.0,502.0,502.75,548.5,200.25,SOBHA
2021-06-21,494.0,509.85,487.85,504.5,505.6,548.5,200.25,SOBHA
2021-06-18,495.45,502.8,478.15,500.55,499.3,548.5,200.25,SOBHA
2021-06-17,499.7,506.05,491.0,494.9,494.1,548.5,200.25,SOBHA
2021-06-16,517.0,517.0,500.9,502.55,502.5,548.5,200.25,SOBHA
