DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,112.0,112.0,107.7,108.25,227.75,66.1,SORILINFRA
2021-11-11,107.6,112.85,107.5,109.85,227.75,66.1,SORILINFRA
2021-11-10,112.35,114.95,105.65,107.6,227.75,66.1,SORILINFRA
2021-11-09,113.8,115.0,112.0,112.35,227.75,66.1,SORILINFRA
2021-11-08,111.65,114.9,111.65,112.7,227.75,66.1,SORILINFRA
2021-11-04,113.0,113.0,110.5,111.65,227.75,65.35,SORILINFRA
2021-11-03,112.35,114.75,110.0,111.0,227.75,65.35,SORILINFRA
2021-11-02,112.5,115.5,111.15,112.25,227.75,65.35,SORILINFRA
2021-11-01,111.4,113.45,110.05,110.8,227.75,65.35,SORILINFRA
2021-10-29,109.0,111.65,108.0,109.2,227.75,64.0,SORILINFRA
2021-10-28,111.55,113.5,107.0,108.8,227.75,64.0,SORILINFRA
2021-10-27,114.0,114.3,110.95,112.0,227.75,64.0,SORILINFRA
2021-10-26,113.0,114.5,111.0,113.0,227.75,64.0,SORILINFRA
2021-10-25,115.8,115.8,109.0,110.6,227.75,64.0,SORILINFRA
2021-10-22,116.0,117.8,110.55,111.85,227.75,60.55,SORILINFRA
2021-10-21,117.0,119.45,112.75,114.15,227.75,60.55,SORILINFRA
2021-10-20,120.95,120.95,112.65,115.3,227.75,60.55,SORILINFRA
2021-10-19,126.0,128.8,118.0,119.6,227.75,60.55,SORILINFRA
2021-10-18,117.4,134.7,117.4,124.9,227.75,60.55,SORILINFRA
2021-10-14,116.7,121.5,116.0,117.25,227.75,56.9,SORILINFRA
2021-10-13,121.2,121.95,115.3,115.8,227.75,56.9,SORILINFRA
2021-10-12,119.75,122.0,119.0,120.2,227.75,56.9,SORILINFRA
2021-10-11,122.45,124.95,118.25,119.7,227.75,56.9,SORILINFRA
2021-10-08,117.3,128.0,116.9,121.25,227.75,56.9,SORILINFRA
2021-10-07,115.0,123.15,114.55,116.25,227.75,56.9,SORILINFRA
