DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-05-11,0.65,0.65,0.65,0.65,0.65,SPYL
2021-05-10,0.6,0.6,0.6,0.6,0.6,SPYL
2021-05-07,0.5,0.55,0.45,0.55,0.55,SPYL
2021-05-06,0.4,0.5,0.4,0.5,0.5,SPYL
2021-05-05,0.45,0.45,0.4,0.45,0.45,SPYL
2021-05-04,0.45,0.45,0.4,0.45,0.45,SPYL
2021-05-03,0.4,0.45,0.35,0.45,0.45,SPYL
2021-04-30,0.4,0.4,0.35,0.4,0.4,SPYL
2021-04-29,0.35,0.4,0.35,0.4,0.4,SPYL
2021-04-28,0.4,0.4,0.35,0.35,0.35,SPYL
2021-04-27,0.35,0.4,0.35,0.35,0.4,SPYL
2021-04-26,0.35,0.4,0.35,0.35,0.35,SPYL
2021-04-23,0.4,0.4,0.35,0.35,0.35,SPYL
2021-04-22,0.35,0.4,0.35,0.4,0.35,SPYL
2021-04-20,0.4,0.4,0.35,0.35,0.4,SPYL
2021-04-19,0.4,0.4,0.35,0.35,0.4,SPYL
2021-04-16,0.4,0.4,0.35,0.4,0.4,SPYL
2021-04-15,0.35,0.4,0.35,0.4,0.4,SPYL
2021-04-13,0.4,0.4,0.35,0.35,0.35,SPYL
2021-04-12,0.4,0.4,0.35,0.35,0.4,SPYL
2021-04-09,0.4,0.4,0.35,0.35,0.35,SPYL
2021-04-08,0.35,0.4,0.35,0.35,0.35,SPYL
2021-04-07,0.35,0.4,0.35,0.35,0.35,SPYL
2021-04-06,0.4,0.4,0.35,0.4,0.4,SPYL
2021-04-05,0.4,0.4,0.35,0.35,0.4,SPYL
2021-04-01,0.4,0.4,0.35,0.35,0.4,SPYL
2021-03-31,0.35,0.4,0.35,0.4,0.4,SPYL
2021-03-30,0.4,0.45,0.35,0.4,0.4,SPYL
2021-03-26,0.4,0.45,0.35,0.45,0.4,SPYL
2021-03-25,0.4,0.4,0.35,0.4,0.4,SPYL
2021-03-24,0.35,0.45,0.35,0.4,0.35,SPYL
2021-03-23,0.4,0.4,0.35,0.4,0.4,SPYL
2021-03-22,0.35,0.4,0.35,0.4,0.4,SPYL
2021-03-19,0.4,0.4,0.35,0.4,0.35,SPYL
2021-03-18,0.4,0.4,0.35,0.4,0.4,SPYL
2021-03-17,0.4,0.4,0.35,0.4,0.4,SPYL
2021-03-16,0.4,0.4,0.35,0.4,0.4,SPYL
2021-03-15,0.45,0.45,0.4,0.4,0.4,SPYL
2021-03-12,0.45,0.45,0.4,0.4,0.45,SPYL
2021-03-10,0.4,0.45,0.4,0.4,0.4,SPYL
2021-03-09,0.45,0.45,0.35,0.45,0.45,SPYL
2021-03-08,0.45,0.45,0.35,0.35,0.4,SPYL
2020-11-27,0.6,0.6,0.6,0.6,0.6,SPYL
2020-11-26,0.55,0.55,0.5,0.55,0.55,SPYL
2020-11-25,0.45,0.5,0.45,0.5,0.5,SPYL
2020-11-24,0.4,0.45,0.35,0.45,0.45,SPYL
2020-11-23,0.35,0.4,0.35,0.4,0.4,SPYL
2020-11-20,0.4,0.4,0.35,0.4,0.4,SPYL
2020-11-19,0.4,0.4,0.35,0.4,0.4,SPYL
2020-11-18,0.3,0.35,0.3,0.35,0.35,SPYL
2020-11-17,0.3,0.35,0.3,0.35,0.3,SPYL
2020-11-14,0.3,0.3,0.3,0.3,0.3,SPYL
2020-11-13,0.35,0.35,0.3,0.35,0.3,SPYL
2020-11-12,0.35,0.4,0.3,0.35,0.35,SPYL
2020-11-11,0.35,0.35,0.3,0.35,0.35,SPYL
2020-11-10,0.3,0.35,0.3,0.3,0.3,SPYL
