DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,187.35,193.7,185.55,190.0,189.35,SREEL
2021-07-15,193.8,193.8,186.35,186.35,187.3,SREEL
2021-07-14,191.4,195.7,189.05,192.6,191.2,SREEL
2021-07-13,192.4,193.85,189.0,190.0,191.4,SREEL
2021-07-12,191.25,197.0,191.2,192.2,193.1,SREEL
2021-07-09,194.7,196.8,187.6,193.4,190.9,SREEL
2021-07-08,196.85,200.25,194.2,194.35,195.25,SREEL
2021-07-07,197.1,199.5,193.05,199.5,196.85,SREEL
2021-07-06,193.6,206.0,192.7,197.0,197.4,SREEL
2021-07-05,198.4,198.95,194.0,196.7,197.3,SREEL
2021-07-02,201.05,202.05,190.8,193.65,193.35,SREEL
2021-07-01,202.55,207.25,196.35,198.95,199.4,SREEL
2021-06-30,207.0,212.9,203.35,207.65,207.35,SREEL
2021-06-29,203.3,211.35,201.0,205.05,205.05,SREEL
2021-06-28,214.5,214.5,201.35,203.7,203.3,SREEL
2021-06-25,208.9,214.0,205.5,208.65,209.05,SREEL
2021-06-24,207.9,215.0,207.9,209.0,208.9,SREEL
2021-06-23,206.85,214.05,200.3,206.0,207.9,SREEL
2021-06-22,208.0,208.0,199.4,201.65,201.25,SREEL
2021-06-21,202.9,208.5,195.05,202.8,202.35,SREEL
2021-06-18,195.25,217.8,195.25,204.8,205.0,SREEL
2021-06-17,202.0,205.95,192.8,194.0,194.55,SREEL
2021-06-16,202.8,207.55,197.5,199.0,198.8,SREEL
2021-06-15,207.2,214.0,203.35,205.85,204.4,SREEL
2021-06-14,215.35,215.35,201.0,211.25,211.4,SREEL
2021-06-11,238.0,238.0,205.6,217.95,215.35,SREEL
2021-06-10,178.65,212.3,177.0,212.3,212.3,SREEL
2021-06-09,179.45,184.5,175.05,178.3,176.95,SREEL
2021-06-08,175.0,186.0,171.65,180.0,179.45,SREEL
2021-06-07,171.0,177.0,169.05,172.5,172.5,SREEL
2021-06-04,167.4,174.7,166.8,170.0,171.0,SREEL
2021-06-03,171.0,173.95,167.0,171.1,170.2,SREEL
2021-06-02,170.9,177.65,160.0,174.6,173.35,SREEL
2021-06-01,166.85,167.35,159.5,166.0,165.6,SREEL
2021-05-31,174.8,174.85,161.6,162.25,162.45,SREEL
2021-05-28,170.0,172.85,163.25,168.0,166.9,SREEL
2021-05-27,168.0,180.7,159.0,165.15,168.9,SREEL
2021-05-26,149.85,166.8,149.85,165.0,164.45,SREEL
2021-05-25,155.05,158.55,152.3,155.05,155.4,SREEL
2021-05-24,150.0,157.15,148.65,156.6,155.9,SREEL
2021-05-21,157.05,157.05,150.55,154.0,153.05,SREEL
2021-05-20,147.75,161.7,145.0,154.6,157.05,SREEL
2021-05-19,145.8,151.35,144.1,146.2,146.3,SREEL
2021-05-18,142.75,146.7,141.95,146.0,145.8,SREEL
2021-05-17,140.6,143.5,140.55,141.4,142.5,SREEL
2021-05-14,144.95,145.0,140.0,140.3,140.3,SREEL
2021-05-12,144.0,145.3,141.35,144.4,143.0,SREEL
2021-05-11,141.6,144.0,140.0,144.0,142.55,SREEL
2021-05-10,140.8,144.45,140.6,142.0,142.8,SREEL
2021-05-07,141.1,143.45,140.1,140.95,140.85,SREEL
2021-05-06,138.8,145.4,138.6,141.0,141.1,SREEL
2021-05-05,138.9,140.95,138.85,140.85,139.8,SREEL
2021-05-04,142.0,142.0,138.6,140.2,140.15,SREEL
2021-05-03,136.35,140.25,136.35,139.5,139.25,SREEL
2021-04-30,138.6,139.85,137.0,138.95,138.45,SREEL
2021-04-29,142.0,142.0,135.25,138.7,138.2,SREEL
2021-04-28,141.05,143.0,139.0,140.15,140.35,SREEL
2021-04-27,141.05,143.05,139.15,139.6,141.1,SREEL
2021-04-26,136.6,142.95,136.6,141.0,140.95,SREEL
2021-04-23,137.1,140.7,136.65,140.0,139.6,SREEL
2021-04-22,138.05,139.75,137.0,138.95,137.75,SREEL
2021-04-20,141.75,144.65,138.25,142.0,139.75,SREEL
2021-04-19,140.25,140.25,137.3,137.95,137.85,SREEL
2021-04-16,140.65,142.95,140.05,140.2,140.25,SREEL
2021-04-15,141.5,144.4,137.55,143.85,140.45,SREEL
2021-04-13,137.25,143.9,137.25,141.05,141.5,SREEL
2021-04-12,143.0,144.75,140.0,140.5,140.6,SREEL
2021-04-09,144.05,146.4,143.55,144.5,144.05,SREEL
2021-04-08,147.95,149.95,141.3,142.85,142.05,SREEL
2021-04-07,142.7,145.5,139.9,144.1,143.6,SREEL
2021-04-06,143.0,148.9,141.0,143.1,143.85,SREEL
2021-04-05,147.05,149.6,142.35,143.55,143.4,SREEL
2021-04-01,149.9,151.75,146.45,147.5,147.6,SREEL
2021-03-31,155.45,155.45,146.35,148.0,148.75,SREEL
2021-03-30,148.0,169.9,146.6,152.3,155.45,SREEL
2021-03-26,145.35,146.95,141.3,141.35,142.85,SREEL
2021-03-25,144.95,146.45,136.05,144.0,143.55,SREEL
2021-03-24,149.35,149.35,143.3,144.2,144.6,SREEL
2021-03-23,145.2,149.8,143.45,149.8,147.0,SREEL
2021-03-22,145.0,145.0,143.05,145.0,145.0,SREEL
2021-03-19,144.15,145.65,141.05,145.65,145.0,SREEL
2021-03-18,146.25,148.0,145.0,145.0,145.15,SREEL
2021-03-17,147.6,147.65,145.6,146.0,146.95,SREEL
2021-03-16,149.7,152.05,146.05,147.0,147.2,SREEL
2021-03-15,147.6,149.5,145.1,145.65,146.3,SREEL
2021-03-12,148.4,148.7,145.0,146.55,146.05,SREEL
2021-03-10,149.0,149.0,145.0,148.9,147.0,SREEL
