DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,33.0,34.45,32.3,33.65,44.8,27.1,SRPL
2021-11-11,33.05,34.95,33.05,33.5,44.8,27.1,SRPL
2021-11-10,31.5,34.6,31.5,34.3,44.8,27.1,SRPL
2021-11-09,35.4,35.4,33.05,33.05,44.8,27.1,SRPL
2021-11-08,35.6,36.45,33.85,33.85,44.8,27.1,SRPL
2021-11-04,34.2,35.8,34.2,35.6,44.8,27.1,SRPL
2021-11-03,32.8,34.4,32.35,34.15,44.8,27.1,SRPL
2021-11-02,32.75,32.85,30.1,32.8,44.8,27.1,SRPL
2021-11-01,33.4,33.4,30.65,31.3,44.8,27.1,SRPL
2021-10-29,35.4,35.4,32.25,32.25,44.8,27.1,SRPL
2021-10-28,34.8,34.85,31.85,33.9,44.8,27.1,SRPL
2021-10-27,33.2,36.45,33.2,33.45,44.8,27.1,SRPL
2021-10-26,34.85,34.9,33.2,34.9,44.8,27.1,SRPL
2021-10-25,34.85,34.9,33.85,34.9,44.8,27.1,SRPL
2021-10-22,38.0,38.0,35.2,35.6,44.8,27.1,SRPL
2021-10-21,37.45,37.45,33.95,37.0,44.8,27.1,SRPL
2021-10-20,35.7,35.8,32.5,35.7,44.8,27.1,SRPL
2021-10-19,35.7,35.7,32.7,34.1,44.8,27.1,SRPL
2021-10-18,31.6,34.05,31.6,34.0,44.8,27.1,SRPL
2021-10-14,33.0,34.45,32.1,32.45,44.8,27.1,SRPL
2021-10-13,34.9,34.9,33.15,33.45,44.8,27.1,SRPL
2021-10-12,35.9,35.9,33.0,33.95,44.8,27.1,SRPL
2021-02-01,41.0,44.8,38.9,43.1,44.8,27.1,SRPL
2021-01-29,37.35,37.35,33.4,37.35,43.35,27.1,SRPL
2021-01-28,33.05,33.05,31.1,31.15,43.35,27.1,SRPL
2021-01-27,31.0,34.0,30.25,33.0,43.35,27.1,SRPL
2021-01-25,31.55,31.55,31.5,31.5,43.35,27.1,SRPL
2021-01-22,31.2,32.2,31.2,31.5,43.35,27.1,SRPL
2021-01-21,32.05,34.0,31.05,31.15,43.35,27.1,SRPL
2021-01-20,32.3,32.4,32.2,32.35,43.35,27.1,SRPL
2021-01-19,35.55,35.55,32.95,32.95,43.35,27.1,SRPL
2021-01-18,33.6,33.6,30.2,32.9,43.35,27.1,SRPL
2021-01-15,32.6,34.9,32.0,33.9,43.35,27.1,SRPL
2021-01-14,32.95,33.0,32.2,32.85,43.35,27.1,SRPL
2021-01-13,33.0,33.4,32.1,33.0,43.35,27.1,SRPL
