DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,730.2,747.8,725.0,728.5,861.9,382.1,SUMMITSEC
2021-11-11,779.85,779.85,736.3,746.9,861.9,382.1,SUMMITSEC
2021-11-10,739.95,750.0,735.0,740.3,861.9,382.1,SUMMITSEC
2021-11-09,734.9,743.0,730.0,740.75,861.9,382.1,SUMMITSEC
2021-11-08,717.25,734.7,716.5,729.45,861.9,382.1,SUMMITSEC
2021-11-04,722.0,734.95,715.0,722.4,861.9,382.1,SUMMITSEC
2021-11-03,711.0,721.85,710.1,714.85,861.9,382.1,SUMMITSEC
2021-11-02,710.35,717.0,705.1,710.25,861.9,382.1,SUMMITSEC
2021-11-01,700.1,717.95,700.1,709.0,861.9,382.1,SUMMITSEC
2021-10-29,705.0,710.9,687.5,694.35,861.9,376.05,SUMMITSEC
2021-10-28,727.0,727.0,702.6,707.5,861.9,376.05,SUMMITSEC
2021-10-27,717.8,736.6,712.1,715.55,861.9,376.05,SUMMITSEC
2021-10-26,707.05,723.9,701.0,712.95,861.9,376.05,SUMMITSEC
2021-10-25,756.3,756.3,706.0,711.05,861.9,376.05,SUMMITSEC
2021-10-22,745.7,768.0,739.6,745.15,861.9,376.05,SUMMITSEC
2021-10-21,742.0,747.95,732.5,740.7,861.9,376.05,SUMMITSEC
2021-10-20,752.9,752.9,730.2,734.3,861.9,376.05,SUMMITSEC
2021-10-19,768.0,774.95,750.05,751.75,861.9,376.05,SUMMITSEC
2021-10-18,770.0,770.0,761.0,762.95,861.9,376.05,SUMMITSEC
2021-10-14,773.0,775.85,761.0,766.15,861.9,376.05,SUMMITSEC
2021-10-13,761.05,773.0,741.0,759.15,861.9,376.05,SUMMITSEC
2021-10-12,779.05,800.7,750.1,761.0,861.9,376.05,SUMMITSEC
2021-10-11,777.65,820.0,775.0,779.05,861.9,376.05,SUMMITSEC
2021-10-08,778.4,788.1,765.1,774.4,861.9,376.05,SUMMITSEC
2021-10-07,777.2,791.0,772.0,778.4,861.9,376.05,SUMMITSEC
2021-10-06,787.0,792.9,765.0,771.3,861.9,376.05,SUMMITSEC
2021-10-05,794.35,807.05,780.0,786.1,861.9,376.05,SUMMITSEC
2021-10-04,788.7,820.0,780.0,793.7,861.9,376.05,SUMMITSEC
2021-10-01,767.65,788.25,760.05,766.55,861.9,376.05,SUMMITSEC
2021-09-30,776.2,785.55,766.25,774.95,861.9,376.05,SUMMITSEC
2021-09-29,775.35,782.2,768.0,771.3,861.9,376.05,SUMMITSEC
2021-09-28,787.5,799.15,771.6,780.35,861.9,376.05,SUMMITSEC
2021-09-27,792.05,816.8,789.1,795.45,861.9,376.05,SUMMITSEC
2021-09-24,813.5,830.0,803.1,811.2,861.9,376.05,SUMMITSEC
2021-09-23,816.0,830.0,797.25,810.8,861.9,376.05,SUMMITSEC
2021-09-22,811.5,830.15,789.95,801.95,861.9,376.05,SUMMITSEC
2021-09-21,829.0,849.0,798.0,811.45,861.9,376.05,SUMMITSEC
2021-09-20,799.0,837.95,780.0,814.35,861.9,376.05,SUMMITSEC
2021-09-17,797.85,798.0,752.5,774.85,861.9,376.05,SUMMITSEC
2021-09-16,784.0,808.55,778.1,789.75,861.9,376.05,SUMMITSEC
2021-09-15,730.05,837.4,730.0,775.55,861.9,376.05,SUMMITSEC
2021-09-14,711.75,738.5,711.75,728.65,861.9,376.05,SUMMITSEC
2021-09-13,705.0,729.0,705.0,715.35,861.9,376.05,SUMMITSEC
2021-09-09,714.95,727.55,711.5,716.4,861.9,375.6,SUMMITSEC
2021-09-08,711.15,725.9,709.5,714.35,861.9,375.6,SUMMITSEC
2021-09-07,717.7,717.75,707.0,707.8,861.9,375.6,SUMMITSEC
2021-09-06,719.0,730.0,706.25,717.65,861.9,375.6,SUMMITSEC
2021-09-03,670.0,724.0,670.0,705.3,861.9,375.6,SUMMITSEC
2021-09-02,666.3,679.95,663.0,676.15,861.9,375.6,SUMMITSEC
2021-09-01,666.0,685.0,649.0,672.15,861.9,375.6,SUMMITSEC
2021-08-31,665.0,668.95,651.05,665.2,861.9,375.6,SUMMITSEC
2021-08-30,660.3,666.6,649.0,654.0,861.9,375.6,SUMMITSEC
2021-08-27,655.0,658.35,649.0,650.4,861.9,375.6,SUMMITSEC
2021-08-26,663.0,663.0,645.9,651.3,861.9,375.6,SUMMITSEC
2021-08-25,652.85,672.0,647.0,655.3,861.9,375.6,SUMMITSEC
2021-08-24,650.65,660.0,645.5,649.9,861.9,375.6,SUMMITSEC
2021-08-23,685.0,691.15,625.0,649.0,861.9,375.6,SUMMITSEC
2021-08-20,712.0,718.15,673.0,679.7,861.9,375.6,SUMMITSEC
2021-08-18,707.95,729.7,698.0,713.55,861.9,375.6,SUMMITSEC
2021-08-17,703.9,705.45,693.0,700.55,861.9,375.6,SUMMITSEC
2021-08-16,705.0,708.0,695.0,700.35,861.9,375.6,SUMMITSEC
2021-08-13,727.9,727.9,700.0,704.9,861.9,365.9,SUMMITSEC
2021-08-12,717.05,727.95,706.05,710.6,861.9,365.9,SUMMITSEC
2021-08-11,703.0,725.0,688.05,702.95,861.9,365.9,SUMMITSEC
2021-08-10,770.45,774.0,704.0,719.55,861.9,365.9,SUMMITSEC
2021-08-09,768.5,790.0,755.0,768.1,861.9,365.9,SUMMITSEC
2021-08-06,775.0,775.2,755.5,758.85,861.9,350.05,SUMMITSEC
2021-08-05,774.8,788.2,736.25,758.05,861.9,350.05,SUMMITSEC
2021-08-04,804.45,813.0,765.0,772.25,861.9,350.05,SUMMITSEC
2021-08-03,818.85,861.9,790.2,804.45,861.9,350.05,SUMMITSEC
2021-08-02,738.0,849.0,738.0,802.9,849.0,350.05,SUMMITSEC
2021-07-30,651.15,745.0,651.15,707.75,745.0,341.5,SUMMITSEC
2021-07-29,648.05,672.05,646.45,660.7,737.4,341.5,SUMMITSEC
2021-07-28,654.95,655.0,635.95,640.45,737.4,341.5,SUMMITSEC
2021-07-27,651.4,654.95,638.0,639.7,737.4,341.5,SUMMITSEC
2021-07-26,664.95,665.0,636.2,643.95,737.4,341.5,SUMMITSEC
2021-07-23,653.75,654.8,645.5,648.7,737.4,341.05,SUMMITSEC
2021-07-22,669.5,669.5,635.1,648.85,737.4,341.05,SUMMITSEC
2021-07-20,660.7,663.7,650.0,651.45,737.4,341.05,SUMMITSEC
2021-07-19,656.0,665.0,647.8,655.15,737.4,341.05,SUMMITSEC
2021-07-16,661.85,662.95,652.1,657.8,737.4,335.1,SUMMITSEC
2021-07-15,659.0,665.0,653.1,654.1,737.4,335.1,SUMMITSEC
2021-07-14,655.0,679.5,645.5,647.4,737.4,335.1,SUMMITSEC
2021-07-13,645.05,651.0,637.95,639.75,737.4,335.1,SUMMITSEC
2021-07-12,655.0,655.0,637.55,642.95,737.4,335.1,SUMMITSEC
2021-07-09,636.8,639.95,633.5,638.65,737.4,317.0,SUMMITSEC
2021-07-08,640.1,651.95,632.5,636.8,737.4,317.0,SUMMITSEC
2021-07-07,654.75,671.1,640.95,643.45,737.4,317.0,SUMMITSEC
2021-07-06,662.45,667.5,651.1,654.3,737.4,317.0,SUMMITSEC
