DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,4279.0,4405.45,4274.5,4398.55,4405.45,1572.65,SUNCLAYLTD
2021-11-11,4186.0,4325.0,4186.0,4265.2,4325.0,1572.65,SUNCLAYLTD
2021-11-10,4144.7,4210.0,4124.05,4200.95,4250.0,1572.65,SUNCLAYLTD
2021-11-09,4042.0,4213.0,4030.0,4124.05,4250.0,1572.65,SUNCLAYLTD
2021-11-08,3890.0,3960.0,3804.85,3929.2,4250.0,1572.65,SUNCLAYLTD
2021-11-04,3852.65,3978.0,3852.65,3871.85,4250.0,1572.65,SUNCLAYLTD
2021-11-03,4000.0,4000.0,3838.3,3889.95,4250.0,1572.65,SUNCLAYLTD
2021-11-02,3902.25,4000.0,3895.0,3971.85,4250.0,1572.65,SUNCLAYLTD
2021-11-01,3805.0,3919.0,3745.0,3882.8,4250.0,1572.65,SUNCLAYLTD
2021-10-29,3773.0,3895.0,3693.6,3838.85,4250.0,1572.65,SUNCLAYLTD
2021-10-28,3740.0,3780.0,3642.0,3755.8,4250.0,1572.65,SUNCLAYLTD
2021-10-27,3760.0,3772.0,3706.0,3740.9,4250.0,1572.65,SUNCLAYLTD
2021-10-26,3736.95,3792.45,3642.45,3746.35,4250.0,1572.65,SUNCLAYLTD
2021-10-25,3779.0,3845.0,3572.25,3732.15,4250.0,1572.65,SUNCLAYLTD
2021-10-22,3651.6,3775.0,3651.6,3734.1,4250.0,1572.65,SUNCLAYLTD
2021-10-21,3748.0,3748.0,3600.0,3633.4,4250.0,1572.65,SUNCLAYLTD
2021-10-20,3726.1,3726.1,3599.95,3690.35,4250.0,1572.65,SUNCLAYLTD
2021-10-19,3730.0,3739.95,3671.5,3723.85,4250.0,1572.65,SUNCLAYLTD
2021-10-18,3669.0,3778.0,3659.6,3720.8,4250.0,1572.65,SUNCLAYLTD
2021-10-14,3664.4,3710.0,3588.65,3671.95,4250.0,1572.65,SUNCLAYLTD
2021-10-13,3675.0,3712.0,3630.0,3664.4,4250.0,1572.65,SUNCLAYLTD
2021-10-12,3599.0,3687.0,3518.5,3658.25,4250.0,1572.65,SUNCLAYLTD
2021-10-11,3475.45,3620.0,3475.45,3554.6,4250.0,1572.65,SUNCLAYLTD
2021-10-08,3495.0,3555.0,3485.0,3496.45,4250.0,1553.85,SUNCLAYLTD
2021-10-07,3449.0,3510.0,3410.0,3485.4,4250.0,1553.85,SUNCLAYLTD
2021-10-06,3445.0,3455.0,3403.0,3440.35,4250.0,1553.85,SUNCLAYLTD
2021-10-05,3427.25,3450.0,3408.5,3438.1,4250.0,1553.85,SUNCLAYLTD
2021-10-04,3406.0,3450.0,3390.0,3427.25,4250.0,1553.85,SUNCLAYLTD
2021-10-01,3423.6,3448.25,3383.3,3405.0,4250.0,1553.85,SUNCLAYLTD
2021-09-30,3356.0,3430.0,3356.0,3421.55,4250.0,1553.85,SUNCLAYLTD
2021-09-29,3450.6,3463.25,3312.0,3348.65,4250.0,1553.85,SUNCLAYLTD
2021-09-28,3474.0,3474.0,3368.0,3450.6,4250.0,1553.85,SUNCLAYLTD
2021-09-27,3401.15,3480.0,3401.15,3444.35,4250.0,1553.85,SUNCLAYLTD
2021-09-24,3395.45,3427.0,3382.6,3401.15,4250.0,1553.85,SUNCLAYLTD
2021-09-23,3436.0,3498.35,3318.95,3378.55,4250.0,1553.85,SUNCLAYLTD
2021-09-22,3448.0,3484.75,3423.65,3436.3,4250.0,1553.85,SUNCLAYLTD
2021-09-21,3470.0,3470.0,3382.45,3428.6,4250.0,1553.85,SUNCLAYLTD
2021-09-20,3445.0,3500.0,3433.65,3459.15,4250.0,1553.85,SUNCLAYLTD
2021-09-17,3490.05,3500.0,3440.05,3457.1,4250.0,1553.85,SUNCLAYLTD
2021-09-16,3484.3,3503.6,3475.0,3490.75,4250.0,1553.85,SUNCLAYLTD
2021-09-15,3510.1,3515.0,3470.05,3484.3,4250.0,1553.85,SUNCLAYLTD
2021-09-14,3520.5,3544.75,3498.0,3510.1,4250.0,1553.85,SUNCLAYLTD
2021-09-13,3520.45,3575.0,3490.0,3515.4,4250.0,1553.85,SUNCLAYLTD
2021-09-09,3543.75,3626.0,3515.35,3548.55,4250.0,1553.85,SUNCLAYLTD
2021-09-08,3482.35,3597.7,3482.35,3543.75,4250.0,1553.85,SUNCLAYLTD
2021-09-07,3591.0,3627.4,3471.35,3499.9,4250.0,1553.85,SUNCLAYLTD
2021-09-06,3571.25,3589.5,3538.0,3549.95,4250.0,1553.85,SUNCLAYLTD
2021-09-03,3600.0,3601.3,3540.0,3570.7,4250.0,1553.85,SUNCLAYLTD
2021-09-02,3587.7,3610.2,3550.0,3583.35,4250.0,1553.85,SUNCLAYLTD
2021-09-01,3670.9,3719.0,3540.0,3570.6,4250.0,1553.85,SUNCLAYLTD
2021-08-31,3660.0,3676.0,3631.4,3652.6,4250.0,1553.85,SUNCLAYLTD
2021-08-30,3630.0,3700.0,3565.0,3655.7,4250.0,1553.85,SUNCLAYLTD
2021-08-27,3517.45,3584.0,3493.45,3567.1,4250.0,1553.85,SUNCLAYLTD
2021-08-26,3548.0,3629.55,3496.95,3517.45,4250.0,1553.85,SUNCLAYLTD
2021-08-25,3551.0,3575.0,3498.8,3548.6,4250.0,1553.85,SUNCLAYLTD
2021-08-24,3442.85,3580.0,3442.85,3554.3,4250.0,1553.85,SUNCLAYLTD
2021-08-23,3592.0,3661.15,3470.0,3480.5,4250.0,1553.85,SUNCLAYLTD
2021-08-20,3560.0,3631.0,3535.7,3590.15,4250.0,1553.85,SUNCLAYLTD
2021-08-18,3405.0,3755.0,3391.0,3665.6,4250.0,1553.85,SUNCLAYLTD
2021-08-17,3459.8,3459.8,3378.0,3395.45,4250.0,1553.85,SUNCLAYLTD
2021-08-16,3487.3,3487.3,3416.1,3422.8,4250.0,1553.85,SUNCLAYLTD
2021-08-13,3509.5,3531.95,3453.2,3469.95,4250.0,1553.85,SUNCLAYLTD
2021-08-12,3501.3,3566.95,3460.0,3492.0,4250.0,1553.85,SUNCLAYLTD
2021-08-11,3516.0,3574.0,3404.85,3501.3,4250.0,1553.85,SUNCLAYLTD
2021-08-10,3525.15,3592.1,3501.0,3534.05,4250.0,1553.85,SUNCLAYLTD
2021-08-09,3711.8,3728.05,3515.05,3546.15,4250.0,1553.85,SUNCLAYLTD
2021-08-06,3646.0,3711.7,3646.0,3693.3,4250.0,1522.65,SUNCLAYLTD
2021-08-05,3715.0,3715.0,3636.95,3678.95,4250.0,1522.65,SUNCLAYLTD
2021-08-04,3707.8,3738.0,3603.0,3663.8,4250.0,1522.65,SUNCLAYLTD
2021-08-03,3700.0,3740.0,3642.4,3702.3,4250.0,1522.65,SUNCLAYLTD
2021-08-02,3657.0,3754.0,3650.0,3658.4,4250.0,1522.65,SUNCLAYLTD
2021-07-30,3739.0,3911.0,3639.95,3653.6,4250.0,1522.65,SUNCLAYLTD
2021-07-29,3764.0,3800.9,3662.6,3702.4,4250.0,1522.65,SUNCLAYLTD
2021-07-28,3906.3,3925.0,3666.0,3726.4,4250.0,1522.65,SUNCLAYLTD
