DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,2441.5,2446.1,2392.25,2424.4,2868.0,1528.0,SUNDARMFIN
2021-11-11,2460.15,2480.05,2415.0,2434.7,2868.0,1528.0,SUNDARMFIN
2021-11-10,2488.0,2493.65,2450.25,2460.15,2868.0,1528.0,SUNDARMFIN
2021-11-09,2495.5,2513.8,2451.05,2497.5,2868.0,1528.0,SUNDARMFIN
2021-11-08,2505.0,2505.0,2443.0,2488.6,2868.0,1528.0,SUNDARMFIN
2021-11-04,2528.0,2528.0,2480.0,2505.85,2868.0,1445.0,SUNDARMFIN
2021-11-03,2495.0,2503.55,2456.0,2498.55,2868.0,1445.0,SUNDARMFIN
2021-11-02,2452.25,2521.45,2452.25,2495.0,2868.0,1445.0,SUNDARMFIN
2021-11-01,2400.0,2500.0,2371.25,2452.25,2868.0,1445.0,SUNDARMFIN
2021-10-29,2411.75,2447.95,2361.05,2390.05,2868.0,1348.65,SUNDARMFIN
2021-10-28,2410.0,2425.0,2365.0,2411.75,2868.0,1348.65,SUNDARMFIN
2021-10-27,2454.75,2471.0,2401.05,2408.1,2868.0,1348.65,SUNDARMFIN
2021-10-26,2490.0,2499.45,2450.0,2454.75,2868.0,1348.65,SUNDARMFIN
2021-10-25,2500.1,2548.0,2440.0,2494.6,2868.0,1348.65,SUNDARMFIN
2021-10-22,2442.65,2525.0,2430.05,2519.3,2868.0,1293.0,SUNDARMFIN
2021-10-21,2490.0,2505.95,2391.75,2476.65,2868.0,1293.0,SUNDARMFIN
2021-10-20,2474.0,2525.0,2430.05,2509.55,2868.0,1293.0,SUNDARMFIN
2021-10-19,2469.1,2480.0,2457.65,2468.55,2868.0,1293.0,SUNDARMFIN
2021-10-18,2464.65,2483.35,2438.4,2463.1,2868.0,1293.0,SUNDARMFIN
2021-10-14,2430.05,2472.7,2430.05,2454.65,2868.0,1290.5,SUNDARMFIN
2021-10-13,2435.0,2460.0,2421.05,2450.85,2868.0,1290.5,SUNDARMFIN
2021-10-12,2459.9,2459.9,2425.6,2435.0,2868.0,1290.5,SUNDARMFIN
2021-10-11,2447.65,2460.0,2425.05,2439.5,2868.0,1290.5,SUNDARMFIN
2021-10-08,2445.6,2459.05,2433.1,2447.65,2868.0,1276.05,SUNDARMFIN
2021-10-07,2457.8,2457.8,2430.05,2442.85,2868.0,1276.05,SUNDARMFIN
2021-10-06,2465.0,2477.9,2435.0,2440.55,2868.0,1276.05,SUNDARMFIN
2021-10-05,2470.0,2475.0,2437.6,2456.65,2868.0,1276.05,SUNDARMFIN
2021-10-04,2474.05,2480.75,2450.1,2474.15,2868.0,1276.05,SUNDARMFIN
2021-10-01,2450.0,2486.95,2436.05,2449.55,2868.0,1276.05,SUNDARMFIN
2021-09-30,2430.0,2454.0,2399.0,2450.15,2868.0,1276.05,SUNDARMFIN
2021-09-29,2335.2,2459.85,2305.8,2439.75,2868.0,1276.05,SUNDARMFIN
2021-09-28,2350.0,2380.0,2292.55,2335.2,2868.0,1276.05,SUNDARMFIN
2021-09-27,2410.3,2420.65,2326.8,2349.85,2868.0,1276.05,SUNDARMFIN
2021-09-24,2444.0,2445.05,2403.1,2410.3,2868.0,1270.05,SUNDARMFIN
2021-09-23,2425.0,2443.35,2403.65,2430.95,2868.0,1270.05,SUNDARMFIN
2021-09-22,2448.0,2448.0,2391.2,2420.35,2868.0,1270.05,SUNDARMFIN
2021-09-21,2444.0,2447.95,2402.5,2438.35,2868.0,1270.05,SUNDARMFIN
2021-09-20,2442.95,2454.9,2402.35,2424.35,2868.0,1270.05,SUNDARMFIN
2021-09-17,2552.5,2608.7,2417.0,2499.3,2868.0,1270.05,SUNDARMFIN
2021-09-16,2572.2,2597.35,2535.0,2547.1,2868.0,1270.05,SUNDARMFIN
2021-09-15,2578.2,2610.0,2532.75,2572.2,2868.0,1270.05,SUNDARMFIN
2021-09-14,2543.65,2589.4,2520.05,2572.2,2868.0,1270.05,SUNDARMFIN
2021-09-13,2544.25,2549.7,2515.0,2530.95,2868.0,1270.05,SUNDARMFIN
2021-09-09,2560.0,2560.0,2520.0,2531.55,2868.0,1270.05,SUNDARMFIN
2021-09-08,2575.5,2587.75,2503.5,2540.1,2868.0,1270.05,SUNDARMFIN
2021-09-07,2571.25,2588.7,2550.05,2561.25,2868.0,1270.05,SUNDARMFIN
2021-09-06,2551.55,2583.45,2543.6,2571.25,2868.0,1270.05,SUNDARMFIN
2021-09-03,2565.4,2592.35,2531.2,2551.55,2868.0,1270.05,SUNDARMFIN
2021-09-02,2577.4,2590.0,2537.35,2552.6,2868.0,1270.05,SUNDARMFIN
2021-09-01,2600.0,2600.0,2544.05,2577.4,2868.0,1270.05,SUNDARMFIN
2021-08-31,2610.0,2610.0,2590.0,2602.9,2868.0,1270.05,SUNDARMFIN
2021-08-30,2610.0,2610.0,2581.0,2600.0,2868.0,1270.05,SUNDARMFIN
2021-08-27,2596.25,2609.25,2570.0,2590.9,2868.0,1270.05,SUNDARMFIN
2021-08-26,2600.0,2601.45,2559.05,2596.25,2868.0,1270.05,SUNDARMFIN
2021-08-25,2530.0,2613.0,2530.0,2584.9,2868.0,1270.05,SUNDARMFIN
2021-08-24,2447.0,2538.65,2401.55,2530.7,2868.0,1270.05,SUNDARMFIN
