DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,82.8,82.8,80.0,81.55,96.65,46.15,SUNFLAG
2021-11-11,82.0,82.9,81.5,81.85,96.65,46.15,SUNFLAG
2021-11-10,81.5,82.7,81.5,81.75,96.65,46.15,SUNFLAG
2021-11-09,81.8,83.5,81.05,82.95,96.65,46.15,SUNFLAG
2021-11-08,81.8,81.95,80.5,81.3,96.65,46.15,SUNFLAG
2021-11-04,80.15,81.05,80.05,80.75,96.65,42.6,SUNFLAG
2021-11-03,79.3,81.5,78.9,80.15,96.65,42.6,SUNFLAG
2021-11-02,79.85,80.15,77.1,78.7,96.65,42.6,SUNFLAG
2021-11-01,79.1,81.2,78.75,79.5,96.65,42.6,SUNFLAG
2021-10-29,79.0,80.25,77.7,78.45,96.65,42.6,SUNFLAG
2021-10-28,80.6,80.85,78.3,78.7,96.65,42.6,SUNFLAG
2021-10-27,81.9,82.05,79.8,79.95,96.65,42.6,SUNFLAG
2021-10-26,79.9,82.4,79.75,81.6,96.65,42.6,SUNFLAG
2021-10-25,81.1,81.85,78.0,79.35,96.65,42.6,SUNFLAG
2021-10-22,83.4,84.0,80.55,81.1,96.65,42.6,SUNFLAG
2021-10-21,84.65,85.0,82.1,82.65,96.65,42.6,SUNFLAG
2021-10-20,87.0,87.35,83.15,83.95,96.65,42.6,SUNFLAG
2021-10-19,87.4,89.4,84.15,86.75,96.65,42.6,SUNFLAG
2021-10-18,85.05,88.7,85.0,86.8,96.65,42.6,SUNFLAG
2021-10-14,82.75,86.3,82.75,83.6,96.65,42.2,SUNFLAG
2021-10-13,82.5,84.85,82.5,82.75,96.65,42.2,SUNFLAG
2021-10-12,82.95,83.4,82.1,82.45,96.65,42.2,SUNFLAG
2021-10-11,83.4,84.35,82.55,82.75,96.65,42.2,SUNFLAG
2021-10-08,83.25,85.0,82.4,82.75,96.65,42.2,SUNFLAG
2021-10-07,83.2,84.45,82.3,82.6,96.65,42.2,SUNFLAG
2021-10-06,86.0,86.4,83.0,83.2,96.65,42.2,SUNFLAG
2021-10-05,86.45,88.35,85.1,85.6,96.65,42.2,SUNFLAG
2021-10-04,82.6,86.7,81.6,86.05,96.65,42.2,SUNFLAG
2021-10-01,80.25,85.8,80.25,82.0,96.65,41.45,SUNFLAG
2021-09-30,82.6,82.8,81.55,81.9,96.65,41.45,SUNFLAG
2021-09-29,79.35,83.8,78.9,82.05,96.65,41.45,SUNFLAG
2021-09-28,78.8,80.0,77.5,79.35,96.65,41.45,SUNFLAG
2021-09-27,78.1,80.0,78.0,78.6,96.65,41.45,SUNFLAG
