DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-04,92.9,93.8,87.0,88.5,88.0,116.0,37.5,SUVEN
2021-08-03,83.2,95.35,83.2,92.75,91.75,116.0,37.5,SUVEN
2021-08-02,83.3,83.9,82.4,83.15,83.1,116.0,37.5,SUVEN
2021-07-30,84.95,84.95,82.0,82.45,82.3,116.0,36.15,SUVEN
2021-07-29,83.7,85.15,83.65,84.25,84.3,116.0,36.15,SUVEN
2021-07-28,85.15,86.1,82.45,83.9,83.7,116.0,36.15,SUVEN
2021-07-27,87.9,88.15,85.25,85.25,85.7,116.0,36.15,SUVEN
2021-07-26,89.0,89.0,86.45,86.75,86.65,116.0,36.15,SUVEN
2021-07-23,87.8,90.5,86.15,88.5,88.35,116.0,36.15,SUVEN
2021-07-22,88.9,89.0,86.75,87.35,87.3,116.0,36.15,SUVEN
2021-07-20,88.85,89.3,85.05,86.5,86.65,116.0,36.15,SUVEN
2021-07-19,90.0,90.55,88.7,89.0,88.85,116.0,36.15,SUVEN
2021-07-16,89.6,91.9,89.6,90.05,90.7,116.0,36.15,SUVEN
2021-07-15,91.0,91.45,90.0,90.0,90.15,116.0,36.15,SUVEN
2021-07-14,88.95,92.8,88.95,91.8,91.4,116.0,36.15,SUVEN
2021-07-13,89.5,90.1,88.4,88.9,88.65,116.0,36.15,SUVEN
2021-07-12,90.5,90.75,89.0,89.0,89.45,116.0,36.15,SUVEN
2021-07-09,88.0,91.0,87.2,89.3,89.75,116.0,36.15,SUVEN
2021-07-08,89.5,90.9,87.4,88.0,87.75,116.0,36.15,SUVEN
2021-07-07,90.1,90.75,88.85,89.55,89.25,116.0,36.15,SUVEN
2021-07-06,93.5,94.05,89.1,90.0,89.85,116.0,36.15,SUVEN
2021-07-05,90.1,93.85,89.75,93.5,93.2,116.0,36.15,SUVEN
2021-07-02,90.3,92.15,88.8,89.0,89.05,116.0,36.15,SUVEN
2021-07-01,88.0,90.45,87.0,90.45,89.7,116.0,36.15,SUVEN
2021-06-30,89.6,90.15,87.5,88.0,87.9,116.0,36.15,SUVEN
2021-06-29,89.8,90.55,88.5,89.05,88.95,116.0,36.15,SUVEN
2021-06-28,90.95,91.35,89.5,89.95,89.8,116.0,36.15,SUVEN
2021-06-25,91.35,92.0,90.15,90.5,90.5,116.0,36.15,SUVEN
2021-06-24,90.05,92.55,90.0,90.6,90.7,116.0,36.15,SUVEN
2021-06-23,93.35,94.0,90.6,91.25,90.95,116.0,36.15,SUVEN
2021-06-22,93.75,94.45,91.8,92.9,92.55,116.0,36.15,SUVEN
2021-06-21,90.9,95.0,89.5,92.9,92.55,116.0,36.15,SUVEN
2021-06-18,96.0,97.0,88.25,92.5,92.4,116.0,30.5,SUVEN
2021-06-17,95.75,99.75,95.2,95.6,95.4,116.0,30.5,SUVEN
2021-06-16,97.7,99.15,95.2,95.7,96.0,116.0,30.5,SUVEN
2021-06-15,98.9,99.4,97.5,97.9,97.7,116.0,30.5,SUVEN
2021-06-14,99.7,104.7,94.0,98.45,98.5,116.0,30.5,SUVEN
2021-06-11,98.0,101.45,97.8,99.5,99.45,116.0,30.5,SUVEN
2021-06-10,98.3,100.0,96.55,97.8,98.0,116.0,30.5,SUVEN
2021-06-09,100.35,100.9,95.0,97.2,97.65,116.0,30.5,SUVEN
2021-06-08,94.7,102.0,92.9,98.9,98.7,116.0,30.5,SUVEN
2021-06-07,95.9,95.9,93.05,94.05,93.75,116.0,30.5,SUVEN
2021-06-04,93.5,93.75,92.0,92.15,92.05,116.0,30.5,SUVEN
2021-06-03,93.0,94.85,91.05,92.75,93.0,116.0,30.5,SUVEN
2021-06-02,93.3,94.3,92.0,92.55,92.4,116.0,30.5,SUVEN
2021-06-01,94.5,94.9,92.0,92.7,92.55,116.0,30.5,SUVEN
2021-05-31,95.45,95.6,93.8,94.15,93.95,116.0,30.5,SUVEN
2021-05-28,94.5,97.4,93.55,94.3,94.75,116.0,30.5,SUVEN
2021-05-27,95.8,96.0,94.0,94.2,94.15,116.0,30.5,SUVEN
2021-05-26,95.65,98.3,94.4,94.55,95.15,116.0,30.5,SUVEN
2021-05-25,95.2,96.5,94.0,95.2,94.75,116.0,30.5,SUVEN
2021-05-24,96.55,97.7,94.85,95.0,95.05,116.0,30.5,SUVEN
2021-05-21,99.0,100.4,96.2,96.7,96.45,116.0,30.5,SUVEN
2021-05-20,98.15,101.4,95.5,98.05,98.25,116.0,30.5,SUVEN
2021-05-19,94.5,99.5,94.0,98.1,98.15,116.0,30.5,SUVEN
2021-05-18,95.45,96.0,94.25,94.4,94.45,116.0,30.5,SUVEN
2021-05-17,94.5,95.95,93.5,95.15,94.9,116.0,30.5,SUVEN
2021-05-14,96.5,96.9,93.0,93.8,93.65,116.0,30.5,SUVEN
2021-05-12,97.8,99.6,95.5,95.95,96.0,116.0,30.5,SUVEN
2021-05-11,98.0,99.9,96.65,97.8,97.75,116.0,30.5,SUVEN
2021-05-10,101.9,101.9,98.25,98.9,98.6,116.0,30.5,SUVEN
2021-05-07,101.9,102.6,98.95,98.95,99.7,116.0,30.5,SUVEN
2021-05-06,98.0,101.55,96.15,99.0,99.5,116.0,30.5,SUVEN
2021-05-05,97.7,99.95,91.1,94.6,94.65,116.0,30.5,SUVEN
2021-05-04,108.4,110.3,97.0,97.6,97.7,116.0,30.5,SUVEN
