DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,629.8,634.95,610.05,614.95,613.5,700.0,443.0,SYNGENE
2021-07-26,625.0,637.9,618.15,628.85,628.85,700.0,443.0,SYNGENE
2021-07-23,624.9,638.0,614.45,626.05,628.15,700.0,408.0,SYNGENE
2021-07-22,659.8,665.0,619.6,622.5,627.7,700.0,408.0,SYNGENE
2021-07-20,679.85,687.55,646.8,650.7,651.45,700.0,408.0,SYNGENE
2021-07-19,657.0,678.35,651.2,675.85,670.0,700.0,408.0,SYNGENE
2021-07-16,700.0,700.0,646.3,663.95,668.15,700.0,401.7,SYNGENE
2021-07-15,583.8,626.9,579.75,614.0,614.35,644.55,401.7,SYNGENE
2021-07-14,584.8,585.55,578.0,580.0,581.05,644.55,401.7,SYNGENE
2021-07-13,584.8,585.15,575.15,585.0,583.85,644.55,401.7,SYNGENE
2021-07-12,585.6,590.7,579.05,580.9,580.55,644.55,401.7,SYNGENE
2021-07-09,588.0,593.9,579.05,579.9,582.1,644.55,401.7,SYNGENE
2021-07-08,581.05,591.15,579.35,589.6,585.65,644.55,401.7,SYNGENE
2021-07-07,583.1,588.05,578.5,584.0,582.95,644.55,401.7,SYNGENE
2021-07-06,588.05,589.55,579.2,584.95,584.7,644.55,401.7,SYNGENE
2021-07-05,592.8,593.9,585.4,588.0,587.45,644.55,401.7,SYNGENE
2021-07-02,585.8,595.1,585.1,588.3,588.6,644.55,398.0,SYNGENE
2021-07-01,584.8,586.2,579.0,584.0,584.3,644.55,398.0,SYNGENE
2021-06-30,586.9,586.9,578.45,584.0,583.3,644.55,398.0,SYNGENE
2021-06-29,584.0,586.0,580.0,585.0,584.05,644.55,398.0,SYNGENE
2021-06-28,586.0,586.95,582.1,584.8,584.15,644.55,398.0,SYNGENE
2021-06-25,583.55,586.3,578.25,584.85,581.45,644.55,379.5,SYNGENE
2021-06-24,578.3,585.55,575.85,579.5,582.55,644.55,379.5,SYNGENE
2021-06-23,586.0,590.7,575.9,578.9,577.2,644.55,379.5,SYNGENE
2021-06-22,589.0,592.0,578.8,584.55,586.1,644.55,379.5,SYNGENE
2021-06-21,572.0,588.0,569.0,588.0,583.65,644.55,379.5,SYNGENE
2021-06-18,579.8,582.25,567.5,576.0,573.15,644.55,364.7,SYNGENE
2021-06-17,583.0,588.15,575.1,578.75,577.6,644.55,364.7,SYNGENE
2021-06-16,586.1,590.0,582.1,582.5,584.0,644.55,364.7,SYNGENE
2021-06-15,592.0,592.95,584.15,587.5,586.1,644.55,364.7,SYNGENE
2021-06-14,594.25,595.0,582.45,588.0,587.3,644.55,364.7,SYNGENE
2021-06-11,594.8,596.95,588.3,594.35,590.7,644.55,346.4,SYNGENE
2021-06-10,591.95,595.75,587.0,591.0,590.85,644.55,346.4,SYNGENE
2021-06-09,597.6,599.85,580.85,590.0,585.5,644.55,346.4,SYNGENE
2021-06-08,581.5,597.0,581.5,592.5,593.1,644.55,346.4,SYNGENE
