DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,270.0,270.75,264.5,265.85,357.5,113.8,TALBROAUTO
2021-10-28,274.55,280.45,266.05,268.15,357.5,113.8,TALBROAUTO
2021-10-27,279.6,279.8,272.55,274.55,357.5,113.8,TALBROAUTO
2021-10-26,270.1,278.0,264.2,275.4,357.5,113.8,TALBROAUTO
2021-10-25,266.0,274.0,254.0,270.45,357.5,113.8,TALBROAUTO
2021-10-22,274.0,276.7,263.3,265.45,357.5,108.4,TALBROAUTO
2021-10-21,276.5,279.7,269.85,272.5,357.5,108.4,TALBROAUTO
2021-10-20,278.1,282.45,272.0,274.05,357.5,108.4,TALBROAUTO
2021-10-19,288.0,296.0,275.0,277.8,357.5,108.4,TALBROAUTO
2021-10-18,292.55,295.0,285.85,287.55,357.5,108.4,TALBROAUTO
2021-10-14,296.15,298.0,288.0,289.0,357.5,105.35,TALBROAUTO
2021-10-13,281.0,297.0,280.65,293.65,357.5,105.35,TALBROAUTO
2021-10-12,280.45,283.15,280.0,280.4,357.5,105.35,TALBROAUTO
2021-10-11,283.55,284.8,278.5,279.5,357.5,105.35,TALBROAUTO
2021-10-08,284.55,290.5,280.0,281.5,357.5,105.35,TALBROAUTO
2021-10-07,277.0,286.8,277.0,284.55,357.5,105.35,TALBROAUTO
2021-10-06,279.0,285.0,272.7,274.65,357.5,105.35,TALBROAUTO
2021-10-05,284.8,287.4,279.3,280.05,357.5,105.35,TALBROAUTO
2021-10-04,283.1,289.95,279.3,280.55,357.5,105.35,TALBROAUTO
2021-10-01,289.8,289.8,280.15,282.05,357.5,105.35,TALBROAUTO
2021-09-30,287.0,294.75,286.0,288.1,357.5,105.35,TALBROAUTO
2021-09-29,289.0,292.55,284.0,286.75,357.5,105.35,TALBROAUTO
2021-09-28,284.0,298.5,281.7,289.05,357.5,105.35,TALBROAUTO
2021-09-27,276.85,287.0,276.85,279.6,357.5,105.35,TALBROAUTO
2021-09-24,283.7,285.55,276.0,276.85,357.5,101.55,TALBROAUTO
2021-09-23,282.9,289.0,277.25,280.35,357.5,101.55,TALBROAUTO
2021-09-22,280.0,284.3,275.1,277.7,357.5,101.55,TALBROAUTO
2021-09-21,275.0,279.3,267.4,277.45,357.5,101.55,TALBROAUTO
2021-09-20,276.0,284.6,272.0,273.75,357.5,101.55,TALBROAUTO
2021-09-17,281.0,285.0,276.0,276.65,357.5,101.55,TALBROAUTO
2021-09-16,284.65,288.4,275.6,280.4,357.5,101.55,TALBROAUTO
2021-09-15,281.5,288.0,281.1,282.95,357.5,101.55,TALBROAUTO
2021-09-14,284.75,286.45,280.5,281.5,357.5,101.55,TALBROAUTO
2021-09-13,283.0,283.0,275.25,282.1,357.5,101.55,TALBROAUTO
2021-09-09,277.8,281.55,276.05,278.9,357.5,101.55,TALBROAUTO
2021-09-08,287.7,287.7,273.8,275.0,357.5,101.55,TALBROAUTO
2021-09-07,293.95,296.25,284.1,285.5,357.5,101.55,TALBROAUTO
2021-09-06,295.35,298.35,293.0,293.85,357.5,101.55,TALBROAUTO
2021-09-03,301.2,309.5,290.0,292.1,357.5,101.55,TALBROAUTO
2021-09-02,275.0,317.9,273.75,300.6,357.5,101.55,TALBROAUTO
2021-09-01,279.75,284.8,270.1,274.2,357.5,101.55,TALBROAUTO
2021-08-31,280.8,286.15,276.8,277.95,357.5,101.55,TALBROAUTO
2021-08-30,283.5,289.0,280.2,281.7,357.5,101.55,TALBROAUTO
2021-08-27,283.0,291.0,280.45,282.0,357.5,101.55,TALBROAUTO
2021-08-26,286.55,291.85,286.0,288.05,357.5,101.55,TALBROAUTO
2021-08-25,286.6,294.0,280.6,286.55,357.5,101.55,TALBROAUTO
2021-08-24,280.0,292.45,275.65,282.95,357.5,101.55,TALBROAUTO
2021-08-23,286.85,289.95,275.0,276.35,357.5,101.55,TALBROAUTO
2021-08-20,284.0,293.4,272.85,286.85,357.5,101.55,TALBROAUTO
2021-08-18,296.95,299.0,288.25,290.75,357.5,101.55,TALBROAUTO
2021-08-17,308.5,308.5,293.2,295.1,357.5,101.55,TALBROAUTO
2021-08-16,308.65,309.95,299.8,301.5,357.5,101.55,TALBROAUTO
2021-08-13,318.0,321.05,305.0,309.1,357.5,101.55,TALBROAUTO
2021-08-12,309.0,322.0,297.0,318.4,357.5,101.55,TALBROAUTO
2021-08-11,300.05,300.05,275.2,297.45,357.5,101.55,TALBROAUTO
2021-08-10,318.1,318.95,292.55,299.3,357.5,101.55,TALBROAUTO
2021-08-09,325.05,332.0,317.0,319.05,357.5,101.55,TALBROAUTO
2021-08-06,332.0,332.0,320.4,323.4,357.5,93.05,TALBROAUTO
2021-08-05,326.9,330.6,314.6,327.2,357.5,93.05,TALBROAUTO
2021-08-04,344.5,348.45,320.0,324.25,357.5,93.05,TALBROAUTO
2021-08-03,342.0,357.5,342.0,345.7,357.5,93.05,TALBROAUTO
2021-08-02,327.9,349.9,318.2,345.35,349.9,93.05,TALBROAUTO
2021-07-30,314.2,333.5,314.2,323.95,338.7,90.75,TALBROAUTO
2021-07-29,321.0,324.0,314.25,317.5,338.7,90.75,TALBROAUTO
2021-07-28,320.0,321.0,314.2,318.5,338.7,90.75,TALBROAUTO
2021-07-27,318.0,322.65,312.0,313.2,338.7,90.75,TALBROAUTO
2021-07-26,315.0,324.0,313.1,319.55,338.7,90.75,TALBROAUTO
2021-07-23,315.05,320.15,306.0,312.4,338.7,90.75,TALBROAUTO
2021-07-22,324.5,329.7,312.5,314.75,338.7,90.75,TALBROAUTO
2021-07-20,320.75,336.0,304.8,322.2,338.7,90.75,TALBROAUTO
2021-07-19,314.35,326.35,314.0,316.65,338.7,90.75,TALBROAUTO
2021-07-16,325.85,329.95,312.45,314.35,338.7,90.75,TALBROAUTO
2021-07-15,332.7,338.5,315.0,321.05,338.7,90.75,TALBROAUTO
2021-07-14,317.0,338.7,311.95,325.65,338.7,90.75,TALBROAUTO
2021-07-13,307.0,317.9,304.05,315.2,328.9,90.75,TALBROAUTO
2021-07-12,300.2,310.6,300.2,303.65,328.9,90.75,TALBROAUTO
2021-07-09,306.0,310.8,305.5,306.4,328.9,90.75,TALBROAUTO
2021-07-08,310.85,315.0,305.3,307.85,328.9,90.75,TALBROAUTO
2021-07-07,311.05,314.0,305.6,309.0,328.9,90.75,TALBROAUTO
2021-07-06,320.0,328.9,308.65,311.0,328.9,90.75,TALBROAUTO
2021-07-05,291.6,324.5,291.6,317.8,324.5,90.75,TALBROAUTO
2021-07-02,290.8,297.7,288.85,291.5,311.3,90.75,TALBROAUTO
2021-07-01,278.0,293.4,275.45,288.6,311.3,90.75,TALBROAUTO
2021-06-30,275.25,285.2,275.25,277.7,311.3,90.75,TALBROAUTO
2021-06-29,277.05,280.6,268.15,274.25,311.3,90.75,TALBROAUTO
2021-06-28,280.0,284.55,274.05,275.55,311.3,90.75,TALBROAUTO
2021-06-25,279.2,283.45,274.0,279.5,311.3,90.75,TALBROAUTO
2021-06-24,281.0,281.0,273.2,276.6,311.3,90.75,TALBROAUTO
2021-06-23,284.7,284.7,276.0,277.05,311.3,90.75,TALBROAUTO
2021-06-22,282.9,287.4,280.0,281.15,311.3,90.75,TALBROAUTO
2021-06-21,275.0,280.5,270.45,276.7,311.3,90.75,TALBROAUTO
2021-06-18,284.0,290.8,270.65,281.15,311.3,90.75,TALBROAUTO
