DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-30,1429.0,1463.5,1418.8,1445.0,1442.35,1488.0,615.0,TATACOMM
2021-07-29,1433.0,1467.6,1410.4,1426.95,1426.6,1488.0,615.0,TATACOMM
2021-07-28,1354.9,1488.0,1327.75,1414.0,1425.4,1488.0,615.0,TATACOMM
2021-07-27,1357.0,1387.0,1324.2,1351.5,1348.0,1438.0,615.0,TATACOMM
2021-07-26,1355.0,1376.05,1335.85,1349.5,1349.55,1438.0,615.0,TATACOMM
2021-07-23,1374.9,1396.0,1355.0,1366.0,1373.75,1438.0,615.0,TATACOMM
2021-07-22,1393.0,1415.0,1344.0,1359.7,1357.5,1438.0,615.0,TATACOMM
2021-07-20,1395.0,1402.0,1352.0,1377.9,1381.05,1438.0,615.0,TATACOMM
2021-07-19,1360.8,1399.75,1355.0,1385.0,1385.45,1438.0,615.0,TATACOMM
2021-07-16,1385.0,1412.75,1355.1,1360.0,1361.15,1438.0,615.0,TATACOMM
2021-07-15,1412.0,1426.65,1381.0,1390.0,1390.45,1438.0,615.0,TATACOMM
2021-07-14,1368.75,1438.0,1340.0,1401.0,1403.35,1438.0,615.0,TATACOMM
2021-07-13,1358.95,1368.0,1346.0,1358.65,1359.8,1388.0,615.0,TATACOMM
2021-07-12,1336.9,1363.0,1335.1,1352.0,1353.2,1388.0,615.0,TATACOMM
2021-07-09,1350.0,1360.0,1320.1,1330.05,1333.1,1388.0,615.0,TATACOMM
2021-07-08,1357.95,1362.15,1330.0,1350.0,1348.9,1388.0,615.0,TATACOMM
2021-07-07,1368.95,1369.0,1326.65,1361.0,1358.1,1388.0,615.0,TATACOMM
2021-07-06,1374.0,1383.0,1351.0,1363.0,1360.75,1388.0,615.0,TATACOMM
2021-07-05,1335.0,1388.0,1319.8,1374.0,1361.2,1388.0,615.0,TATACOMM
2021-07-02,1331.65,1332.0,1310.85,1326.1,1329.0,1367.65,575.15,TATACOMM
2021-07-01,1298.0,1335.95,1287.15,1316.0,1319.65,1367.65,575.15,TATACOMM
