DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,578.85,582.0,542.35,556.05,612.0,336.05,TCPLPACK
2021-11-11,580.0,580.0,571.15,572.85,612.0,336.05,TCPLPACK
2021-11-10,563.85,612.0,545.8,587.9,612.0,336.05,TCPLPACK
2021-11-09,545.0,564.1,545.0,558.3,604.0,336.05,TCPLPACK
2021-11-08,553.0,558.75,542.2,549.1,604.0,336.05,TCPLPACK
2021-11-04,527.0,551.0,525.25,544.85,604.0,336.05,TCPLPACK
2021-11-03,525.25,533.75,515.0,519.55,604.0,336.05,TCPLPACK
2021-11-02,524.0,524.0,510.65,515.6,604.0,336.05,TCPLPACK
2021-11-01,502.1,516.1,502.1,514.8,604.0,336.05,TCPLPACK
2021-10-29,517.15,520.15,506.0,508.1,604.0,336.05,TCPLPACK
2021-10-28,523.9,523.9,505.0,506.45,604.0,336.05,TCPLPACK
2021-10-27,528.2,547.0,510.0,513.9,604.0,336.05,TCPLPACK
2021-10-26,522.7,523.5,510.0,516.55,604.0,336.05,TCPLPACK
2021-10-25,520.0,534.8,507.7,523.25,604.0,336.05,TCPLPACK
2021-10-22,537.8,543.95,520.05,521.25,604.0,336.05,TCPLPACK
2021-10-21,544.7,544.7,523.15,537.7,604.0,336.05,TCPLPACK
2021-10-20,523.85,548.85,521.0,533.1,604.0,336.05,TCPLPACK
2021-10-19,554.8,554.8,532.0,536.1,604.0,336.05,TCPLPACK
2021-10-18,560.0,564.85,540.3,545.2,604.0,336.05,TCPLPACK
2021-10-14,559.0,565.0,543.1,547.1,604.0,336.05,TCPLPACK
2021-10-13,558.0,573.4,548.0,551.85,604.0,336.05,TCPLPACK
2021-10-12,575.0,576.0,565.0,565.4,604.0,336.05,TCPLPACK
2021-10-11,569.85,577.0,554.1,566.95,604.0,336.05,TCPLPACK
2021-10-08,565.0,565.0,536.55,552.6,604.0,336.05,TCPLPACK
2021-10-07,554.0,566.1,546.0,555.2,604.0,336.05,TCPLPACK
2021-10-06,566.0,573.95,540.6,545.6,604.0,336.05,TCPLPACK
2021-10-05,547.5,572.25,542.0,560.15,604.0,336.05,TCPLPACK
2021-10-04,542.5,559.7,540.0,541.85,604.0,336.05,TCPLPACK
2021-10-01,526.95,542.5,526.95,539.75,604.0,336.05,TCPLPACK
2021-09-30,544.7,552.65,530.0,533.7,604.0,336.05,TCPLPACK
2021-09-29,526.85,539.95,521.1,531.75,604.0,336.05,TCPLPACK
2021-09-28,521.95,532.45,515.05,526.35,604.0,336.05,TCPLPACK
2021-09-27,530.05,536.65,522.25,527.45,604.0,336.05,TCPLPACK
2021-09-24,535.0,535.0,530.0,530.35,604.0,336.05,TCPLPACK
2021-09-23,534.9,535.0,527.55,528.25,604.0,336.05,TCPLPACK
2021-09-22,538.0,538.9,522.55,526.05,604.0,336.05,TCPLPACK
2021-09-21,516.55,531.8,516.55,527.5,604.0,336.05,TCPLPACK
2021-09-20,530.0,534.0,525.05,526.3,604.0,336.05,TCPLPACK
