DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,3213.0,3219.85,3192.0,3194.5,3194.8,TCS
2021-07-15,3227.6,3231.85,3194.0,3201.9,3202.95,TCS
2021-07-14,3187.0,3222.0,3185.0,3214.4,3214.55,TCS
2021-07-13,3214.0,3214.0,3175.0,3190.4,3187.55,TCS
2021-07-12,3235.0,3236.0,3188.35,3198.4,3193.1,TCS
2021-07-09,3250.0,3282.0,3201.0,3211.8,3208.15,TCS
2021-07-08,3298.0,3298.0,3231.9,3253.0,3258.5,TCS
2021-07-07,3275.0,3282.7,3241.6,3275.85,3274.95,TCS
2021-07-06,3313.0,3328.0,3256.1,3273.65,3262.3,TCS
2021-07-05,3342.0,3374.0,3302.0,3328.0,3321.0,TCS
2021-07-02,3331.0,3339.7,3295.2,3329.0,3325.45,TCS
2021-07-01,3358.0,3362.0,3332.35,3338.0,3341.5,TCS
2021-06-30,3346.0,3382.0,3338.5,3351.0,3345.75,TCS
2021-06-29,3342.0,3366.3,3326.5,3335.25,3340.85,TCS
2021-06-28,3391.5,3391.5,3333.0,3342.0,3336.75,TCS
2021-06-25,3375.25,3399.65,3350.0,3371.0,3380.8,TCS
2021-06-24,3284.0,3383.0,3278.5,3370.0,3373.6,TCS
2021-06-23,3329.0,3329.0,3256.4,3267.3,3261.4,TCS
2021-06-22,3304.0,3327.05,3285.0,3304.0,3301.2,TCS
2021-06-21,3265.0,3286.0,3251.7,3273.0,3273.1,TCS
2021-06-18,3350.9,3358.0,3275.0,3303.0,3297.3,TCS
2021-06-17,3265.5,3336.05,3260.0,3328.0,3317.75,TCS
2021-06-16,3262.1,3294.7,3253.0,3270.0,3274.35,TCS
2021-06-15,3298.0,3298.0,3251.55,3262.0,3262.75,TCS
2021-06-14,3279.0,3308.7,3270.35,3277.15,3276.35,TCS
2021-06-11,3211.55,3309.0,3211.0,3279.0,3273.8,TCS
2021-06-10,3210.0,3224.0,3193.0,3216.0,3216.8,TCS
2021-06-09,3202.0,3220.0,3186.2,3199.7,3200.25,TCS
2021-06-08,3198.0,3231.0,3187.2,3199.35,3200.15,TCS
2021-06-07,3145.0,3190.45,3133.6,3187.0,3183.2,TCS
2021-06-04,3128.0,3156.85,3125.0,3138.5,3143.75,TCS
2021-06-03,3154.55,3154.55,3122.65,3144.9,3141.25,TCS
2021-06-02,3150.85,3159.45,3115.0,3135.0,3129.45,TCS
2021-06-01,3168.6,3169.95,3132.0,3153.9,3153.0,TCS
2021-05-31,3150.0,3170.35,3128.6,3163.4,3159.15,TCS
2021-05-28,3189.5,3198.0,3135.65,3146.35,3143.6,TCS
2021-05-27,3161.95,3217.75,3161.8,3198.0,3180.0,TCS
2021-05-26,3120.0,3165.0,3103.8,3158.0,3158.5,TCS
2021-05-25,3092.0,3128.25,3082.1,3115.0,3114.0,TCS
2021-05-24,3081.5,3105.0,3072.0,3082.45,3081.5,TCS
2021-05-21,3061.0,3088.2,3055.1,3080.5,3080.5,TCS
2021-05-20,3067.1,3088.8,3052.1,3060.65,3060.0,TCS
2021-05-19,3084.0,3118.0,3067.1,3084.9,3082.0,TCS
2021-05-18,3100.0,3124.0,3078.0,3089.0,3088.8,TCS
2021-05-17,3055.0,3075.2,3036.0,3072.75,3069.75,TCS
2021-05-14,3098.5,3098.5,3040.0,3052.0,3051.5,TCS
2021-05-12,3120.0,3120.0,3070.6,3085.5,3087.6,TCS
2021-05-11,3125.0,3128.1,3091.15,3120.0,3122.6,TCS
2021-05-10,3145.95,3164.2,3125.0,3147.0,3145.5,TCS
2021-05-07,3133.0,3159.85,3111.8,3131.0,3132.9,TCS
2021-05-06,3105.5,3134.0,3074.0,3115.9,3111.45,TCS
2021-05-05,3070.0,3099.4,3052.4,3095.75,3095.7,TCS
2021-05-04,3062.8,3090.0,3035.0,3052.9,3049.75,TCS
2021-05-03,3024.9,3055.0,3004.0,3035.85,3037.0,TCS
2021-04-30,3099.0,3132.05,3020.0,3040.0,3035.65,TCS
2021-04-29,3145.6,3157.35,3105.5,3114.45,3115.25,TCS
2021-04-28,3149.95,3151.0,3112.0,3123.0,3124.1,TCS
2021-04-27,3106.0,3136.1,3103.0,3132.75,3132.0,TCS
2021-04-26,3102.05,3153.0,3088.05,3100.05,3100.8,TCS
2021-04-23,3105.0,3119.0,3091.05,3110.2,3109.5,TCS
2021-04-22,3148.0,3148.0,3105.25,3121.05,3118.8,TCS
2021-04-20,3225.0,3225.35,3126.35,3140.0,3144.55,TCS
2021-04-19,3169.0,3189.0,3135.1,3159.15,3161.8,TCS
2021-04-16,3229.0,3247.0,3182.6,3186.1,3195.15,TCS
2021-04-15,3160.3,3237.25,3087.45,3227.0,3218.95,TCS
2021-04-13,3214.0,3214.0,3073.05,3120.0,3104.05,TCS
2021-04-12,3322.25,3338.1,3213.2,3250.0,3246.55,TCS
2021-04-09,3354.0,3354.35,3308.0,3325.0,3322.25,TCS
2021-04-08,3270.0,3335.0,3266.05,3315.0,3317.35,TCS
2021-04-07,3259.0,3277.55,3234.8,3271.0,3271.4,TCS
2021-04-06,3275.0,3275.0,3230.0,3266.5,3264.7,TCS
2021-04-05,3171.0,3263.0,3151.0,3241.0,3238.9,TCS
2021-04-01,3191.1,3215.0,3145.0,3167.0,3165.0,TCS
2021-03-31,3155.0,3205.0,3132.0,3175.3,3177.85,TCS
2021-03-30,3083.0,3188.45,3060.9,3172.0,3158.55,TCS
2021-03-26,3090.65,3118.0,3043.05,3062.0,3066.8,TCS
2021-03-25,3112.2,3130.85,3050.0,3074.5,3064.85,TCS
2021-03-24,3111.2,3152.3,3111.15,3123.6,3121.1,TCS
2021-03-23,3140.0,3169.0,3122.85,3142.0,3142.6,TCS
2021-03-22,3048.7,3139.45,3018.65,3128.0,3129.65,TCS
2021-03-19,3030.0,3099.0,3005.0,3054.8,3050.2,TCS
2021-03-18,3125.95,3146.45,2987.05,3042.0,3036.5,TCS
2021-03-17,3105.0,3155.0,3085.3,3107.4,3112.95,TCS
2021-03-16,3060.0,3141.0,3060.0,3106.0,3110.05,TCS
2021-03-15,3041.0,3099.0,3041.0,3062.05,3066.15,TCS
2021-03-12,3075.0,3117.0,3041.35,3053.1,3057.95,TCS
2021-03-10,3075.0,3093.2,3060.0,3070.0,3070.95,TCS
2021-03-09,3006.95,3066.9,2992.1,3060.5,3050.95,TCS
2021-03-08,3016.0,3033.0,2996.0,3008.7,3006.95,TCS
2021-03-05,3016.1,3063.2,2996.6,3025.0,3008.05,TCS
2021-03-04,3023.0,3081.45,3016.05,3042.9,3049.7,TCS
2021-03-03,3035.0,3064.0,2996.9,3058.0,3059.1,TCS
2021-03-02,2960.0,3025.0,2948.0,3019.0,3006.35,TCS
2021-03-01,2926.0,2965.0,2901.8,2935.5,2924.2,TCS
2021-02-26,2960.0,2972.35,2880.0,2903.85,2894.3,TCS
2021-02-25,2974.0,3029.9,2968.45,2985.05,2995.3,TCS
2021-02-24,2972.0,3003.35,2921.15,2946.85,2948.1,TCS
2021-02-23,2970.0,3028.0,2968.0,2985.1,2980.2,TCS
2021-02-22,3096.0,3096.0,2943.15,2955.5,2958.45,TCS
2021-02-19,3058.0,3087.15,3016.15,3078.0,3071.85,TCS
2021-02-18,3065.0,3097.9,3031.0,3055.0,3057.35,TCS
2021-02-17,3105.1,3132.85,3045.55,3073.45,3073.1,TCS
2021-02-16,3150.0,3167.65,3100.0,3113.0,3108.8,TCS
2021-02-15,3209.0,3209.0,3131.55,3149.0,3139.85,TCS
2021-02-12,3184.2,3245.5,3182.0,3188.25,3190.8,TCS
2021-02-11,3215.0,3219.3,3185.05,3204.5,3206.0,TCS
2021-02-10,3185.0,3219.4,3157.3,3215.5,3213.3,TCS
2021-02-09,3195.0,3245.8,3164.0,3176.0,3176.9,TCS
2021-02-08,3189.5,3226.0,3155.15,3219.0,3214.1,TCS
2021-02-05,3198.95,3205.85,3129.0,3160.5,3157.95,TCS
2021-02-04,3216.05,3237.85,3176.0,3185.5,3188.45,TCS
2021-02-03,3213.0,3236.0,3162.65,3200.0,3200.05,TCS
2021-02-02,3174.0,3224.0,3150.0,3195.0,3203.45,TCS
2021-02-01,3100.0,3165.0,3044.1,3150.0,3139.35,TCS
2021-01-29,3210.05,3216.85,3100.0,3126.95,3111.35,TCS
2021-01-28,3230.0,3275.0,3183.8,3202.95,3196.55,TCS
2021-01-27,3300.0,3306.45,3227.0,3263.0,3261.05,TCS
2021-01-25,3308.95,3339.8,3278.65,3298.0,3291.3,TCS
2021-01-22,3241.9,3325.0,3241.9,3292.2,3303.1,TCS
2021-01-21,3305.0,3309.15,3262.1,3274.05,3273.85,TCS
2021-01-20,3270.0,3327.95,3267.1,3305.0,3308.8,TCS
2021-01-19,3233.0,3279.0,3232.0,3265.6,3260.7,TCS
2021-01-18,3250.0,3256.75,3187.4,3215.0,3221.75,TCS
2021-01-15,3235.0,3274.0,3210.0,3229.95,3233.35,TCS
2021-01-14,3155.0,3266.5,3120.4,3244.35,3250.7,TCS
2021-01-13,3175.0,3177.0,3126.25,3158.0,3158.95,TCS
2021-01-12,3176.45,3210.0,3150.0,3172.0,3174.85,TCS
2021-01-11,3230.0,3230.0,3146.55,3170.45,3176.45,TCS
2021-01-08,3090.0,3128.0,3060.0,3122.75,3120.9,TCS
2021-01-07,3075.0,3080.85,3000.25,3048.65,3032.8,TCS
2021-01-06,3100.0,3113.5,3037.2,3053.0,3051.5,TCS
2021-01-05,3039.6,3114.25,3039.6,3090.65,3093.0,TCS
2021-01-04,2950.0,3050.75,2940.95,3042.7,3039.45,TCS
2021-01-01,2880.0,2940.0,2879.0,2932.0,2928.25,TCS
2020-12-31,2900.0,2905.0,2845.0,2864.95,2862.75,TCS
2020-12-30,2934.4,2947.7,2902.0,2910.0,2909.3,TCS
2020-12-29,2920.0,2952.0,2920.0,2935.0,2930.5,TCS
2020-12-28,2910.0,2949.7,2902.0,2932.1,2929.4,TCS
2020-12-24,2909.0,2921.35,2883.2,2908.95,2909.35,TCS
2020-12-23,2876.05,2919.0,2865.45,2907.15,2908.75,TCS
2020-12-22,2834.0,2883.65,2818.65,2870.65,2872.5,TCS
2020-12-21,2861.0,2886.5,2785.0,2810.0,2820.15,TCS
2020-12-18,2868.0,2898.0,2846.2,2851.95,2861.0,TCS
2020-12-17,2811.0,2853.7,2805.0,2848.7,2838.2,TCS
2020-12-16,2779.0,2819.8,2760.45,2810.0,2814.2,TCS
2020-12-15,2786.0,2794.7,2755.0,2763.95,2761.55,TCS
2020-12-14,2802.0,2804.0,2756.25,2796.55,2797.7,TCS
2020-12-11,2792.7,2807.7,2764.55,2782.0,2783.6,TCS
2020-12-10,2818.0,2827.3,2780.25,2784.8,2784.3,TCS
2020-12-09,2815.0,2840.0,2793.15,2812.05,2810.8,TCS
2020-12-08,2740.0,2805.55,2732.45,2795.0,2797.3,TCS
2020-12-07,2715.0,2744.0,2706.15,2741.0,2737.7,TCS
2020-12-04,2710.8,2738.85,2699.0,2723.0,2727.55,TCS
2020-12-03,2773.9,2773.9,2700.8,2710.0,2709.45,TCS
2020-12-02,2719.0,2754.7,2702.45,2745.5,2749.55,TCS
2020-12-01,2679.0,2735.9,2624.45,2729.0,2726.8,TCS
2020-11-27,2705.0,2717.7,2669.05,2678.0,2679.65,TCS
2020-11-26,2686.0,2730.95,2680.0,2730.0,2720.6,TCS
2020-11-25,2729.0,2732.95,2688.2,2700.0,2701.3,TCS
2020-11-24,2734.4,2743.0,2705.0,2726.0,2722.05,TCS
2020-11-23,2690.0,2730.0,2665.0,2727.25,2724.25,TCS
2020-11-20,2655.0,2676.0,2627.55,2657.8,2660.25,TCS
2020-11-19,2637.0,2676.15,2630.85,2640.25,2636.9,TCS
2020-11-18,2661.0,2664.2,2607.05,2626.0,2626.65,TCS
2020-11-17,2695.0,2695.0,2650.05,2661.25,2666.05,TCS
2020-11-14,2677.95,2689.0,2660.05,2673.25,2670.35,TCS
2020-11-13,2655.75,2664.9,2636.0,2661.2,2656.85,TCS
2020-11-12,2686.0,2713.0,2661.75,2674.75,2671.05,TCS
2020-11-11,2667.95,2692.8,2643.4,2687.5,2687.8,TCS
2020-11-10,2697.2,2713.15,2638.35,2653.95,2649.6,TCS
2020-11-09,2731.1,2744.0,2695.1,2726.0,2726.6,TCS
2020-11-06,2699.0,2713.25,2681.3,2711.0,2707.45,TCS
2020-11-05,2685.0,2710.0,2667.0,2688.0,2685.7,TCS
