DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,56.0,57.0,53.1,53.85,65.8,15.3,TEXMOPIPES
2021-11-11,57.5,57.6,54.0,55.05,65.8,15.3,TEXMOPIPES
2021-11-10,58.5,59.7,55.95,57.75,65.8,15.3,TEXMOPIPES
2021-11-09,52.0,57.0,51.95,57.0,65.8,15.3,TEXMOPIPES
2021-11-08,49.3,52.45,49.3,51.85,65.8,15.3,TEXMOPIPES
2021-11-04,49.3,50.0,49.25,49.85,65.8,13.7,TEXMOPIPES
2021-11-03,48.3,50.95,48.3,49.05,65.8,13.7,TEXMOPIPES
2021-11-02,49.75,50.4,47.5,49.0,65.8,13.7,TEXMOPIPES
2021-11-01,48.15,50.1,48.0,49.1,65.8,13.7,TEXMOPIPES
2021-10-29,48.95,48.95,47.15,48.1,65.8,13.7,TEXMOPIPES
2021-10-28,49.4,49.4,48.0,48.35,65.8,13.7,TEXMOPIPES
2021-10-27,48.5,49.95,48.25,48.55,65.8,13.7,TEXMOPIPES
2021-10-26,49.7,49.85,48.5,48.7,65.8,13.7,TEXMOPIPES
2021-10-25,49.8,50.2,47.95,49.2,65.8,13.7,TEXMOPIPES
2021-10-22,50.3,51.0,49.0,49.25,65.8,13.7,TEXMOPIPES
2021-10-21,50.4,51.4,49.75,50.2,65.8,13.7,TEXMOPIPES
2021-10-20,51.4,51.4,49.1,49.65,65.8,13.7,TEXMOPIPES
2021-10-19,51.4,52.25,50.05,50.5,65.8,13.7,TEXMOPIPES
2021-10-18,52.75,54.9,50.8,51.9,65.8,13.7,TEXMOPIPES
2021-10-14,52.3,52.95,51.6,52.15,65.8,13.7,TEXMOPIPES
2021-10-13,53.3,53.3,51.8,52.0,65.8,13.7,TEXMOPIPES
2021-10-12,52.2,53.5,51.1,52.7,65.8,13.7,TEXMOPIPES
2021-10-11,55.0,55.7,52.1,52.55,65.8,13.7,TEXMOPIPES
2021-10-08,51.9,56.45,51.35,53.7,65.8,13.7,TEXMOPIPES
2021-10-07,51.7,52.5,51.1,51.35,65.8,13.7,TEXMOPIPES
2021-10-06,52.35,52.5,51.15,51.55,65.8,13.7,TEXMOPIPES
2021-10-05,52.65,52.65,51.0,51.75,65.8,13.7,TEXMOPIPES
2021-10-04,51.7,52.95,51.0,52.1,65.8,13.7,TEXMOPIPES
2021-10-01,53.45,53.45,51.5,51.95,65.8,13.7,TEXMOPIPES
2021-09-30,54.0,54.3,52.1,53.5,65.8,13.7,TEXMOPIPES
2021-09-29,50.0,51.75,49.4,51.75,65.8,13.7,TEXMOPIPES
2021-09-28,49.05,49.95,48.6,49.3,65.8,13.7,TEXMOPIPES
2021-09-27,50.7,50.7,48.5,49.25,65.8,13.7,TEXMOPIPES
2021-09-24,49.6,50.25,48.7,48.9,65.8,13.1,TEXMOPIPES
2021-09-23,50.5,50.95,49.3,49.6,65.8,13.1,TEXMOPIPES
2021-09-22,51.0,51.45,49.55,50.7,65.8,13.1,TEXMOPIPES
2021-09-21,49.7,50.75,48.65,50.1,65.8,13.1,TEXMOPIPES
2021-09-20,50.5,50.8,49.25,49.7,65.8,13.1,TEXMOPIPES
2021-09-17,53.45,53.45,51.0,51.15,65.8,13.1,TEXMOPIPES
2021-09-16,53.9,54.8,51.5,53.45,65.8,13.1,TEXMOPIPES
2021-09-15,51.95,52.25,51.0,52.25,65.8,13.1,TEXMOPIPES
2021-09-14,48.8,50.5,48.3,49.8,65.8,13.1,TEXMOPIPES
2021-09-13,49.75,49.75,48.05,48.25,65.8,13.1,TEXMOPIPES
2021-09-09,48.95,48.95,47.6,48.35,65.8,13.05,TEXMOPIPES
2021-09-08,47.75,49.4,46.9,48.1,65.8,13.05,TEXMOPIPES
2021-09-07,49.0,49.5,48.1,48.55,65.8,13.05,TEXMOPIPES
2021-09-06,51.45,51.45,48.25,48.9,65.8,13.05,TEXMOPIPES
2021-09-03,50.5,51.95,49.9,50.65,65.8,13.05,TEXMOPIPES
2021-09-02,47.15,49.5,47.15,49.5,65.8,13.05,TEXMOPIPES
2021-09-01,48.95,49.25,45.4,47.15,65.8,13.05,TEXMOPIPES
2021-08-31,49.2,49.25,47.2,47.75,65.8,13.05,TEXMOPIPES
2021-08-30,47.1,48.7,47.1,48.3,65.8,13.05,TEXMOPIPES
2021-08-27,46.95,48.0,46.4,47.05,65.8,13.05,TEXMOPIPES
2021-08-26,49.2,49.85,46.5,46.95,65.8,13.05,TEXMOPIPES
2021-08-25,47.25,49.4,47.2,48.65,65.8,13.05,TEXMOPIPES
2021-08-24,45.0,47.9,43.7,47.35,65.8,13.05,TEXMOPIPES
2021-08-23,48.2,49.0,45.8,45.8,65.8,13.05,TEXMOPIPES
2021-08-20,50.5,50.5,48.2,48.2,65.8,13.05,TEXMOPIPES
2021-08-18,51.5,52.1,50.3,50.7,65.8,13.05,TEXMOPIPES
2021-08-17,52.0,52.95,50.75,51.15,65.8,13.05,TEXMOPIPES
2021-08-16,54.4,54.4,52.05,52.35,65.8,13.05,TEXMOPIPES
2021-08-13,55.8,56.0,54.0,54.75,65.8,12.45,TEXMOPIPES
2021-08-12,54.5,54.9,52.7,54.6,65.8,12.45,TEXMOPIPES
2021-08-11,56.35,56.7,51.8,53.1,65.8,12.45,TEXMOPIPES
2021-08-10,54.7,54.7,51.75,54.5,65.8,12.45,TEXMOPIPES
2021-08-09,54.5,54.8,52.0,52.1,65.8,12.45,TEXMOPIPES
2021-08-06,51.55,53.8,50.55,53.0,65.8,11.2,TEXMOPIPES
2021-08-05,52.8,52.8,50.55,51.25,65.8,11.2,TEXMOPIPES
2021-08-04,54.0,54.0,51.95,52.25,65.8,11.2,TEXMOPIPES
2021-08-03,53.15,54.1,51.7,52.35,65.8,11.2,TEXMOPIPES
2021-08-02,53.75,54.4,51.55,53.15,65.8,11.2,TEXMOPIPES
