DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,8.35,8.45,8.05,8.25,8.2,9.1,4.15,TGBHOTELS
2021-07-26,8.5,8.5,8.0,8.4,8.35,9.1,3.25,TGBHOTELS
2021-07-23,8.25,8.4,7.95,8.1,8.3,9.1,3.1,TGBHOTELS
2021-07-22,9.0,9.0,8.25,8.25,8.25,9.1,2.3,TGBHOTELS
2021-07-20,9.1,9.1,8.4,8.85,8.65,9.1,2.2,TGBHOTELS
2021-05-19,5.8,6.0,5.6,5.9,5.75,7.95,2.1,TGBHOTELS
2021-05-18,6.25,6.25,5.7,5.75,5.8,7.95,2.1,TGBHOTELS
2021-05-17,6.25,6.25,5.95,6.0,6.0,7.95,2.1,TGBHOTELS
2021-05-14,6.25,6.3,5.5,6.3,6.25,7.95,2.1,TGBHOTELS
2021-05-12,5.75,5.75,5.05,5.75,5.75,7.95,2.1,TGBHOTELS
2021-05-11,4.85,5.25,4.65,5.25,5.25,7.95,2.1,TGBHOTELS
2021-05-10,4.9,4.9,4.8,4.85,4.8,7.95,2.1,TGBHOTELS
2021-05-07,4.9,4.9,4.55,4.85,4.8,7.95,2.1,TGBHOTELS
2021-05-06,5.0,5.0,4.65,4.7,4.65,7.95,2.1,TGBHOTELS
2021-05-05,4.6,4.85,4.5,4.75,4.7,7.95,2.1,TGBHOTELS
2021-05-04,4.45,4.55,4.45,4.55,4.45,7.95,2.1,TGBHOTELS
2021-05-03,4.55,4.6,4.4,4.4,4.4,7.95,2.1,TGBHOTELS
2021-04-30,4.55,4.6,4.45,4.55,4.5,7.95,2.1,TGBHOTELS
2021-04-29,4.6,4.65,4.45,4.45,4.45,7.95,2.1,TGBHOTELS
2021-04-28,4.6,4.6,4.3,4.5,4.4,7.95,2.1,TGBHOTELS
2021-04-27,4.65,4.65,4.4,4.4,4.4,7.95,2.1,TGBHOTELS
2021-04-26,4.25,4.75,4.25,4.35,4.4,7.95,2.1,TGBHOTELS
