DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,930.0,975.0,914.7,945.05,937.65,975.0,275.25,THEMISMED
2021-07-23,931.0,935.2,898.7,914.0,913.15,960.0,275.25,THEMISMED
2021-07-22,955.9,960.0,920.05,933.0,930.95,960.0,275.25,THEMISMED
2021-07-20,871.0,957.0,871.0,950.0,939.85,957.0,275.25,THEMISMED
2021-07-19,870.0,889.1,837.95,874.95,870.0,909.95,275.25,THEMISMED
2021-07-16,887.3,905.2,856.75,877.0,872.85,909.95,275.25,THEMISMED
2021-07-15,858.75,909.95,842.0,879.45,887.3,909.95,275.25,THEMISMED
2021-07-14,763.5,843.2,763.5,843.2,838.75,843.2,275.25,THEMISMED
2021-07-13,769.95,779.0,753.35,766.05,766.55,835.0,275.25,THEMISMED
2021-07-12,760.0,766.05,745.0,765.0,761.2,835.0,275.25,THEMISMED
2021-07-09,736.15,759.9,733.75,740.0,743.85,835.0,275.25,THEMISMED
2021-07-08,749.75,765.2,736.0,736.6,743.0,835.0,275.25,THEMISMED
2021-07-07,743.8,770.0,722.05,755.0,750.9,835.0,275.25,THEMISMED
2021-07-06,742.0,769.8,733.3,735.0,743.8,835.0,275.25,THEMISMED
2021-07-05,691.0,736.2,662.25,736.2,727.0,835.0,275.25,THEMISMED
2021-07-02,680.0,680.0,656.65,670.0,669.3,835.0,275.25,THEMISMED
2021-07-01,691.0,702.4,669.65,679.15,680.3,835.0,275.25,THEMISMED
2021-06-30,713.55,713.55,695.15,696.0,696.35,835.0,275.25,THEMISMED
2021-06-29,715.0,715.0,693.75,696.0,700.1,835.0,275.25,THEMISMED
2021-06-28,707.0,730.0,704.0,719.7,712.5,835.0,275.25,THEMISMED
2021-06-25,700.5,720.0,695.4,700.7,707.05,835.0,275.25,THEMISMED
2021-06-24,695.0,709.95,691.0,695.0,695.3,835.0,275.25,THEMISMED
2021-06-23,710.0,714.9,696.0,705.25,704.25,835.0,275.25,THEMISMED
2021-06-22,720.8,730.9,685.05,704.75,692.45,835.0,275.25,THEMISMED
2021-06-21,711.75,723.75,690.0,710.0,714.9,835.0,275.25,THEMISMED
2021-06-18,715.8,739.8,695.15,721.65,713.8,835.0,275.25,THEMISMED
2021-06-17,720.0,746.7,711.0,711.0,720.1,835.0,275.25,THEMISMED
2021-06-16,760.0,768.15,725.05,730.1,733.55,835.0,275.25,THEMISMED
2021-06-15,710.0,755.0,705.0,753.0,747.35,835.0,275.25,THEMISMED
2021-06-14,740.0,740.0,700.0,710.35,711.8,835.0,275.25,THEMISMED
2021-06-11,753.0,769.95,738.95,742.05,740.55,835.0,275.25,THEMISMED
2021-06-10,765.0,767.0,725.0,753.0,752.35,835.0,275.25,THEMISMED
2021-06-09,799.9,804.95,744.0,749.95,754.85,835.0,275.25,THEMISMED
2021-06-08,820.0,821.05,780.0,784.8,784.8,835.0,275.25,THEMISMED
2021-06-07,789.0,825.0,789.0,810.0,809.95,835.0,275.25,THEMISMED
2021-06-04,796.9,835.0,744.15,777.0,777.3,835.0,275.25,THEMISMED
2021-06-03,779.95,830.0,775.35,799.0,797.75,830.0,275.25,THEMISMED
2021-06-02,650.0,760.9,640.0,760.9,760.9,760.9,275.25,THEMISMED
2021-06-01,586.5,664.7,581.8,633.0,634.1,664.7,275.25,THEMISMED
2021-05-31,540.15,592.0,532.85,568.6,577.55,624.2,275.25,THEMISMED
2021-05-28,522.25,556.4,522.25,539.0,540.15,624.2,275.25,THEMISMED
2021-05-27,579.0,624.2,520.05,521.0,532.05,624.2,275.25,THEMISMED
2021-05-26,528.5,591.3,519.95,577.0,570.9,591.3,275.25,THEMISMED
2021-05-25,497.65,544.0,494.3,522.0,522.3,544.0,275.25,THEMISMED
2021-05-24,496.0,502.0,491.05,493.0,495.6,524.0,275.25,THEMISMED
2021-05-21,489.1,506.65,489.1,497.0,494.9,524.0,275.25,THEMISMED
2021-05-20,495.0,502.0,484.0,489.1,487.7,524.0,275.25,THEMISMED
2021-05-19,483.8,498.75,475.55,492.25,493.15,524.0,275.25,THEMISMED
2021-05-18,482.0,496.0,470.2,478.05,473.7,524.0,275.25,THEMISMED
2021-05-17,505.0,507.4,470.0,477.0,479.05,524.0,275.25,THEMISMED
2021-05-14,484.9,524.0,475.0,496.2,497.6,524.0,275.25,THEMISMED
2021-05-12,443.95,499.0,439.85,466.15,465.85,499.0,275.25,THEMISMED
2021-05-11,442.0,457.0,434.15,438.95,439.75,462.0,275.25,THEMISMED
2021-05-10,460.4,462.0,434.45,447.0,449.7,462.0,275.25,THEMISMED
2021-05-07,385.1,461.0,384.0,455.0,450.55,461.0,275.25,THEMISMED
2021-05-06,377.2,388.05,377.2,385.5,385.55,422.9,275.25,THEMISMED
2021-05-05,373.1,385.0,373.1,383.0,383.05,422.9,275.25,THEMISMED
2021-05-04,390.0,395.0,365.5,368.25,369.8,422.9,275.25,THEMISMED
2021-05-03,376.0,391.8,373.8,383.2,384.45,422.9,275.25,THEMISMED
2021-04-30,345.75,394.0,345.75,371.5,371.8,422.9,275.25,THEMISMED
2021-04-29,360.0,365.0,350.5,353.45,351.65,422.9,275.25,THEMISMED
2021-04-28,369.95,369.95,356.1,356.1,357.55,422.9,275.25,THEMISMED
2021-04-27,372.0,381.0,360.1,362.7,364.75,422.9,275.25,THEMISMED
2021-04-26,379.0,380.0,355.25,371.75,370.95,422.9,275.25,THEMISMED
2021-04-23,362.0,394.0,358.9,369.25,371.6,422.9,275.25,THEMISMED
2021-04-22,335.95,371.0,335.95,356.55,359.5,422.9,275.25,THEMISMED
2021-04-20,314.0,345.0,310.2,338.0,333.35,422.9,275.25,THEMISMED
2021-04-19,308.0,315.0,306.95,313.95,312.85,422.9,275.25,THEMISMED
2021-04-16,315.0,315.0,306.25,306.25,307.2,422.9,275.25,THEMISMED
2021-04-15,318.0,318.0,300.6,312.0,311.3,422.9,275.25,THEMISMED
2021-04-13,315.0,315.05,310.0,314.0,313.9,422.9,275.25,THEMISMED
2021-04-12,320.45,320.45,304.5,311.0,307.2,422.9,275.25,THEMISMED
2021-04-09,324.0,324.0,305.6,320.9,320.45,422.9,235.0,THEMISMED
2021-04-08,312.7,324.45,310.15,324.25,322.0,422.9,235.0,THEMISMED
2021-04-07,304.75,315.0,304.75,313.0,311.9,422.9,235.0,THEMISMED
2021-04-06,308.65,308.7,299.3,308.7,306.9,422.9,235.0,THEMISMED
2021-04-05,294.75,304.0,294.75,303.95,301.4,422.9,235.0,THEMISMED
2021-04-01,286.0,302.0,281.45,299.0,297.9,422.9,225.05,THEMISMED
2021-03-31,281.9,288.0,278.05,280.05,281.35,422.9,225.05,THEMISMED
2021-03-30,289.2,289.2,276.15,276.15,280.1,422.9,225.05,THEMISMED
2021-03-26,294.55,294.55,277.6,282.75,285.95,422.9,225.05,THEMISMED
2021-03-25,300.05,300.5,284.7,286.1,286.6,422.9,225.05,THEMISMED
2021-03-24,296.7,305.95,293.85,300.0,299.05,422.9,225.05,THEMISMED
2021-03-23,288.0,298.15,288.0,294.15,296.4,422.9,225.05,THEMISMED
2021-03-22,288.75,296.0,286.85,288.6,288.8,422.9,225.05,THEMISMED
2021-03-19,293.3,304.45,276.0,294.0,294.55,422.9,225.05,THEMISMED
2021-03-18,308.0,308.0,290.0,291.1,291.65,422.9,225.05,THEMISMED
2021-03-17,303.0,304.95,295.0,296.45,298.3,422.9,225.05,THEMISMED
2021-03-16,300.55,307.05,292.35,303.0,302.7,422.9,225.05,THEMISMED
2021-03-15,310.0,312.95,299.0,300.0,300.55,422.9,225.05,THEMISMED
2021-03-12,313.2,313.75,302.1,308.5,307.95,422.9,225.05,THEMISMED
2021-03-10,313.3,316.0,310.05,312.9,310.85,422.9,225.05,THEMISMED
2021-03-09,317.3,317.95,310.5,310.55,311.8,422.9,225.05,THEMISMED
2021-03-08,313.25,318.0,311.35,315.6,316.35,422.9,225.05,THEMISMED
2021-03-05,315.25,318.5,308.05,313.45,311.1,422.9,225.05,THEMISMED
2021-03-04,313.0,319.5,311.35,314.9,312.4,422.9,225.05,THEMISMED
2021-03-03,315.0,315.0,307.0,314.0,314.05,422.9,225.05,THEMISMED
2021-03-02,307.45,321.0,305.3,307.0,306.7,422.9,225.05,THEMISMED
2021-03-01,311.75,313.0,305.0,307.0,306.5,422.9,225.05,THEMISMED
2021-02-26,314.0,320.0,305.05,307.6,308.35,422.9,225.05,THEMISMED
2021-02-25,310.5,316.05,306.2,312.0,311.2,422.9,225.05,THEMISMED
2021-02-24,314.35,320.75,301.0,313.8,313.6,422.9,225.05,THEMISMED
2021-02-23,321.35,321.65,311.1,315.0,313.5,422.9,225.05,THEMISMED
2021-02-22,328.0,328.0,311.0,314.1,313.6,422.9,225.05,THEMISMED
2021-02-19,323.35,330.45,314.8,316.0,315.85,422.9,225.05,THEMISMED
2021-02-18,324.0,333.35,321.9,322.0,322.65,422.9,225.05,THEMISMED
2021-02-17,328.0,334.25,323.0,327.45,325.9,422.9,225.05,THEMISMED
2021-02-16,337.4,344.0,329.0,329.55,330.05,422.9,225.05,THEMISMED
2021-02-15,359.85,359.85,329.85,330.0,334.3,422.9,225.05,THEMISMED
2021-02-12,342.45,360.25,330.0,354.0,355.0,422.9,225.05,THEMISMED
2021-02-11,333.65,343.75,333.6,335.25,337.75,422.9,225.05,THEMISMED
2021-02-10,331.95,343.0,330.6,340.2,339.75,422.9,225.05,THEMISMED
2021-02-09,340.8,341.95,327.0,327.05,329.55,422.9,225.05,THEMISMED
2021-02-08,337.95,344.9,329.0,336.0,335.85,422.9,225.05,THEMISMED
2021-02-05,330.0,350.0,327.65,331.5,333.6,422.9,225.05,THEMISMED
2021-02-04,325.8,332.75,322.0,326.8,328.7,422.9,225.05,THEMISMED
2021-02-03,332.25,336.75,325.8,330.0,331.1,422.9,225.05,THEMISMED
2021-02-02,323.0,328.9,321.0,325.25,326.3,422.9,225.05,THEMISMED
2021-02-01,325.2,339.85,317.65,320.3,319.8,422.9,225.05,THEMISMED
2021-01-29,327.0,337.95,325.0,328.0,328.7,422.9,225.05,THEMISMED
2021-01-28,315.6,335.0,315.6,331.2,329.65,422.9,225.05,THEMISMED
2021-01-27,325.05,334.0,322.7,325.0,325.4,422.9,225.05,THEMISMED
2021-01-25,331.05,332.9,320.0,321.0,323.35,422.9,225.05,THEMISMED
2021-01-22,338.05,340.9,316.4,331.5,330.85,422.9,225.05,THEMISMED
2021-01-21,339.55,342.25,336.75,336.75,338.25,422.9,225.05,THEMISMED
2021-01-20,343.95,343.95,335.25,337.25,337.95,422.9,225.05,THEMISMED
2021-01-19,335.05,344.6,330.0,337.25,337.7,422.9,225.05,THEMISMED
2021-01-18,347.75,347.75,335.0,336.95,336.35,422.9,225.05,THEMISMED
2021-01-15,347.95,347.95,342.1,343.0,343.4,422.9,225.05,THEMISMED
2021-01-14,342.05,349.5,340.0,345.95,344.8,422.9,225.05,THEMISMED
