DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,157.45,163.75,152.05,157.65,243.5,125.25,TIL
2021-11-11,164.55,164.55,134.5,157.35,243.5,125.25,TIL
2021-11-10,169.0,169.0,161.9,166.0,243.5,125.25,TIL
2021-11-09,172.5,172.5,164.05,165.7,243.5,125.25,TIL
2021-11-08,172.9,173.0,168.0,168.45,243.5,125.25,TIL
2021-11-04,160.5,180.0,160.5,168.1,243.5,125.25,TIL
2021-11-03,159.8,160.5,158.1,160.45,243.5,125.25,TIL
2021-11-02,163.25,164.9,158.05,159.75,243.5,125.25,TIL
2021-11-01,165.7,165.85,160.6,160.9,243.5,125.25,TIL
2021-10-29,161.4,163.5,157.1,162.95,243.5,125.25,TIL
2021-10-28,159.65,164.4,157.1,159.7,243.5,125.25,TIL
2021-10-27,165.4,165.9,155.75,157.7,243.5,125.25,TIL
2021-10-26,157.1,167.7,157.0,161.9,243.5,125.25,TIL
2021-10-25,162.1,163.75,154.05,155.65,243.5,125.25,TIL
2021-10-22,162.65,168.9,161.05,164.1,243.5,125.25,TIL
2021-10-21,167.15,177.1,162.0,163.5,243.5,125.25,TIL
2021-10-20,169.8,169.8,164.1,167.2,243.5,125.25,TIL
2021-10-19,174.15,177.65,168.4,169.8,243.5,125.25,TIL
2021-10-18,182.05,183.05,171.4,172.5,243.5,125.25,TIL
2021-10-14,185.35,189.0,179.65,181.95,243.5,125.25,TIL
2021-10-13,196.0,199.05,179.45,182.0,243.5,125.25,TIL
2021-10-12,201.05,205.0,190.1,194.45,243.5,125.25,TIL
2021-10-11,186.25,209.8,186.25,200.05,243.5,125.25,TIL
2021-10-08,177.9,197.0,169.2,180.4,243.5,125.25,TIL
2021-10-07,164.05,175.5,162.95,172.0,243.5,125.25,TIL
2021-10-06,169.9,169.9,160.2,162.95,243.5,125.25,TIL
2021-10-05,175.0,175.0,165.1,166.2,243.5,125.25,TIL
2021-10-04,166.2,180.0,165.75,172.45,243.5,125.25,TIL
2021-10-01,157.0,166.8,153.0,164.7,243.5,125.25,TIL
2021-09-30,157.0,157.0,153.0,153.25,243.5,125.25,TIL
2021-09-29,152.0,156.55,150.5,153.9,243.5,125.25,TIL
2021-09-28,155.5,158.05,150.0,151.55,243.5,125.25,TIL
2021-09-27,156.45,158.85,152.1,154.65,243.5,125.25,TIL
2021-09-24,157.1,158.9,155.0,156.5,243.5,125.25,TIL
2021-09-23,160.0,160.0,155.0,155.6,243.5,125.25,TIL
2021-09-22,155.55,160.95,155.35,157.25,243.5,125.25,TIL
2021-09-21,155.6,159.5,155.0,156.95,243.5,125.25,TIL
2021-09-20,164.0,164.0,153.0,155.25,243.5,125.25,TIL
2021-09-17,163.75,169.0,157.15,158.7,243.5,125.25,TIL
2021-09-16,166.1,170.0,155.0,160.1,243.5,125.25,TIL
2021-09-15,158.45,171.0,153.6,165.85,243.5,125.25,TIL
2021-09-14,161.05,161.05,156.55,158.25,243.5,125.25,TIL
2021-09-13,156.5,162.4,152.3,158.35,243.5,125.25,TIL
2021-09-09,152.6,157.5,152.6,156.75,243.5,125.25,TIL
2021-09-08,150.2,154.25,148.85,153.4,243.5,125.25,TIL
2021-09-07,155.1,155.1,147.05,150.3,243.5,125.25,TIL
