DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,252.0,254.9,247.5,248.65,249.05,TINPLATE
2021-07-15,255.1,262.65,247.3,249.5,249.75,TINPLATE
2021-07-14,234.35,242.45,233.7,239.4,238.95,TINPLATE
2021-07-13,231.85,238.7,227.45,233.8,232.65,TINPLATE
2021-07-12,225.75,232.8,224.2,228.95,229.35,TINPLATE
2021-07-09,220.8,228.35,219.15,224.05,223.55,TINPLATE
2021-07-08,228.1,228.6,218.5,220.2,220.6,TINPLATE
2021-07-07,223.0,230.3,220.05,226.05,226.55,TINPLATE
2021-07-06,224.95,229.95,220.85,223.0,223.1,TINPLATE
2021-07-05,221.0,227.5,220.5,223.4,223.35,TINPLATE
2021-07-02,218.0,224.8,215.9,219.2,219.6,TINPLATE
2021-07-01,217.05,220.15,213.8,217.25,217.1,TINPLATE
2021-06-30,221.9,225.25,215.75,218.0,217.4,TINPLATE
2021-06-29,222.5,226.55,218.25,220.05,220.15,TINPLATE
2021-06-28,210.85,227.7,208.55,221.0,221.35,TINPLATE
2021-06-25,206.0,214.4,205.25,209.3,209.8,TINPLATE
2021-06-24,206.25,206.7,202.65,203.6,203.6,TINPLATE
2021-06-23,209.0,210.9,205.0,205.25,205.35,TINPLATE
2021-06-22,207.7,212.2,207.4,209.0,209.25,TINPLATE
2021-06-21,202.0,207.45,200.95,206.3,206.1,TINPLATE
2021-06-18,208.6,211.1,200.85,206.5,206.15,TINPLATE
2021-06-17,212.0,216.35,206.1,208.25,207.65,TINPLATE
2021-06-16,220.0,221.3,212.55,214.0,213.65,TINPLATE
2021-06-15,222.6,225.0,218.0,219.2,219.6,TINPLATE
2021-06-14,217.5,226.45,210.0,220.8,221.25,TINPLATE
2021-06-11,208.4,217.2,208.1,215.3,215.8,TINPLATE
2021-06-10,204.9,209.45,204.15,206.9,206.75,TINPLATE
2021-06-09,207.8,209.9,202.85,204.0,204.05,TINPLATE
2021-06-08,204.8,210.7,202.05,205.95,206.45,TINPLATE
2021-06-07,204.75,206.4,202.5,202.5,203.5,TINPLATE
2021-06-04,205.35,205.75,202.7,203.2,203.15,TINPLATE
2021-06-03,203.6,207.2,202.6,204.5,204.2,TINPLATE
2021-06-02,201.5,204.5,201.0,202.3,202.2,TINPLATE
2021-06-01,205.25,206.85,199.0,200.8,200.45,TINPLATE
2021-05-31,204.6,207.45,202.25,204.3,203.85,TINPLATE
2021-05-28,208.7,208.95,203.5,204.2,204.35,TINPLATE
2021-05-27,205.0,208.7,203.05,205.0,204.5,TINPLATE
2021-05-26,207.9,209.4,203.2,203.5,204.0,TINPLATE
2021-05-25,205.5,212.0,205.15,207.5,207.15,TINPLATE
2021-05-24,206.15,206.25,200.85,203.3,203.45,TINPLATE
2021-05-21,209.5,211.0,204.75,206.25,205.6,TINPLATE
2021-05-20,212.0,213.05,206.0,209.5,208.9,TINPLATE
2021-05-19,215.05,218.45,212.95,214.3,214.45,TINPLATE
2021-05-18,216.45,218.9,212.0,215.05,214.3,TINPLATE
2021-05-17,202.05,215.95,200.5,215.3,214.6,TINPLATE
2021-05-14,211.9,213.25,196.1,200.9,200.45,TINPLATE
2021-05-12,221.65,224.45,207.0,210.75,209.7,TINPLATE
2021-05-11,220.0,228.3,219.15,220.4,220.05,TINPLATE
2021-05-10,227.85,235.25,227.65,231.0,230.85,TINPLATE
2021-05-07,213.0,234.0,213.0,225.0,226.45,TINPLATE
2021-05-06,205.05,215.5,203.15,212.6,213.5,TINPLATE
2021-05-05,206.5,209.65,201.45,204.0,203.5,TINPLATE
2021-05-04,213.0,220.8,202.65,205.65,204.9,TINPLATE
2021-05-03,195.0,213.0,195.0,209.95,209.9,TINPLATE
2021-04-30,194.5,206.7,191.0,197.75,198.45,TINPLATE
2021-04-29,198.05,203.7,197.1,197.55,198.65,TINPLATE
2021-04-28,190.0,202.7,188.45,195.7,197.4,TINPLATE
2021-04-27,176.8,190.9,176.25,189.0,188.45,TINPLATE
2021-04-26,173.4,179.4,172.3,175.95,175.95,TINPLATE
2021-04-23,169.85,173.85,168.7,169.8,170.35,TINPLATE
2021-04-22,163.0,171.75,163.0,169.2,169.25,TINPLATE
2021-04-20,167.0,168.9,163.0,163.8,164.55,TINPLATE
2021-04-19,165.5,168.65,162.0,164.0,164.35,TINPLATE
2021-04-16,182.0,182.7,169.05,169.3,169.9,TINPLATE
2021-04-15,169.7,182.9,169.5,181.55,180.05,TINPLATE
2021-04-13,163.35,170.85,162.45,168.1,168.15,TINPLATE
2021-04-12,172.5,172.5,161.25,162.85,162.9,TINPLATE
2021-04-09,179.1,182.4,175.8,177.5,177.6,TINPLATE
2021-04-08,172.0,185.2,171.55,177.55,177.8,TINPLATE
2021-04-07,168.9,173.8,168.1,169.85,170.75,TINPLATE
2021-04-06,169.7,172.4,167.05,167.15,167.9,TINPLATE
2021-04-05,170.1,172.8,165.15,168.5,168.35,TINPLATE
2021-04-01,161.8,171.0,160.8,168.8,168.45,TINPLATE
2021-03-31,157.5,164.75,156.3,159.8,160.55,TINPLATE
2021-03-30,157.0,161.6,156.75,158.65,158.8,TINPLATE
2021-03-26,151.0,159.3,149.25,154.0,153.85,TINPLATE
2021-03-25,154.0,154.0,146.1,148.7,148.25,TINPLATE
2021-03-24,157.5,158.9,152.0,153.8,153.85,TINPLATE
2021-03-23,158.35,161.4,156.75,157.55,158.15,TINPLATE
2021-03-22,157.25,161.8,155.55,157.55,157.4,TINPLATE
2021-03-19,153.0,158.0,147.5,156.3,156.65,TINPLATE
2021-03-18,160.95,162.8,153.2,158.0,156.2,TINPLATE
2021-03-17,165.6,166.2,158.2,158.9,159.5,TINPLATE
2021-03-16,166.9,167.45,164.7,165.0,165.25,TINPLATE
2021-03-15,168.25,168.25,164.0,165.55,165.8,TINPLATE
2021-03-12,170.8,172.15,166.5,167.35,167.45,TINPLATE
2021-03-10,170.15,172.4,168.3,168.95,169.55,TINPLATE
2021-03-09,172.35,174.7,168.05,169.25,168.95,TINPLATE
2021-03-08,172.2,174.6,171.0,171.85,171.4,TINPLATE
