DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,135.3,139.9,135.3,137.25,137.1,148.0,57.3,UNIENTER
2021-07-23,139.0,139.2,134.5,135.55,136.6,148.0,57.3,UNIENTER
2021-07-22,135.2,140.5,135.2,136.5,137.25,148.0,57.3,UNIENTER
2021-07-20,137.85,141.6,129.7,135.0,134.9,148.0,57.3,UNIENTER
2021-07-19,139.45,139.5,132.35,133.35,134.2,148.0,57.3,UNIENTER
2021-07-16,136.95,140.05,135.1,137.5,137.15,148.0,56.0,UNIENTER
2021-07-15,142.2,145.75,134.1,136.7,136.85,148.0,56.0,UNIENTER
2021-07-14,137.5,147.6,135.35,141.65,141.45,148.0,56.0,UNIENTER
2021-07-13,132.8,136.8,130.5,135.8,135.55,148.0,56.0,UNIENTER
2021-07-12,131.05,133.0,130.2,130.3,130.7,148.0,56.0,UNIENTER
2021-07-09,134.0,135.0,129.2,131.0,130.35,148.0,56.0,UNIENTER
2021-07-08,136.05,136.05,132.0,132.15,132.5,148.0,56.0,UNIENTER
2021-07-07,131.95,136.5,131.05,134.85,134.3,148.0,56.0,UNIENTER
2021-07-06,134.0,136.65,131.2,132.5,131.7,148.0,56.0,UNIENTER
2021-07-05,131.0,139.4,131.0,134.8,135.15,148.0,56.0,UNIENTER
2021-07-02,134.7,134.8,125.8,131.4,130.6,148.0,56.0,UNIENTER
2021-07-01,134.95,135.75,132.05,133.95,133.4,148.0,56.0,UNIENTER
2021-06-30,131.8,137.0,130.65,133.15,133.55,148.0,56.0,UNIENTER
2021-06-29,130.1,133.65,130.05,131.5,131.9,148.0,56.0,UNIENTER
2021-06-28,130.1,133.55,129.55,129.75,130.05,148.0,56.0,UNIENTER
2021-06-25,134.95,134.95,129.05,130.0,130.15,148.0,56.0,UNIENTER
2021-06-24,133.0,139.95,129.55,131.55,132.25,148.0,56.0,UNIENTER
2021-06-23,132.3,134.0,130.05,133.0,132.45,148.0,56.0,UNIENTER
2021-06-22,131.05,134.65,129.15,133.0,132.3,148.0,56.0,UNIENTER
2021-06-21,129.95,134.0,127.75,129.5,130.25,148.0,56.0,UNIENTER
2021-06-18,135.0,137.95,127.05,130.0,131.05,148.0,55.4,UNIENTER
2021-06-17,131.5,139.45,131.5,135.65,134.9,148.0,55.4,UNIENTER
2021-06-16,148.0,148.0,131.0,133.5,133.85,148.0,55.4,UNIENTER
2021-06-15,126.0,141.7,126.0,141.7,141.7,141.7,55.4,UNIENTER
2021-06-14,119.7,121.95,114.1,118.85,118.1,128.3,55.4,UNIENTER
2021-06-11,124.65,126.9,118.4,118.95,119.25,128.3,55.1,UNIENTER
2021-06-10,121.95,125.95,118.95,124.6,123.75,128.3,55.1,UNIENTER
2021-06-09,128.3,128.3,114.05,118.55,120.3,128.3,55.1,UNIENTER
2021-06-08,122.75,127.9,120.05,125.0,126.05,127.9,55.1,UNIENTER
2021-06-07,122.0,123.4,117.05,118.05,117.85,124.9,55.1,UNIENTER
2021-06-04,124.9,124.9,118.0,121.4,119.3,124.9,51.0,UNIENTER
2021-06-03,120.5,124.65,118.9,123.2,122.9,124.65,51.0,UNIENTER
2021-06-02,110.0,120.0,109.95,119.0,118.35,123.8,51.0,UNIENTER
2021-06-01,112.3,115.75,106.85,110.35,109.8,123.8,51.0,UNIENTER
2021-05-31,112.05,115.9,109.65,111.75,112.25,123.8,51.0,UNIENTER
2021-05-28,121.3,123.8,111.05,114.95,113.25,123.8,45.55,UNIENTER
2021-05-27,107.0,122.0,107.0,120.0,118.2,122.0,45.55,UNIENTER
2021-05-26,103.4,112.85,100.55,106.0,105.4,112.85,45.55,UNIENTER
2021-05-25,101.85,103.9,96.25,100.5,99.8,105.95,45.55,UNIENTER
2021-05-24,102.45,103.0,99.2,99.2,100.25,105.95,45.55,UNIENTER
2021-05-21,101.6,103.45,99.95,100.2,100.65,105.95,43.6,UNIENTER
2021-05-20,102.8,105.3,100.05,102.0,101.6,105.95,43.6,UNIENTER
