DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-11,159.0,166.85,159.0,166.85,166.85,44.5,V2RETAIL
2021-10-08,159.6,162.95,157.9,158.95,164.0,44.5,V2RETAIL
2021-10-07,159.6,159.6,152.15,156.4,164.0,44.5,V2RETAIL
2021-10-06,146.0,152.0,146.0,152.0,164.0,44.5,V2RETAIL
2021-10-05,143.05,147.0,143.0,144.8,164.0,44.5,V2RETAIL
2021-10-04,148.05,151.25,141.55,142.65,164.0,44.5,V2RETAIL
2021-10-01,146.1,150.8,145.0,148.05,164.0,44.5,V2RETAIL
2021-09-30,146.0,154.0,145.3,150.15,164.0,44.5,V2RETAIL
2021-09-29,147.0,151.9,145.7,147.55,164.0,44.5,V2RETAIL
2021-09-28,164.0,164.0,153.35,153.35,164.0,44.5,V2RETAIL
2021-09-27,158.3,161.4,156.05,161.4,161.4,44.5,V2RETAIL
2021-09-24,148.0,153.75,146.55,153.75,154.7,44.5,V2RETAIL
2021-09-23,127.45,139.8,127.4,139.8,154.7,44.5,V2RETAIL
2021-09-22,125.6,127.5,123.85,127.1,154.7,44.5,V2RETAIL
2021-09-21,123.0,125.65,120.2,125.0,154.7,44.5,V2RETAIL
2021-09-20,121.7,126.9,120.0,120.65,154.7,44.5,V2RETAIL
2021-09-17,121.6,122.8,118.35,121.0,154.7,44.5,V2RETAIL
2021-09-16,122.65,125.9,120.0,121.6,154.7,44.5,V2RETAIL
2021-09-15,124.9,124.95,122.5,122.8,154.7,44.5,V2RETAIL
2021-09-14,125.7,126.95,122.3,124.4,154.7,44.5,V2RETAIL
2021-09-13,129.85,129.85,124.35,126.6,154.7,44.5,V2RETAIL
2021-09-09,128.0,131.0,126.05,128.65,154.7,44.5,V2RETAIL
2021-09-08,125.3,129.3,124.25,127.5,154.7,44.5,V2RETAIL
2021-09-07,116.8,127.0,111.05,125.5,154.7,44.5,V2RETAIL
2021-09-06,108.1,120.0,108.0,115.6,154.7,44.5,V2RETAIL
2021-09-03,110.95,112.0,109.2,110.8,154.7,44.5,V2RETAIL
2021-09-02,107.0,114.5,105.3,109.3,154.7,44.5,V2RETAIL
2021-09-01,106.2,108.9,105.8,107.6,154.7,44.5,V2RETAIL
2021-08-31,107.1,108.55,107.05,107.9,154.7,44.5,V2RETAIL
2021-08-30,108.1,109.65,107.15,108.2,154.7,44.5,V2RETAIL
2021-08-27,108.45,109.75,107.1,107.75,154.7,44.5,V2RETAIL
2021-08-26,108.9,110.25,106.55,108.45,154.7,44.5,V2RETAIL
2021-08-25,111.3,111.3,102.75,107.9,154.7,44.5,V2RETAIL
2021-08-24,102.75,111.5,102.75,110.2,154.7,44.5,V2RETAIL
2021-08-23,111.1,111.9,104.6,106.8,154.7,44.5,V2RETAIL
2021-08-20,109.95,113.05,109.3,110.1,154.7,44.5,V2RETAIL
2021-08-18,114.15,115.0,108.55,110.35,154.7,44.5,V2RETAIL
2021-08-17,114.65,114.8,112.0,113.05,154.7,44.5,V2RETAIL
2021-08-16,112.25,116.95,110.1,116.05,154.7,44.5,V2RETAIL
2021-08-13,117.35,117.35,112.0,113.9,154.7,43.0,V2RETAIL
2021-08-12,117.95,118.8,113.45,115.35,154.7,43.0,V2RETAIL
2021-08-11,111.55,117.45,105.45,115.85,154.7,43.0,V2RETAIL
2021-08-10,119.6,119.6,107.0,111.5,154.7,43.0,V2RETAIL
2021-08-09,120.8,120.8,115.0,116.35,154.7,43.0,V2RETAIL
2021-08-06,120.7,121.7,117.5,118.1,154.7,43.0,V2RETAIL
2021-08-05,124.0,124.0,118.5,119.6,154.7,43.0,V2RETAIL
2021-08-04,124.1,127.75,121.0,121.75,154.7,43.0,V2RETAIL
2021-08-03,127.0,127.0,123.5,123.65,154.7,43.0,V2RETAIL
2021-08-02,123.2,126.6,123.2,125.55,154.7,43.0,V2RETAIL
2021-07-30,125.7,129.45,123.0,123.95,154.7,43.0,V2RETAIL
2021-07-29,123.5,128.7,121.45,126.3,154.7,43.0,V2RETAIL
2021-07-28,125.0,125.75,117.35,122.35,154.7,43.0,V2RETAIL
2021-07-27,127.7,129.5,122.2,124.05,154.7,43.0,V2RETAIL
2021-07-26,124.7,129.4,123.3,125.2,154.7,43.0,V2RETAIL
2021-07-23,129.05,131.0,122.0,123.25,154.7,43.0,V2RETAIL
2021-07-22,123.8,133.15,118.85,129.5,154.7,43.0,V2RETAIL
2021-07-20,126.5,127.85,120.25,121.05,154.7,43.0,V2RETAIL
2021-07-19,128.0,129.7,125.0,127.75,154.7,43.0,V2RETAIL
2021-07-16,131.0,132.95,128.6,129.25,154.7,43.0,V2RETAIL
2021-07-15,136.1,138.95,129.5,130.45,154.7,43.0,V2RETAIL
2021-07-14,139.15,143.3,133.0,135.3,154.7,43.0,V2RETAIL
2021-07-13,130.0,142.2,128.5,137.55,154.7,43.0,V2RETAIL
2021-07-12,120.7,130.2,118.65,130.05,154.7,43.0,V2RETAIL
2021-07-09,117.65,120.45,117.55,118.4,154.7,43.0,V2RETAIL
2021-07-08,120.9,121.7,117.0,117.45,154.7,43.0,V2RETAIL
2021-07-07,120.3,120.45,118.2,118.95,154.7,43.0,V2RETAIL
2021-07-06,121.9,122.45,118.25,119.0,154.7,43.0,V2RETAIL
2021-07-05,123.0,126.0,120.15,121.2,154.7,43.0,V2RETAIL
2021-07-02,124.0,126.0,120.0,122.55,154.7,43.0,V2RETAIL
2021-07-01,120.9,121.9,117.7,121.2,154.7,43.0,V2RETAIL
