DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-08,31.2,31.8,29.1,29.4,31.8,8.2,VASCONEQ
2021-10-07,28.25,30.25,28.25,30.25,30.25,8.2,VASCONEQ
2021-10-06,29.85,29.85,27.05,27.5,29.85,8.2,VASCONEQ
2021-10-05,27.7,28.45,26.85,28.45,29.65,8.2,VASCONEQ
2021-10-04,26.1,27.1,26.1,27.1,29.65,8.2,VASCONEQ
2021-10-01,25.5,26.5,25.45,25.85,29.65,8.2,VASCONEQ
2021-09-30,25.2,25.8,24.9,25.3,29.65,8.2,VASCONEQ
2021-09-29,25.35,25.95,24.6,25.45,29.65,8.2,VASCONEQ
2021-09-28,25.65,26.25,24.8,25.35,29.65,8.2,VASCONEQ
2021-09-27,27.2,27.25,25.65,25.65,29.65,8.2,VASCONEQ
2021-09-24,26.7,27.25,25.7,27.0,29.65,8.2,VASCONEQ
2021-09-23,25.75,26.75,25.2,26.6,29.65,8.2,VASCONEQ
2021-09-22,24.3,25.5,24.2,25.5,29.65,8.2,VASCONEQ
2021-09-21,24.05,24.8,23.1,24.3,29.65,8.2,VASCONEQ
2021-09-20,24.35,25.4,24.05,24.05,29.65,8.2,VASCONEQ
2021-09-17,26.65,27.1,25.3,25.3,29.65,8.2,VASCONEQ
2021-09-16,25.9,26.6,25.55,26.6,29.65,8.2,VASCONEQ
2021-09-15,25.7,26.25,25.1,25.35,29.65,8.2,VASCONEQ
2021-09-14,26.0,27.05,25.5,25.95,29.65,8.2,VASCONEQ
2021-09-13,26.3,26.7,25.4,26.0,29.65,8.2,VASCONEQ
2021-09-09,26.15,27.0,25.8,26.3,29.65,7.85,VASCONEQ
2021-09-08,26.35,26.35,25.3,26.05,29.65,7.85,VASCONEQ
2021-09-07,25.95,26.6,25.75,26.05,29.65,7.85,VASCONEQ
2021-09-06,25.95,27.45,25.6,25.95,29.65,7.85,VASCONEQ
2021-09-03,27.7,28.0,25.9,26.5,29.65,7.85,VASCONEQ
2021-09-02,26.4,27.0,25.95,27.0,29.65,7.85,VASCONEQ
2021-09-01,24.0,25.75,24.0,25.75,29.65,7.85,VASCONEQ
2021-08-31,25.5,25.55,24.5,24.55,29.65,7.85,VASCONEQ
2021-08-30,25.5,26.05,24.75,25.15,29.65,7.85,VASCONEQ
2021-08-27,25.95,26.75,25.2,25.45,29.65,7.85,VASCONEQ
2021-08-26,26.4,26.75,24.6,25.95,29.65,7.85,VASCONEQ
2021-08-25,25.5,25.5,24.75,25.5,29.65,7.85,VASCONEQ
2021-08-24,23.15,24.3,23.0,24.3,29.65,7.85,VASCONEQ
2021-08-23,25.05,25.3,23.1,23.15,29.65,7.85,VASCONEQ
2021-08-20,24.35,26.0,24.3,24.3,29.65,7.85,VASCONEQ
2021-08-18,25.55,26.05,25.55,25.55,29.65,7.85,VASCONEQ
2021-08-17,29.65,29.65,26.85,26.85,29.65,7.85,VASCONEQ
2021-08-16,28.25,28.25,28.25,28.25,28.25,7.85,VASCONEQ
2021-08-13,26.95,26.95,26.95,26.95,26.95,7.85,VASCONEQ
2021-08-12,24.75,25.7,23.85,25.7,26.15,7.85,VASCONEQ
2021-08-11,24.3,24.55,22.25,24.5,26.15,7.85,VASCONEQ
2021-08-10,22.35,23.4,22.35,23.4,26.15,7.85,VASCONEQ
2021-08-09,23.3,23.3,22.15,22.3,26.15,7.85,VASCONEQ
2021-08-06,22.0,23.2,21.8,22.65,26.15,7.85,VASCONEQ
2021-08-05,22.4,22.5,21.7,22.25,26.15,7.85,VASCONEQ
2021-08-04,23.8,24.0,22.4,22.4,26.15,7.85,VASCONEQ
2021-08-03,23.0,23.85,23.0,23.55,26.15,7.85,VASCONEQ
2021-08-02,22.0,22.75,21.55,22.75,26.15,7.85,VASCONEQ
2021-07-30,21.85,22.1,21.55,21.7,26.15,7.85,VASCONEQ
2021-07-29,22.15,22.25,21.0,21.9,26.15,7.85,VASCONEQ
2021-07-28,22.0,22.45,20.9,21.85,26.15,7.85,VASCONEQ
2021-07-27,22.0,22.35,21.5,22.0,26.15,7.85,VASCONEQ
2021-07-26,21.6,22.5,21.25,22.0,26.15,7.85,VASCONEQ
2021-07-23,21.85,22.4,21.4,21.8,26.15,7.85,VASCONEQ
2021-07-22,22.7,22.7,21.7,21.85,26.15,7.85,VASCONEQ
2021-07-20,23.1,23.45,21.85,21.95,26.15,7.85,VASCONEQ
2021-07-19,22.2,23.55,22.05,22.9,26.15,7.85,VASCONEQ
2021-07-16,23.4,24.15,22.4,22.45,26.15,7.85,VASCONEQ
2021-07-15,23.7,24.25,23.45,23.55,26.15,7.85,VASCONEQ
2021-07-14,25.9,25.9,24.65,24.65,26.15,7.85,VASCONEQ
2021-07-13,25.0,26.15,24.2,25.9,26.15,7.85,VASCONEQ
2021-07-12,22.45,23.8,22.45,23.8,23.8,7.85,VASCONEQ
2021-07-09,21.55,22.25,21.45,21.65,22.9,7.85,VASCONEQ
2021-07-08,20.0,22.35,20.0,21.65,22.9,7.85,VASCONEQ
2021-07-07,20.3,20.65,20.0,20.4,22.9,7.85,VASCONEQ
2021-07-06,20.4,21.35,20.15,20.25,22.9,7.85,VASCONEQ
2021-07-05,20.05,20.4,19.8,20.15,22.9,7.85,VASCONEQ
2021-07-02,20.5,20.5,19.7,19.9,22.9,7.85,VASCONEQ
2021-07-01,20.85,20.9,20.1,20.2,22.9,7.85,VASCONEQ
2021-06-30,21.05,21.4,20.4,20.5,22.9,7.85,VASCONEQ
2021-06-29,20.3,21.2,20.25,20.7,22.9,7.85,VASCONEQ
2021-06-28,20.5,20.95,20.2,20.3,22.9,7.85,VASCONEQ
2021-06-25,20.7,21.05,20.3,20.35,22.9,7.85,VASCONEQ
2021-06-24,21.3,21.3,20.55,20.7,22.9,7.85,VASCONEQ
2021-06-23,22.0,22.4,20.6,20.95,22.9,7.85,VASCONEQ
2021-06-22,22.7,22.7,21.6,21.75,22.9,7.85,VASCONEQ
2021-06-21,21.3,22.8,21.0,22.15,22.9,7.85,VASCONEQ
2021-06-18,22.0,22.8,20.8,21.75,22.9,7.85,VASCONEQ
2021-06-17,20.85,22.6,20.7,21.65,22.9,7.85,VASCONEQ
2021-06-16,21.5,21.95,20.55,21.2,22.9,7.85,VASCONEQ
2021-06-15,21.65,22.35,21.0,21.25,22.9,7.85,VASCONEQ
2021-06-14,21.2,22.9,19.9,21.65,22.9,7.85,VASCONEQ
2021-06-11,20.2,22.05,19.85,21.1,22.05,7.85,VASCONEQ
2021-06-10,19.6,20.2,19.6,20.05,22.0,7.85,VASCONEQ
2021-06-09,20.7,20.7,19.15,19.35,22.0,7.85,VASCONEQ
2021-06-08,20.95,21.2,19.9,20.3,22.0,7.85,VASCONEQ
2021-06-07,21.6,21.95,20.6,20.75,22.0,7.85,VASCONEQ
2021-06-04,21.45,22.0,19.6,21.45,22.0,7.0,VASCONEQ
2021-06-03,21.5,21.8,20.2,21.3,21.8,7.0,VASCONEQ
2021-06-02,18.4,19.85,18.1,19.85,21.2,7.0,VASCONEQ
2021-06-01,17.55,18.7,17.55,18.05,21.2,7.0,VASCONEQ
2021-05-31,17.7,18.6,16.75,17.15,21.2,7.0,VASCONEQ
2021-05-28,18.85,18.85,17.15,17.35,21.2,6.85,VASCONEQ
2021-05-27,19.05,19.05,17.9,18.45,21.2,6.85,VASCONEQ
2021-05-26,18.5,19.3,18.3,18.7,21.2,6.85,VASCONEQ
2021-05-25,16.8,18.25,16.65,18.25,21.2,6.85,VASCONEQ
2021-05-24,16.95,17.5,16.45,16.6,21.2,6.85,VASCONEQ
2021-05-21,17.2,17.7,16.9,17.1,21.2,6.7,VASCONEQ
2021-05-20,16.5,17.55,16.5,17.2,21.2,6.7,VASCONEQ
2021-05-19,16.75,17.2,16.3,16.6,21.2,6.7,VASCONEQ
2021-05-18,15.75,16.05,15.6,15.75,21.2,6.7,VASCONEQ
2021-05-17,15.95,16.0,15.55,15.65,21.2,6.7,VASCONEQ
