DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,1990.8,2056.0,1983.35,2018.7,2184.0,1087.0,VINATIORGA
2021-11-11,1960.0,2003.4,1920.0,1978.8,2184.0,1087.0,VINATIORGA
2021-11-10,2001.0,2022.3,2000.0,2006.1,2184.0,1087.0,VINATIORGA
2021-11-09,2025.0,2032.2,2001.5,2014.3,2184.0,1087.0,VINATIORGA
2021-11-08,1999.0,2044.35,1999.0,2017.45,2184.0,1087.0,VINATIORGA
2021-11-04,1999.15,2075.0,1992.0,2027.0,2184.0,1087.0,VINATIORGA
2021-11-03,1990.8,2024.15,1944.05,1991.8,2184.0,1087.0,VINATIORGA
2021-11-02,1993.35,2042.2,1974.6,2005.45,2184.0,1087.0,VINATIORGA
2021-11-01,1900.0,2007.9,1892.65,1983.4,2184.0,1087.0,VINATIORGA
2021-10-29,1931.35,1959.9,1891.0,1911.9,2184.0,1087.0,VINATIORGA
2021-10-28,1969.2,1969.2,1936.5,1949.45,2184.0,1087.0,VINATIORGA
2021-10-27,1979.1,1979.15,1936.05,1968.25,2184.0,1087.0,VINATIORGA
2021-10-26,1943.7,1979.7,1941.65,1971.6,2184.0,1087.0,VINATIORGA
2021-10-25,2030.0,2030.0,1925.0,1943.7,2184.0,1087.0,VINATIORGA
2021-10-22,2022.0,2063.7,2017.7,2035.8,2184.0,1087.0,VINATIORGA
2021-10-21,2068.9,2076.4,1986.0,2021.25,2184.0,1087.0,VINATIORGA
2021-10-20,2005.3,2089.6,1960.0,2068.9,2184.0,1087.0,VINATIORGA
2021-10-19,2075.05,2080.1,2000.0,2005.3,2184.0,1087.0,VINATIORGA
2021-10-18,2090.0,2105.95,2049.1,2074.5,2184.0,1087.0,VINATIORGA
2021-10-14,2026.0,2097.0,2017.4,2077.75,2184.0,1087.0,VINATIORGA
2021-10-13,2036.0,2047.8,2010.7,2017.0,2184.0,1087.0,VINATIORGA
2021-10-12,2082.95,2093.0,2021.0,2031.0,2184.0,1087.0,VINATIORGA
2021-10-11,2118.5,2131.8,2073.3,2082.95,2184.0,1087.0,VINATIORGA
2021-10-08,2165.0,2184.0,2094.2,2114.7,2184.0,1087.0,VINATIORGA
2021-10-07,2095.0,2167.35,2055.0,2153.0,2167.35,1087.0,VINATIORGA
2021-10-06,2065.0,2125.0,2031.0,2073.95,2132.0,1087.0,VINATIORGA
2021-10-05,1975.0,2048.0,1935.65,2023.7,2132.0,1087.0,VINATIORGA
2021-10-04,1927.8,1980.0,1909.0,1970.65,2132.0,1087.0,VINATIORGA
2021-10-01,1929.9,1929.9,1909.0,1921.65,2132.0,1087.0,VINATIORGA
2021-09-30,1925.0,1944.9,1905.0,1938.05,2132.0,1087.0,VINATIORGA
2021-09-29,1925.0,1927.8,1895.0,1918.95,2132.0,1087.0,VINATIORGA
2021-09-28,1897.45,1944.0,1872.5,1926.25,2132.0,1087.0,VINATIORGA
2021-09-27,1851.1,1900.05,1851.1,1888.0,2132.0,1087.0,VINATIORGA
2021-09-24,1888.85,1888.85,1840.0,1847.9,2132.0,1087.0,VINATIORGA
2021-09-23,1913.8,1923.9,1870.0,1879.3,2132.0,1087.0,VINATIORGA
2021-09-22,1826.0,1919.3,1826.0,1899.4,2132.0,1087.0,VINATIORGA
2021-09-21,1800.0,1850.0,1766.45,1826.05,2132.0,1087.0,VINATIORGA
