DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,22.2,22.35,20.75,21.15,27.6,8.3,VIPCLOTHNG
2021-11-11,23.35,23.45,21.7,21.75,27.6,8.3,VIPCLOTHNG
2021-11-10,22.5,22.8,22.2,22.8,27.6,8.3,VIPCLOTHNG
2021-11-09,21.2,21.75,20.6,21.75,27.6,8.3,VIPCLOTHNG
2021-11-08,20.75,20.75,19.15,20.75,27.6,8.3,VIPCLOTHNG
2021-11-04,19.8,19.8,19.8,19.8,27.6,8.3,VIPCLOTHNG
2021-11-03,18.9,18.9,18.9,18.9,27.6,8.3,VIPCLOTHNG
2021-11-02,18.0,18.0,18.0,18.0,27.6,8.3,VIPCLOTHNG
2021-11-01,17.1,17.45,16.6,17.15,27.6,8.3,VIPCLOTHNG
2021-10-29,17.3,17.35,16.6,16.65,27.6,8.3,VIPCLOTHNG
2021-10-28,16.6,17.3,16.1,17.25,27.6,8.3,VIPCLOTHNG
2021-10-27,16.75,16.8,16.2,16.5,27.6,8.3,VIPCLOTHNG
2021-10-26,16.15,16.6,16.15,16.45,27.6,8.3,VIPCLOTHNG
2021-10-25,17.0,17.0,16.05,16.3,27.6,8.3,VIPCLOTHNG
2021-10-22,17.25,17.5,16.6,16.85,27.6,8.3,VIPCLOTHNG
2021-10-21,17.3,17.3,16.9,17.05,27.6,8.3,VIPCLOTHNG
2021-10-20,17.5,17.5,16.9,16.95,27.6,8.3,VIPCLOTHNG
2021-10-19,17.3,17.7,16.95,17.1,27.6,8.3,VIPCLOTHNG
2021-10-18,17.6,17.75,17.15,17.3,27.6,8.3,VIPCLOTHNG
2021-10-14,17.75,18.2,17.0,17.25,27.6,8.3,VIPCLOTHNG
2021-10-13,17.85,18.0,17.0,17.75,27.6,8.3,VIPCLOTHNG
2021-10-12,18.2,18.2,17.2,17.5,27.6,8.3,VIPCLOTHNG
2021-07-28,27.6,27.6,25.4,25.85,27.6,8.3,VIPCLOTHNG
2021-07-27,26.7,26.7,26.7,26.7,26.7,8.3,VIPCLOTHNG
2021-07-26,25.15,25.45,24.4,25.45,25.45,8.3,VIPCLOTHNG
2021-07-23,23.35,24.25,21.95,24.25,24.25,8.3,VIPCLOTHNG
2021-07-22,22.45,23.1,22.45,23.1,23.1,8.3,VIPCLOTHNG
2021-07-20,21.25,22.1,21.0,22.0,22.1,8.3,VIPCLOTHNG
2021-07-19,21.1,21.1,20.6,21.05,21.1,8.3,VIPCLOTHNG
2021-07-16,19.35,20.4,19.3,20.1,20.4,8.3,VIPCLOTHNG
2021-07-15,19.15,19.45,18.9,19.45,19.45,8.3,VIPCLOTHNG
2021-07-14,17.95,18.55,17.65,18.55,19.1,8.3,VIPCLOTHNG
2021-07-13,17.6,17.85,17.0,17.7,19.1,8.3,VIPCLOTHNG
2021-07-12,16.2,17.3,16.2,17.3,19.1,8.3,VIPCLOTHNG
2021-07-09,17.15,17.15,16.1,16.5,19.1,8.25,VIPCLOTHNG
2021-07-08,17.8,17.95,16.7,16.8,19.1,8.25,VIPCLOTHNG
2021-07-07,17.7,17.8,16.85,17.2,19.1,8.25,VIPCLOTHNG
2021-07-06,17.0,17.25,16.65,17.25,19.1,8.25,VIPCLOTHNG
2021-07-05,16.4,16.85,15.8,16.45,19.1,8.25,VIPCLOTHNG
2021-07-02,16.3,16.9,15.8,16.05,19.1,7.35,VIPCLOTHNG
2021-07-01,16.65,17.0,16.3,16.3,19.1,7.35,VIPCLOTHNG
2021-06-30,18.3,18.3,17.0,17.15,19.1,7.35,VIPCLOTHNG
2021-06-29,16.75,17.7,16.6,17.5,19.1,7.35,VIPCLOTHNG
2021-06-28,17.25,17.25,16.8,16.9,19.1,7.35,VIPCLOTHNG
2021-06-25,17.0,17.3,16.6,17.0,19.1,7.35,VIPCLOTHNG
2021-06-24,17.35,17.55,16.8,17.1,19.1,7.35,VIPCLOTHNG
2021-06-23,17.2,17.6,17.1,17.25,19.1,7.35,VIPCLOTHNG
2021-06-22,17.65,17.95,17.05,17.2,19.1,7.35,VIPCLOTHNG
2021-06-21,16.9,17.3,16.3,17.3,19.1,7.35,VIPCLOTHNG
2021-06-18,17.5,17.5,16.1,16.5,19.1,6.8,VIPCLOTHNG
2021-06-17,16.7,17.4,16.7,16.85,19.1,6.8,VIPCLOTHNG
2021-06-16,17.5,17.5,16.8,16.95,19.1,6.8,VIPCLOTHNG
2021-06-15,17.7,18.05,17.2,17.3,19.1,6.8,VIPCLOTHNG
2021-06-14,17.5,18.3,17.15,17.45,19.1,6.8,VIPCLOTHNG
2021-06-11,18.25,18.25,17.5,17.5,19.1,6.8,VIPCLOTHNG
2021-06-10,16.7,18.4,16.7,17.85,19.1,6.8,VIPCLOTHNG
2021-06-09,18.95,18.95,17.55,17.55,19.1,6.8,VIPCLOTHNG
2021-06-08,19.0,19.0,17.95,18.45,19.1,6.8,VIPCLOTHNG
2021-06-07,19.1,19.1,17.7,18.65,19.1,6.8,VIPCLOTHNG
2021-06-04,18.25,18.3,17.65,18.25,18.3,5.3,VIPCLOTHNG
2021-06-03,17.25,17.7,17.05,17.45,18.3,5.3,VIPCLOTHNG
2021-06-02,17.35,17.35,16.7,16.9,18.3,5.3,VIPCLOTHNG
2021-06-01,17.05,17.5,16.35,16.8,18.3,5.3,VIPCLOTHNG
2021-05-31,16.8,17.2,15.75,17.0,18.3,5.3,VIPCLOTHNG
2021-05-28,16.5,17.05,15.5,16.5,18.3,5.25,VIPCLOTHNG
2021-05-27,16.15,16.25,15.65,16.25,18.3,5.25,VIPCLOTHNG
2021-05-26,15.5,15.5,15.25,15.5,18.3,5.25,VIPCLOTHNG
2021-05-25,14.35,14.85,14.0,14.8,18.3,5.25,VIPCLOTHNG
2021-05-24,14.35,14.55,14.0,14.15,18.3,5.25,VIPCLOTHNG
2021-05-21,14.0,14.35,13.6,13.95,18.3,5.25,VIPCLOTHNG
2021-05-20,14.15,14.45,13.65,13.7,18.3,5.25,VIPCLOTHNG
2021-05-19,14.7,14.7,14.1,14.15,18.3,5.25,VIPCLOTHNG
2021-05-18,14.5,14.85,14.2,14.4,18.3,5.25,VIPCLOTHNG
2021-05-17,14.65,14.7,14.0,14.5,18.3,5.25,VIPCLOTHNG
2021-05-14,14.5,14.65,14.0,14.0,18.3,5.25,VIPCLOTHNG
2021-05-12,14.8,14.9,14.0,14.25,18.3,4.7,VIPCLOTHNG
2021-05-11,14.2,14.8,14.0,14.3,18.3,3.8,VIPCLOTHNG
2021-05-10,13.75,14.2,13.55,14.2,18.3,3.4,VIPCLOTHNG
2021-05-07,13.4,13.8,13.1,13.55,18.3,3.4,VIPCLOTHNG
2021-05-06,13.5,13.5,13.0,13.4,18.3,3.4,VIPCLOTHNG
2021-05-05,13.55,13.55,12.9,13.3,18.3,3.4,VIPCLOTHNG
2021-05-04,13.35,13.45,13.1,13.3,18.3,3.4,VIPCLOTHNG
2021-05-03,12.95,13.15,12.8,12.95,18.3,3.4,VIPCLOTHNG
2021-04-30,13.1,13.3,12.7,12.95,18.3,3.4,VIPCLOTHNG
2021-04-29,13.0,13.85,12.8,13.1,18.3,3.4,VIPCLOTHNG
2021-04-28,13.35,13.65,12.7,13.35,18.3,3.4,VIPCLOTHNG
2021-04-27,13.4,13.8,12.7,13.05,18.3,3.4,VIPCLOTHNG
2021-01-13,15.1,16.55,15.05,16.55,18.3,3.4,VIPCLOTHNG
2021-01-12,16.5,16.5,15.8,15.8,18.3,3.4,VIPCLOTHNG
2021-01-11,18.3,18.3,16.6,16.6,18.3,3.4,VIPCLOTHNG
2021-01-08,17.3,17.45,17.0,17.45,17.45,3.4,VIPCLOTHNG
2021-01-07,16.35,16.65,16.25,16.65,16.65,3.4,VIPCLOTHNG
2021-01-06,15.9,15.95,14.65,15.9,15.95,3.4,VIPCLOTHNG
2021-01-05,15.2,15.2,14.8,15.2,15.2,3.4,VIPCLOTHNG
2021-01-04,14.35,14.5,14.15,14.5,14.5,3.4,VIPCLOTHNG
2021-01-01,13.6,13.85,13.5,13.85,13.85,3.4,VIPCLOTHNG
2020-12-31,12.75,13.2,12.35,13.2,13.2,3.4,VIPCLOTHNG
2020-12-30,12.65,12.8,12.1,12.6,13.0,3.4,VIPCLOTHNG
2020-12-29,12.75,12.9,12.25,12.6,13.0,3.4,VIPCLOTHNG
2020-12-28,12.6,12.9,12.35,12.5,13.0,3.4,VIPCLOTHNG
2020-12-24,12.7,12.8,12.2,12.6,13.0,3.4,VIPCLOTHNG
2020-12-23,11.65,12.2,11.35,12.2,13.0,3.4,VIPCLOTHNG
2020-12-22,11.5,12.0,11.4,11.65,13.0,3.4,VIPCLOTHNG
2020-12-21,12.8,13.0,12.0,12.0,13.0,3.4,VIPCLOTHNG
2020-12-18,12.6,13.0,12.3,12.6,13.0,3.4,VIPCLOTHNG
2020-12-17,12.45,12.7,12.35,12.7,13.0,3.4,VIPCLOTHNG
2020-12-16,11.25,12.1,11.25,12.1,13.0,3.4,VIPCLOTHNG
2020-12-15,12.3,12.35,11.3,11.55,13.0,3.4,VIPCLOTHNG
2020-12-14,11.1,11.85,11.1,11.85,13.0,3.4,VIPCLOTHNG
2020-12-11,11.9,11.9,11.2,11.3,13.0,3.4,VIPCLOTHNG
2020-12-10,12.2,12.5,11.55,11.55,13.0,3.4,VIPCLOTHNG
2020-12-09,12.9,13.0,12.05,12.15,13.0,3.4,VIPCLOTHNG
2020-12-08,12.75,12.75,12.3,12.65,12.75,3.4,VIPCLOTHNG
2020-12-07,12.15,12.15,12.0,12.15,12.45,3.4,VIPCLOTHNG
2020-12-04,11.5,11.6,11.15,11.6,12.45,3.4,VIPCLOTHNG
2020-12-03,11.05,11.05,10.65,11.05,12.45,3.4,VIPCLOTHNG
2020-12-02,10.45,10.7,10.3,10.55,12.45,3.4,VIPCLOTHNG
2020-12-01,10.75,10.85,10.2,10.35,12.45,3.4,VIPCLOTHNG
2020-11-27,10.8,10.95,10.25,10.55,12.45,3.4,VIPCLOTHNG
2020-11-26,10.2,10.5,9.85,10.45,12.45,3.4,VIPCLOTHNG
2020-11-25,10.3,10.35,10.0,10.0,12.45,3.4,VIPCLOTHNG
2020-11-24,10.35,10.6,10.2,10.3,12.45,3.4,VIPCLOTHNG
2020-11-23,10.25,10.5,9.85,10.35,12.45,3.4,VIPCLOTHNG
2020-11-20,10.25,10.45,10.0,10.25,12.45,3.4,VIPCLOTHNG
2020-11-19,9.8,10.65,9.8,10.1,12.45,3.4,VIPCLOTHNG
2020-11-18,10.35,10.65,9.85,10.25,12.45,3.4,VIPCLOTHNG
2020-11-17,10.05,10.2,9.5,10.15,12.45,3.4,VIPCLOTHNG
2020-11-14,9.75,9.75,9.75,9.75,12.45,3.4,VIPCLOTHNG
2020-11-13,9.25,9.3,8.9,9.3,12.45,3.4,VIPCLOTHNG
2020-11-12,8.5,8.9,8.35,8.9,12.45,3.4,VIPCLOTHNG
2020-11-11,8.45,8.7,8.3,8.5,12.45,3.4,VIPCLOTHNG
2020-11-10,8.55,8.8,8.35,8.55,12.45,3.4,VIPCLOTHNG
2020-11-09,8.6,8.75,8.5,8.55,12.45,3.4,VIPCLOTHNG
2020-11-06,8.5,8.9,8.5,8.6,12.45,3.4,VIPCLOTHNG
