DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,28.5,28.5,27.35,27.65,41.95,13.0,VIPULLTD
2021-11-11,28.35,29.05,27.5,27.65,41.95,13.0,VIPULLTD
2021-11-10,28.65,28.7,26.8,28.35,41.95,13.0,VIPULLTD
2021-11-09,28.2,28.85,27.7,27.9,41.95,13.0,VIPULLTD
2021-11-08,30.0,30.0,28.1,28.8,41.95,13.0,VIPULLTD
2021-11-04,28.8,29.0,28.8,29.0,41.95,12.95,VIPULLTD
2021-11-03,26.65,28.9,26.6,27.65,41.95,12.95,VIPULLTD
2021-11-02,28.65,28.75,27.2,28.0,41.95,12.95,VIPULLTD
2021-11-01,26.15,27.8,26.15,27.75,41.95,12.95,VIPULLTD
2021-10-29,26.85,27.85,26.1,26.65,41.95,12.8,VIPULLTD
2021-10-28,28.7,28.7,26.4,26.95,41.95,12.8,VIPULLTD
2021-10-27,27.0,28.0,26.65,27.55,41.95,12.8,VIPULLTD
2021-10-26,29.0,29.0,26.65,27.35,41.95,12.8,VIPULLTD
2021-10-25,29.4,29.4,27.4,27.85,41.95,12.8,VIPULLTD
2021-10-22,28.7,28.7,27.7,28.4,41.95,12.55,VIPULLTD
2021-10-21,29.15,29.15,27.5,27.5,41.95,12.55,VIPULLTD
2021-10-20,29.85,29.85,27.35,27.9,41.95,12.55,VIPULLTD
2021-10-19,30.4,30.4,28.6,28.75,41.95,12.55,VIPULLTD
2021-10-18,29.05,31.3,29.05,29.8,41.95,12.55,VIPULLTD
2021-10-14,29.5,30.85,29.5,30.05,41.95,12.55,VIPULLTD
2021-10-13,30.9,31.0,29.8,30.0,41.95,12.55,VIPULLTD
2021-10-12,30.95,30.95,29.7,29.9,41.95,12.55,VIPULLTD
2021-10-11,30.8,30.8,29.3,29.75,41.95,12.55,VIPULLTD
2021-10-08,29.7,29.95,28.8,29.65,41.95,12.55,VIPULLTD
2021-10-07,28.95,29.85,28.55,28.8,41.95,12.55,VIPULLTD
2021-10-06,30.1,30.1,28.45,29.0,41.95,12.55,VIPULLTD
2021-10-05,30.75,30.75,29.2,29.55,41.95,12.55,VIPULLTD
2021-10-04,28.95,30.45,28.95,29.6,41.95,12.55,VIPULLTD
2021-10-01,29.15,30.55,28.85,29.5,41.95,12.55,VIPULLTD
2021-09-30,31.5,31.5,29.8,30.3,41.95,12.55,VIPULLTD
2021-09-29,29.95,30.8,29.95,30.5,41.95,12.55,VIPULLTD
2021-09-28,29.0,30.55,29.0,29.95,41.95,12.55,VIPULLTD
2021-09-27,30.95,31.35,29.0,29.4,41.95,12.55,VIPULLTD
2021-09-24,29.95,31.3,29.95,30.05,41.95,12.55,VIPULLTD
2021-09-23,31.95,32.15,31.0,31.45,41.95,12.55,VIPULLTD
2021-09-22,30.25,30.65,28.2,30.65,41.95,12.55,VIPULLTD
2021-09-21,31.4,31.4,29.0,29.2,41.95,12.55,VIPULLTD
2021-09-20,32.0,32.0,29.6,30.4,41.95,12.55,VIPULLTD
2021-09-17,31.9,31.9,30.1,30.8,41.95,12.55,VIPULLTD
2021-09-16,30.05,31.9,29.45,31.25,41.95,12.55,VIPULLTD
2021-09-15,32.25,32.65,30.65,30.85,41.95,12.55,VIPULLTD
2021-09-14,32.05,33.8,32.05,32.25,41.95,12.55,VIPULLTD
2021-09-13,35.8,36.35,33.35,33.35,41.95,12.55,VIPULLTD
2021-09-09,32.85,35.5,32.85,35.1,41.95,12.55,VIPULLTD
2021-09-08,33.55,36.6,33.55,34.15,41.95,12.55,VIPULLTD
2021-09-07,37.3,37.85,34.75,34.9,41.95,12.55,VIPULLTD
