DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-23,150.0,152.0,147.2,149.0,149.95,169.7,80.2,VISHWARAJ
2021-07-22,150.0,151.95,147.15,148.5,149.1,169.7,80.2,VISHWARAJ
2021-07-20,148.0,151.0,142.8,149.2,149.55,169.7,80.2,VISHWARAJ
2021-07-19,143.95,147.5,141.8,146.6,146.8,169.7,80.2,VISHWARAJ
2021-07-16,143.2,146.5,141.3,143.0,143.0,169.7,78.15,VISHWARAJ
2021-07-15,144.0,145.3,141.5,142.6,143.85,169.7,78.15,VISHWARAJ
2021-07-14,143.1,145.0,142.05,142.7,143.1,169.7,78.15,VISHWARAJ
2021-07-13,146.9,149.25,141.05,141.5,142.85,169.7,78.15,VISHWARAJ
2021-07-12,155.0,156.0,145.95,146.35,146.45,169.7,78.15,VISHWARAJ
2021-07-09,144.75,152.0,143.5,149.85,150.2,169.7,78.15,VISHWARAJ
2021-07-08,145.25,149.45,143.45,143.5,143.65,169.7,78.15,VISHWARAJ
2021-07-07,143.65,145.85,142.35,144.0,143.95,169.7,78.15,VISHWARAJ
2021-07-06,145.2,147.6,142.5,143.0,143.8,169.7,78.15,VISHWARAJ
2021-07-05,147.25,149.95,143.7,143.7,145.25,169.7,78.15,VISHWARAJ
2021-07-02,148.5,150.0,144.6,146.95,146.5,169.7,77.1,VISHWARAJ
2021-07-01,160.1,162.0,145.95,147.65,147.6,169.7,77.1,VISHWARAJ
2021-06-30,148.45,157.15,144.3,152.7,154.0,169.7,77.1,VISHWARAJ
2021-06-29,150.0,151.9,145.7,147.9,146.9,169.7,77.1,VISHWARAJ
2021-06-28,150.0,152.25,147.0,149.25,148.4,169.7,77.1,VISHWARAJ
2021-06-25,151.1,152.65,148.5,149.0,149.25,169.7,75.25,VISHWARAJ
2021-06-24,153.8,154.45,150.3,150.5,150.95,169.7,75.25,VISHWARAJ
2021-06-23,151.3,154.8,150.75,151.1,151.3,169.7,75.25,VISHWARAJ
2021-06-22,154.85,156.95,149.25,153.25,153.7,169.7,75.25,VISHWARAJ
2021-06-21,152.45,156.5,151.2,153.25,154.85,169.7,75.25,VISHWARAJ
2021-06-18,149.45,156.45,144.1,155.5,154.35,169.7,75.0,VISHWARAJ
2021-06-17,154.5,154.8,147.0,149.5,149.55,169.7,75.0,VISHWARAJ
2021-06-16,156.2,159.75,154.0,154.25,155.45,169.7,75.0,VISHWARAJ
2021-06-15,159.0,159.95,154.05,155.4,155.25,169.7,75.0,VISHWARAJ
2021-06-14,166.9,168.9,154.65,155.5,156.35,169.7,75.0,VISHWARAJ
2021-06-11,159.5,164.25,155.5,159.2,159.1,169.7,71.95,VISHWARAJ
2021-06-10,150.1,164.9,145.9,159.0,159.4,169.7,71.95,VISHWARAJ
2021-06-09,147.4,154.6,146.25,147.6,148.4,169.7,71.95,VISHWARAJ
2021-06-08,147.1,151.4,144.15,146.75,147.4,169.7,71.95,VISHWARAJ
2021-06-07,145.4,149.0,144.95,145.9,147.05,169.7,71.95,VISHWARAJ
2021-06-04,146.0,149.0,142.2,144.5,144.5,169.7,65.8,VISHWARAJ
2021-06-03,147.45,148.35,140.3,143.0,144.3,169.7,65.8,VISHWARAJ
2021-06-02,147.0,148.0,143.25,144.0,145.8,169.7,65.8,VISHWARAJ
2021-06-01,149.95,152.0,142.0,143.25,147.5,169.7,65.8,VISHWARAJ
2021-05-31,149.9,160.0,148.05,149.5,148.75,169.7,65.8,VISHWARAJ
2021-05-28,152.2,152.2,143.4,145.6,145.65,169.7,63.0,VISHWARAJ
