DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,320.0,320.0,310.25,312.0,311.6,VRLLOG
2021-07-15,317.0,324.0,311.45,320.25,320.3,VRLLOG
2021-07-14,308.8,320.5,306.9,317.0,315.7,VRLLOG
2021-07-13,314.95,318.25,303.2,307.2,305.3,VRLLOG
2021-07-12,318.0,321.95,311.1,315.0,315.6,VRLLOG
2021-07-09,309.0,319.3,302.55,316.5,317.5,VRLLOG
2021-07-08,300.0,314.0,295.05,307.0,307.35,VRLLOG
2021-07-07,283.9,299.7,280.2,299.7,294.3,VRLLOG
2021-07-06,289.7,294.9,281.0,281.1,282.55,VRLLOG
2021-07-05,283.4,293.9,281.05,289.0,289.7,VRLLOG
2021-07-02,288.0,289.5,280.05,283.8,281.95,VRLLOG
2021-07-01,283.7,292.3,276.4,289.0,286.35,VRLLOG
2021-06-30,277.4,285.0,275.6,282.1,282.3,VRLLOG
2021-06-29,277.5,282.45,273.65,275.05,275.6,VRLLOG
2021-06-28,282.3,283.1,275.0,276.0,276.65,VRLLOG
2021-06-25,271.25,287.8,271.25,280.0,280.85,VRLLOG
2021-06-24,273.85,278.5,270.1,271.25,270.9,VRLLOG
2021-06-23,281.9,281.9,270.0,273.8,271.95,VRLLOG
2021-06-22,279.65,286.65,274.8,277.6,276.9,VRLLOG
2021-06-21,274.1,280.05,268.0,277.0,275.95,VRLLOG
2021-06-18,288.3,290.45,272.2,274.95,274.45,VRLLOG
2021-06-17,287.5,293.9,280.05,286.05,285.75,VRLLOG
2021-06-16,283.0,294.4,280.55,289.45,289.5,VRLLOG
2021-06-15,284.9,288.0,277.5,280.0,278.75,VRLLOG
2021-06-14,298.0,298.0,280.0,282.2,282.05,VRLLOG
2021-06-11,270.75,309.9,270.75,296.9,296.35,VRLLOG
2021-06-10,260.5,272.0,258.55,270.85,267.65,VRLLOG
2021-06-09,267.0,281.0,255.0,257.95,257.4,VRLLOG
2021-06-08,266.65,270.0,256.0,267.45,267.5,VRLLOG
2021-06-07,257.5,277.45,256.75,263.6,263.25,VRLLOG
2021-06-04,261.0,261.0,252.0,257.35,256.75,VRLLOG
2021-06-03,257.8,262.75,254.55,259.0,260.0,VRLLOG
2021-06-02,251.45,258.0,246.8,258.0,256.0,VRLLOG
2021-06-01,257.5,260.9,248.2,251.5,250.85,VRLLOG
2021-05-31,247.5,268.15,246.25,257.15,257.5,VRLLOG
2021-05-28,245.55,254.1,244.05,247.0,247.5,VRLLOG
2021-05-27,249.4,249.4,245.0,245.9,245.55,VRLLOG
2021-05-26,250.9,252.45,247.0,247.0,248.15,VRLLOG
2021-05-25,245.95,251.0,241.0,248.35,248.75,VRLLOG
2021-05-24,245.65,251.7,242.5,243.8,243.55,VRLLOG
2021-05-21,247.6,255.55,242.55,244.5,244.45,VRLLOG
2021-05-20,246.05,255.0,241.0,246.5,246.35,VRLLOG
2021-05-19,255.0,255.0,242.65,246.25,246.05,VRLLOG
2021-05-18,232.0,264.25,226.5,258.0,258.6,VRLLOG
2021-05-17,220.45,231.0,218.1,228.45,229.25,VRLLOG
2021-05-14,220.45,223.7,218.0,219.0,218.65,VRLLOG
2021-05-12,217.7,223.25,217.7,220.15,220.45,VRLLOG
2021-05-11,216.25,220.05,215.0,220.0,217.7,VRLLOG
2021-05-10,219.0,221.5,214.85,216.55,216.4,VRLLOG
2021-05-07,216.95,219.55,216.45,217.2,217.5,VRLLOG
2021-05-06,218.1,220.05,214.5,216.55,215.85,VRLLOG
2021-05-05,219.75,221.85,216.2,217.55,217.55,VRLLOG
2021-05-04,227.7,227.7,218.05,219.75,219.65,VRLLOG
2021-05-03,216.65,229.0,215.15,225.05,225.75,VRLLOG
2021-04-30,218.0,222.55,213.45,217.5,216.65,VRLLOG
2021-04-29,221.7,223.8,218.5,219.85,219.5,VRLLOG
2021-04-28,221.0,225.0,219.05,220.0,220.55,VRLLOG
2021-04-27,216.0,222.5,216.0,220.05,220.75,VRLLOG
2021-04-26,218.25,219.1,215.2,215.5,216.35,VRLLOG
2021-04-23,219.0,223.3,215.0,217.0,217.15,VRLLOG
2021-04-22,211.0,224.8,210.0,221.8,223.1,VRLLOG
2021-04-20,219.35,223.45,210.2,215.5,213.2,VRLLOG
2021-04-19,225.5,225.5,216.5,217.25,218.25,VRLLOG
2021-04-16,232.45,233.35,225.8,227.65,227.55,VRLLOG
2021-04-15,241.4,241.4,225.5,230.5,232.4,VRLLOG
2021-04-13,222.95,245.85,222.0,241.5,239.25,VRLLOG
2021-04-12,225.55,229.85,220.0,223.85,222.9,VRLLOG
2021-04-09,225.5,233.0,225.5,232.2,232.1,VRLLOG
2021-04-08,226.1,233.8,224.65,231.8,229.85,VRLLOG
2021-04-07,226.1,228.5,225.3,226.95,226.1,VRLLOG
