DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,270.9,271.0,261.0,262.5,309.0,72.75,VSSL
2021-11-11,276.9,277.8,267.9,269.5,309.0,72.75,VSSL
2021-11-10,280.7,282.0,274.0,276.9,309.0,72.75,VSSL
2021-11-09,283.8,287.85,280.0,281.05,309.0,72.75,VSSL
2021-11-08,286.0,288.0,281.0,283.55,309.0,72.75,VSSL
2021-11-04,279.0,287.0,277.95,285.3,309.0,69.0,VSSL
2021-11-03,279.6,279.7,271.25,273.0,309.0,69.0,VSSL
2021-11-02,277.5,280.6,272.4,277.7,309.0,69.0,VSSL
2021-11-01,275.0,284.8,270.9,273.2,309.0,69.0,VSSL
2021-10-29,273.65,281.0,253.1,272.7,309.0,66.35,VSSL
2021-10-28,274.85,284.0,270.0,272.15,309.0,66.35,VSSL
2021-10-27,271.6,275.0,267.0,272.85,309.0,66.35,VSSL
2021-10-26,266.0,273.0,262.25,269.45,309.0,66.35,VSSL
2021-10-25,267.0,270.0,253.4,262.0,309.0,66.35,VSSL
2021-10-22,265.7,265.7,253.3,260.3,309.0,65.25,VSSL
2021-10-21,265.5,267.95,253.25,257.9,309.0,65.25,VSSL
2021-10-20,267.7,267.7,254.0,262.55,309.0,65.25,VSSL
2021-10-19,268.3,269.65,256.95,260.35,309.0,65.25,VSSL
2021-10-18,271.0,275.0,263.2,265.7,309.0,65.25,VSSL
2021-10-14,247.0,270.0,243.55,263.15,309.0,65.25,VSSL
2021-10-13,237.1,246.8,237.1,242.5,309.0,65.25,VSSL
2021-10-12,239.35,241.3,236.0,237.1,309.0,65.25,VSSL
2021-10-11,243.0,243.35,238.0,238.55,309.0,65.25,VSSL
2021-10-08,241.25,247.4,240.5,242.0,309.0,65.25,VSSL
2021-10-07,240.5,243.55,238.0,240.55,309.0,65.25,VSSL
2021-10-06,244.05,248.55,237.0,238.75,309.0,65.25,VSSL
2021-10-05,246.0,248.7,242.9,244.05,309.0,65.25,VSSL
2021-10-04,241.35,254.0,237.2,246.9,309.0,65.25,VSSL
2021-10-01,237.0,249.3,235.3,242.55,309.0,65.25,VSSL
2021-09-30,241.4,243.9,237.25,238.8,309.0,65.25,VSSL
2021-09-29,232.8,246.0,229.8,239.6,309.0,65.25,VSSL
2021-09-28,235.2,238.1,232.0,234.35,309.0,65.25,VSSL
