DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,154.0,155.25,150.5,152.75,152.9,WELCORP
2021-07-15,158.55,159.7,153.1,154.0,153.85,WELCORP
2021-07-14,157.5,160.7,154.15,156.95,156.9,WELCORP
2021-07-13,149.95,158.4,149.95,156.0,156.05,WELCORP
2021-07-12,141.0,151.35,139.85,148.0,147.85,WELCORP
2021-07-09,138.95,140.1,137.6,139.6,139.45,WELCORP
2021-07-08,137.5,140.8,137.45,138.7,138.5,WELCORP
2021-07-07,139.8,140.75,137.1,137.95,137.7,WELCORP
2021-07-06,140.0,141.75,138.75,139.7,139.25,WELCORP
2021-07-05,141.0,141.75,139.0,139.7,139.4,WELCORP
2021-07-02,143.9,144.4,139.7,140.2,139.95,WELCORP
2021-07-01,143.5,144.1,141.65,143.35,143.3,WELCORP
2021-06-30,145.85,147.9,141.55,142.95,143.1,WELCORP
2021-06-29,145.0,148.7,142.1,144.7,144.0,WELCORP
2021-06-28,147.25,148.0,139.2,141.75,141.8,WELCORP
2021-06-25,148.5,150.45,145.6,146.05,146.0,WELCORP
2021-06-24,149.35,151.0,146.3,147.5,147.7,WELCORP
2021-06-23,151.6,151.85,147.15,147.9,148.0,WELCORP
2021-06-22,146.0,151.75,145.75,150.75,150.1,WELCORP
2021-06-21,141.9,147.85,141.0,143.8,144.05,WELCORP
2021-06-18,147.1,149.25,142.2,144.0,144.55,WELCORP
2021-06-17,150.95,153.0,144.6,147.6,146.75,WELCORP
2021-06-16,155.0,156.75,151.45,151.9,151.7,WELCORP
2021-06-15,150.4,156.75,150.4,154.0,154.25,WELCORP
2021-06-14,153.5,153.5,148.15,150.45,149.6,WELCORP
2021-06-11,156.35,157.4,153.35,154.25,153.85,WELCORP
2021-06-10,158.25,160.9,154.1,155.0,156.35,WELCORP
2021-06-09,165.0,165.9,154.0,156.4,156.35,WELCORP
2021-06-08,156.05,158.0,152.7,155.05,155.1,WELCORP
2021-06-07,153.7,158.9,151.35,155.7,155.85,WELCORP
2021-06-04,150.3,150.3,147.45,147.95,147.75,WELCORP
2021-06-03,150.6,152.75,148.5,149.4,148.9,WELCORP
2021-06-02,145.9,151.6,145.1,150.5,150.35,WELCORP
2021-06-01,153.0,153.7,146.0,146.95,146.95,WELCORP
2021-05-31,150.2,153.6,148.0,152.45,152.35,WELCORP
2021-05-28,149.9,154.8,148.1,148.75,148.7,WELCORP
