DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,140.8,142.75,139.6,140.1,170.7,62.0,WELSPUNIND
2021-11-11,139.85,143.55,139.0,140.05,170.7,62.0,WELSPUNIND
2021-11-10,140.0,142.0,138.55,139.85,170.7,62.0,WELSPUNIND
2021-11-09,143.25,143.95,140.05,140.55,170.7,62.0,WELSPUNIND
2021-11-08,145.55,146.4,142.8,143.25,170.7,62.0,WELSPUNIND
2021-11-04,144.6,146.6,144.05,145.55,170.7,62.0,WELSPUNIND
2021-11-03,143.5,144.4,142.45,143.6,170.7,62.0,WELSPUNIND
2021-11-02,144.05,145.25,141.5,143.6,170.7,62.0,WELSPUNIND
2021-11-01,137.7,144.6,137.6,142.8,170.7,62.0,WELSPUNIND
2021-10-29,140.55,140.8,136.15,137.7,170.7,62.0,WELSPUNIND
2021-10-28,145.4,145.4,140.05,140.95,170.7,62.0,WELSPUNIND
2021-10-27,146.35,151.0,141.0,145.4,170.7,62.0,WELSPUNIND
2021-10-26,141.9,147.45,140.1,145.0,170.7,62.0,WELSPUNIND
2021-10-25,146.7,147.3,137.1,142.05,170.7,62.0,WELSPUNIND
2021-10-22,152.8,152.95,145.25,146.1,170.7,62.0,WELSPUNIND
2021-10-21,147.0,157.0,147.0,151.75,170.7,62.0,WELSPUNIND
2021-10-20,151.2,151.5,143.15,146.35,170.7,62.0,WELSPUNIND
2021-10-19,160.2,160.8,147.0,152.1,170.7,62.0,WELSPUNIND
2021-10-18,161.3,162.15,157.0,160.0,170.7,62.0,WELSPUNIND
2021-10-14,163.3,164.0,160.1,160.9,170.7,62.0,WELSPUNIND
2021-10-13,166.65,166.65,161.0,161.6,170.7,62.0,WELSPUNIND
2021-10-12,167.1,170.7,163.5,165.25,170.7,62.0,WELSPUNIND
2021-10-11,162.8,169.0,161.25,166.25,170.5,62.0,WELSPUNIND
2021-10-08,167.0,167.25,158.35,163.55,170.5,62.0,WELSPUNIND
2021-10-07,165.65,167.8,163.5,166.0,170.5,62.0,WELSPUNIND
2021-10-06,164.7,167.65,163.1,164.05,170.5,62.0,WELSPUNIND
2021-10-05,163.35,165.3,160.7,163.8,170.5,62.0,WELSPUNIND
2021-10-04,163.25,167.7,160.35,162.35,170.5,62.0,WELSPUNIND
2021-10-01,167.5,168.2,162.0,163.0,170.5,61.85,WELSPUNIND
2021-09-30,166.35,170.5,162.75,169.3,170.5,61.85,WELSPUNIND
2021-09-29,160.6,166.9,160.1,165.4,166.9,61.85,WELSPUNIND
2021-09-28,159.55,165.9,159.15,163.9,165.9,61.85,WELSPUNIND
2021-09-27,156.9,159.45,154.0,157.6,161.35,61.85,WELSPUNIND
2021-09-24,160.0,161.35,153.25,155.7,161.35,54.85,WELSPUNIND
2021-09-23,140.5,159.9,140.5,157.8,159.9,54.85,WELSPUNIND
2021-09-22,136.9,141.2,135.6,139.2,145.4,54.85,WELSPUNIND
2021-09-21,129.1,136.9,126.1,135.25,145.4,54.85,WELSPUNIND
2021-09-20,132.2,133.0,127.0,129.1,145.4,54.85,WELSPUNIND
2021-09-17,133.9,135.65,130.55,131.55,145.4,54.85,WELSPUNIND
2021-09-16,136.0,138.45,133.0,133.95,145.4,54.85,WELSPUNIND
2021-09-15,133.8,136.4,133.65,134.5,145.4,54.85,WELSPUNIND
2021-09-14,134.0,136.8,133.2,133.6,145.4,54.85,WELSPUNIND
2021-09-13,133.8,135.5,132.0,133.65,145.4,54.85,WELSPUNIND
2021-09-09,138.05,138.05,131.4,133.15,145.4,54.5,WELSPUNIND
2021-09-08,141.8,144.0,135.1,137.4,145.4,54.5,WELSPUNIND
2021-09-07,138.85,141.0,133.6,139.85,145.4,54.5,WELSPUNIND
2021-09-06,126.8,138.8,126.6,137.25,145.4,54.5,WELSPUNIND
2021-09-03,128.1,131.6,124.35,126.1,145.4,51.1,WELSPUNIND
2021-09-02,127.65,128.8,126.6,127.1,145.4,51.1,WELSPUNIND
2021-09-01,127.75,128.35,124.2,127.65,145.4,51.1,WELSPUNIND
2021-08-31,126.8,129.5,125.0,126.9,145.4,51.1,WELSPUNIND
2021-08-30,126.6,129.5,126.0,126.75,145.4,51.1,WELSPUNIND
2021-08-27,126.1,127.35,125.0,125.4,145.4,47.9,WELSPUNIND
2021-08-26,128.0,128.9,126.1,127.0,145.4,47.9,WELSPUNIND
2021-08-25,127.0,129.6,126.0,127.6,145.4,47.9,WELSPUNIND
2021-08-24,127.5,128.75,123.6,127.65,145.4,47.9,WELSPUNIND
2021-08-23,118.0,127.8,117.5,126.5,145.4,47.9,WELSPUNIND
