DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-08,25.2,25.2,22.7,23.5,28.6,14.25,WILLAMAGOR
2021-10-07,24.0,25.5,23.25,24.7,28.6,14.25,WILLAMAGOR
2021-10-06,22.2,24.05,21.0,23.55,28.6,14.25,WILLAMAGOR
2021-10-05,21.0,22.5,20.1,21.9,28.6,14.25,WILLAMAGOR
2021-10-04,20.4,21.0,20.0,20.8,28.6,14.25,WILLAMAGOR
2021-10-01,19.8,20.35,19.8,20.1,28.6,14.25,WILLAMAGOR
2021-09-30,20.0,20.45,19.8,20.2,28.6,14.25,WILLAMAGOR
2021-09-29,20.8,20.8,19.65,20.0,28.6,14.25,WILLAMAGOR
2021-09-28,20.15,20.75,19.4,20.3,28.6,14.25,WILLAMAGOR
2021-09-27,19.8,20.5,19.55,19.75,28.6,14.25,WILLAMAGOR
2021-09-24,20.0,20.35,19.5,19.8,28.6,14.25,WILLAMAGOR
2021-09-23,19.95,20.6,18.35,19.65,28.6,14.25,WILLAMAGOR
2021-09-22,20.4,20.4,19.6,20.15,28.6,14.25,WILLAMAGOR
2021-09-21,20.2,20.2,19.65,19.8,28.6,14.25,WILLAMAGOR
2021-09-20,20.0,20.7,20.0,20.05,28.6,14.25,WILLAMAGOR
2021-09-17,20.95,20.95,20.3,20.5,28.6,14.25,WILLAMAGOR
2021-09-16,20.25,21.6,20.25,20.95,28.6,14.25,WILLAMAGOR
2021-09-15,20.2,21.9,20.2,20.8,28.6,14.25,WILLAMAGOR
2021-09-14,20.8,21.0,20.2,20.25,28.6,14.25,WILLAMAGOR
2021-09-13,20.9,20.9,20.2,20.6,28.6,14.25,WILLAMAGOR
2021-09-09,19.9,20.8,19.9,20.5,28.6,14.25,WILLAMAGOR
2021-09-08,20.1,20.8,19.75,20.15,28.6,14.25,WILLAMAGOR
2021-09-07,19.25,20.55,19.25,20.1,28.6,14.25,WILLAMAGOR
2021-09-06,21.1,21.1,18.6,19.7,28.6,14.25,WILLAMAGOR
2021-09-03,20.1,21.4,20.1,20.5,28.6,14.25,WILLAMAGOR
2021-09-02,20.05,21.35,20.0,20.25,28.6,14.25,WILLAMAGOR
2021-09-01,21.4,21.4,20.4,20.55,28.6,14.25,WILLAMAGOR
2021-08-31,20.45,21.5,20.45,20.65,28.6,14.25,WILLAMAGOR
2021-08-30,21.25,21.25,20.1,20.6,28.6,14.25,WILLAMAGOR
2021-08-27,21.9,21.9,20.0,20.6,28.6,14.25,WILLAMAGOR
2021-08-26,20.55,21.9,20.55,20.85,28.6,14.25,WILLAMAGOR
2021-08-25,19.7,21.55,19.7,21.05,28.6,14.25,WILLAMAGOR
2021-08-24,20.15,20.75,19.25,19.85,28.6,14.25,WILLAMAGOR
2021-08-23,21.4,21.4,19.5,20.35,28.6,14.25,WILLAMAGOR
2021-08-20,23.1,23.1,20.05,20.55,28.6,14.25,WILLAMAGOR
2021-08-18,23.8,23.8,21.7,21.95,28.6,14.25,WILLAMAGOR
2021-08-17,22.9,23.7,21.7,22.25,28.6,14.25,WILLAMAGOR
2021-08-16,25.6,26.5,21.95,22.9,28.6,14.25,WILLAMAGOR
2021-08-13,23.9,25.55,22.75,24.35,28.6,14.25,WILLAMAGOR
2021-08-12,22.8,23.65,21.5,23.25,28.6,14.25,WILLAMAGOR
2021-08-11,20.9,22.8,19.65,21.65,28.6,14.25,WILLAMAGOR
2021-08-10,22.95,22.95,20.5,20.9,28.6,14.25,WILLAMAGOR
2021-08-09,24.65,24.65,22.0,22.2,28.6,14.25,WILLAMAGOR
2021-08-06,23.4,23.85,22.45,23.55,28.6,14.25,WILLAMAGOR
