DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,648.0,662.5,645.8,660.05,739.85,341.15,WIPRO
2021-11-11,649.75,649.75,636.8,641.8,739.85,341.15,WIPRO
2021-11-10,655.9,659.0,651.55,652.6,739.85,341.15,WIPRO
2021-11-09,663.1,666.25,656.7,658.45,739.85,341.15,WIPRO
2021-11-08,652.95,661.0,647.5,658.35,739.85,341.15,WIPRO
2021-11-04,655.0,657.65,647.4,653.7,739.85,332.65,WIPRO
2021-11-03,659.4,661.85,650.2,652.5,739.85,332.65,WIPRO
2021-11-02,657.0,661.0,651.1,653.8,739.85,332.65,WIPRO
2021-11-01,651.1,656.95,647.5,655.45,739.85,332.65,WIPRO
2021-10-29,658.25,659.4,644.25,646.75,739.85,331.05,WIPRO
2021-10-28,671.0,671.6,655.0,656.9,739.85,331.05,WIPRO
2021-10-27,668.15,674.55,663.45,671.1,739.85,331.05,WIPRO
2021-10-26,671.05,678.8,665.0,668.15,739.85,331.05,WIPRO
2021-10-25,682.75,684.2,660.8,667.7,739.85,331.05,WIPRO
2021-10-22,701.75,705.5,678.25,682.4,739.85,331.05,WIPRO
2021-10-21,708.95,709.0,681.7,696.3,739.85,331.05,WIPRO
2021-10-20,713.6,722.75,695.75,701.95,739.85,331.05,WIPRO
2021-10-19,717.1,729.95,708.0,711.55,739.85,331.05,WIPRO
2021-10-18,719.0,720.8,702.4,709.75,739.85,331.05,WIPRO
2021-10-14,697.0,739.85,695.0,708.25,739.85,331.05,WIPRO
2021-10-13,665.0,674.7,656.0,672.6,699.15,331.05,WIPRO
2021-10-12,652.0,662.4,642.55,659.1,699.15,331.05,WIPRO
2021-10-11,648.95,666.3,635.0,652.8,699.15,331.05,WIPRO
2021-10-08,646.15,667.55,645.0,661.15,699.15,315.2,WIPRO
2021-10-07,639.0,648.55,636.9,642.95,699.15,315.2,WIPRO
2021-10-06,650.4,650.45,634.4,635.75,699.15,315.2,WIPRO
2021-10-05,636.45,649.5,634.05,646.85,699.15,315.2,WIPRO
2021-10-04,639.9,643.6,635.95,641.05,699.15,315.2,WIPRO
2021-10-01,634.8,639.75,630.2,636.25,699.15,309.6,WIPRO
2021-09-30,638.75,646.75,632.55,634.1,699.15,309.6,WIPRO
2021-09-29,629.95,646.5,627.35,640.75,699.15,309.6,WIPRO
2021-09-28,653.9,653.9,635.25,639.6,699.15,309.6,WIPRO
2021-09-27,678.05,678.35,651.0,653.9,699.15,309.6,WIPRO
2021-09-24,680.5,699.15,675.0,676.5,699.15,302.45,WIPRO
2021-09-23,672.9,677.0,671.4,674.3,690.0,302.45,WIPRO
