DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,540.0,576.15,536.3,576.15,572.7,WOCKPHARMA
2021-07-15,540.75,545.9,531.85,536.0,534.95,WOCKPHARMA
2021-07-14,547.7,549.4,536.4,537.3,537.9,WOCKPHARMA
2021-07-13,546.95,555.0,542.5,545.6,546.25,WOCKPHARMA
2021-07-12,545.0,549.75,538.2,544.05,543.5,WOCKPHARMA
2021-07-09,545.0,547.0,536.9,539.9,540.05,WOCKPHARMA
2021-07-08,552.7,555.75,535.7,543.8,543.35,WOCKPHARMA
2021-07-07,555.95,561.0,544.1,551.5,552.7,WOCKPHARMA
2021-07-06,544.0,565.0,543.0,556.0,554.45,WOCKPHARMA
2021-07-05,538.0,549.95,532.5,541.4,542.45,WOCKPHARMA
2021-07-02,545.5,545.5,530.0,532.05,533.45,WOCKPHARMA
2021-07-01,520.7,544.3,515.1,543.0,540.5,WOCKPHARMA
2021-06-30,531.7,545.5,516.0,518.0,518.05,WOCKPHARMA
2021-06-29,540.0,550.1,524.5,528.0,528.65,WOCKPHARMA
2021-06-28,565.0,568.1,533.0,539.7,538.4,WOCKPHARMA
2021-06-25,546.0,578.5,541.1,568.0,565.6,WOCKPHARMA
2021-06-24,568.9,575.0,539.2,542.0,541.85,WOCKPHARMA
2021-06-23,604.0,608.0,558.4,562.8,561.35,WOCKPHARMA
2021-06-22,605.5,613.9,595.0,596.0,596.5,WOCKPHARMA
2021-06-21,583.0,608.9,578.5,601.25,599.95,WOCKPHARMA
2021-06-18,605.0,617.95,581.2,591.6,590.55,WOCKPHARMA
2021-06-17,625.5,635.45,608.65,612.85,614.45,WOCKPHARMA
2021-06-16,645.5,648.6,626.0,628.0,628.05,WOCKPHARMA
2021-06-15,647.0,658.7,640.0,640.25,642.1,WOCKPHARMA
2021-06-14,656.9,656.9,631.85,647.5,646.55,WOCKPHARMA
2021-06-11,667.95,669.0,652.8,656.9,659.4,WOCKPHARMA
2021-06-10,664.9,669.55,656.0,663.0,663.4,WOCKPHARMA
2021-06-09,653.7,677.0,648.5,658.1,656.8,WOCKPHARMA
2021-06-08,654.95,656.55,640.25,651.7,651.3,WOCKPHARMA
2021-06-07,660.75,660.75,650.05,651.5,652.2,WOCKPHARMA
2021-06-04,659.4,666.0,650.05,655.05,655.1,WOCKPHARMA
2021-06-03,654.5,664.8,638.45,657.0,654.45,WOCKPHARMA
2021-06-02,624.6,653.0,622.25,650.0,647.55,WOCKPHARMA
2021-06-01,649.9,655.0,617.0,620.1,620.65,WOCKPHARMA
2021-05-31,660.0,675.0,640.0,643.0,650.5,WOCKPHARMA
2021-05-28,660.0,691.4,648.0,658.0,658.45,WOCKPHARMA
2021-05-27,789.7,797.95,662.0,668.2,674.6,WOCKPHARMA
2021-05-26,736.8,804.9,732.0,784.7,786.65,WOCKPHARMA
2021-05-25,694.75,737.0,681.65,735.2,723.7,WOCKPHARMA
2021-05-24,685.0,702.0,679.0,688.0,689.95,WOCKPHARMA
2021-05-21,695.95,698.6,675.1,681.25,681.8,WOCKPHARMA
2021-05-20,685.05,715.0,678.1,689.0,690.1,WOCKPHARMA
2021-05-19,629.4,691.25,625.15,679.95,678.0,WOCKPHARMA
2021-05-18,644.85,647.0,625.6,630.0,629.5,WOCKPHARMA
2021-05-17,639.3,662.0,627.25,640.8,639.45,WOCKPHARMA
2021-05-14,635.0,648.4,625.65,634.0,633.8,WOCKPHARMA
2021-05-12,627.0,656.0,618.05,632.0,630.85,WOCKPHARMA
2021-05-11,591.4,631.0,585.0,619.8,621.1,WOCKPHARMA
2021-05-10,578.25,611.7,576.0,598.0,597.05,WOCKPHARMA
2021-05-07,590.0,607.7,570.0,573.25,573.05,WOCKPHARMA
2021-05-06,540.0,602.0,534.0,584.5,587.8,WOCKPHARMA
2021-05-05,521.0,557.4,518.0,536.0,534.35,WOCKPHARMA
2021-05-04,522.15,540.0,513.35,518.0,516.95,WOCKPHARMA
2021-05-03,512.4,525.45,512.4,517.25,518.95,WOCKPHARMA
2021-04-30,505.1,532.75,505.0,513.8,514.65,WOCKPHARMA
2021-04-29,512.0,528.8,504.1,512.8,512.55,WOCKPHARMA
2021-04-28,516.0,526.0,507.05,510.0,510.75,WOCKPHARMA
2021-04-27,518.9,523.0,510.1,513.0,513.65,WOCKPHARMA
2021-04-26,509.9,529.6,503.5,515.8,516.9,WOCKPHARMA
2021-04-23,517.15,533.0,500.05,504.0,504.05,WOCKPHARMA
2021-04-22,512.0,547.7,508.55,515.1,518.2,WOCKPHARMA
2021-04-20,462.8,530.0,460.05,502.05,506.25,WOCKPHARMA
2021-04-19,456.0,468.0,443.1,455.45,457.65,WOCKPHARMA
2021-04-16,448.2,464.35,444.05,455.65,456.5,WOCKPHARMA
2021-04-15,445.4,452.0,434.35,443.0,445.9,WOCKPHARMA
2021-04-13,443.0,453.5,438.1,446.0,446.15,WOCKPHARMA
2021-04-12,473.0,473.2,435.05,441.0,439.6,WOCKPHARMA
2021-04-09,459.75,482.95,456.95,475.2,475.25,WOCKPHARMA
2021-04-08,462.5,471.0,457.6,460.25,459.75,WOCKPHARMA
2021-04-07,462.5,471.9,454.05,460.85,462.1,WOCKPHARMA
2021-04-06,442.8,472.95,438.0,460.95,459.75,WOCKPHARMA
2021-04-05,428.0,443.0,425.05,442.0,438.1,WOCKPHARMA
2021-04-01,416.85,433.0,414.75,431.0,428.25,WOCKPHARMA
2021-03-31,430.0,430.0,410.0,414.0,414.05,WOCKPHARMA
2021-03-30,407.0,434.9,406.85,429.5,428.95,WOCKPHARMA
2021-03-26,413.85,416.35,402.0,402.95,403.1,WOCKPHARMA
2021-03-25,423.5,425.5,407.4,409.95,408.95,WOCKPHARMA
2021-03-24,441.0,444.75,418.0,423.2,421.1,WOCKPHARMA
2021-03-23,449.85,451.8,440.0,440.9,442.0,WOCKPHARMA
2021-03-22,424.2,457.8,424.2,449.85,448.55,WOCKPHARMA
2021-03-19,431.7,431.7,412.45,423.0,423.35,WOCKPHARMA
2021-03-18,462.7,464.9,430.1,432.6,434.9,WOCKPHARMA
2021-03-17,468.15,474.5,455.65,458.0,458.6,WOCKPHARMA
2021-03-16,478.25,484.8,467.0,467.5,468.15,WOCKPHARMA
2021-03-15,489.0,489.0,470.05,475.45,476.55,WOCKPHARMA
2021-03-12,495.0,497.0,482.2,486.5,486.35,WOCKPHARMA
2021-03-10,495.65,498.6,490.05,491.25,493.1,WOCKPHARMA
2021-03-09,494.4,506.5,487.0,490.9,492.7,WOCKPHARMA
2021-03-08,492.9,494.05,483.1,484.6,484.6,WOCKPHARMA
2021-03-05,501.0,505.45,487.05,490.0,489.6,WOCKPHARMA
2021-03-04,502.0,517.3,494.6,499.5,498.9,WOCKPHARMA
2021-03-03,513.1,514.8,505.05,507.0,506.45,WOCKPHARMA
2021-03-02,502.0,519.4,497.0,510.0,510.5,WOCKPHARMA
2021-03-01,506.7,513.6,497.35,499.6,500.35,WOCKPHARMA
2021-02-26,489.55,522.6,486.5,500.0,501.45,WOCKPHARMA
2021-02-25,493.15,507.7,490.5,491.55,492.9,WOCKPHARMA
2021-02-24,491.0,497.75,485.6,488.6,488.75,WOCKPHARMA
2021-02-23,483.45,496.9,477.75,491.0,489.5,WOCKPHARMA
2021-02-22,492.05,494.9,478.0,481.4,480.8,WOCKPHARMA
2021-02-19,479.0,500.95,479.0,491.5,489.7,WOCKPHARMA
2021-02-18,495.0,495.0,479.0,487.0,485.65,WOCKPHARMA
2021-02-17,507.65,507.65,489.0,491.8,491.35,WOCKPHARMA
2021-02-16,495.95,513.7,494.0,504.0,505.1,WOCKPHARMA
2021-02-15,501.1,503.75,492.0,492.5,493.25,WOCKPHARMA
2021-02-12,518.7,520.8,494.3,501.35,501.45,WOCKPHARMA
2021-02-11,521.95,526.0,516.0,516.0,517.9,WOCKPHARMA
2021-02-10,524.95,540.0,516.25,520.0,522.5,WOCKPHARMA
2021-02-09,507.0,535.6,506.35,523.1,519.55,WOCKPHARMA
2021-02-08,511.65,517.5,503.05,503.05,507.55,WOCKPHARMA
2021-02-05,522.4,523.45,505.5,507.0,508.55,WOCKPHARMA
2021-02-04,511.0,526.95,511.0,516.2,517.25,WOCKPHARMA
2021-02-03,497.0,529.95,492.5,519.0,516.15,WOCKPHARMA
2021-02-02,488.5,507.0,485.0,496.95,496.4,WOCKPHARMA
2021-02-01,481.8,487.9,476.15,483.0,483.95,WOCKPHARMA
2021-01-29,491.85,509.4,471.0,479.0,481.05,WOCKPHARMA
2021-01-28,482.0,494.7,476.25,488.0,486.7,WOCKPHARMA
2021-01-27,496.8,498.0,483.1,484.1,486.35,WOCKPHARMA
2021-01-25,517.0,519.8,488.15,498.0,496.8,WOCKPHARMA
2021-01-22,519.0,525.25,507.2,514.3,513.75,WOCKPHARMA
2021-01-21,536.9,540.0,512.5,520.0,517.9,WOCKPHARMA
2021-01-20,529.45,556.9,521.45,535.0,535.35,WOCKPHARMA
2021-01-19,512.05,530.0,512.0,528.65,527.1,WOCKPHARMA
2021-01-18,536.4,536.8,502.25,506.95,509.25,WOCKPHARMA
2021-01-15,532.9,548.0,520.25,531.9,533.05,WOCKPHARMA
2021-01-14,495.6,538.5,485.5,533.0,531.3,WOCKPHARMA
2021-01-13,511.0,511.5,485.05,495.3,495.6,WOCKPHARMA
2021-01-12,511.0,514.9,506.05,509.0,509.45,WOCKPHARMA
2021-01-11,518.4,521.55,506.6,512.7,511.05,WOCKPHARMA
2021-01-08,521.4,532.0,510.0,514.7,516.8,WOCKPHARMA
2021-01-07,521.2,532.0,515.4,520.0,518.8,WOCKPHARMA
2021-01-06,529.0,531.2,511.6,519.0,518.6,WOCKPHARMA
2021-01-05,519.0,537.1,516.6,527.0,526.55,WOCKPHARMA
2021-01-04,549.8,558.0,518.0,519.95,523.1,WOCKPHARMA
2021-01-01,544.5,554.35,538.0,543.15,544.05,WOCKPHARMA
2020-12-31,553.75,569.8,537.0,540.0,546.55,WOCKPHARMA
2020-12-30,513.0,558.0,501.8,549.5,550.5,WOCKPHARMA
2020-12-29,490.9,514.0,489.75,511.2,509.7,WOCKPHARMA
2020-12-28,493.65,495.8,486.4,488.05,489.75,WOCKPHARMA
2020-12-24,494.0,496.2,483.0,485.0,490.4,WOCKPHARMA
2020-12-23,467.0,494.0,465.0,491.5,490.9,WOCKPHARMA
2020-12-22,468.0,482.25,424.85,464.65,463.45,WOCKPHARMA
2020-12-21,506.8,518.4,458.3,459.0,464.15,WOCKPHARMA
2020-12-18,519.0,521.0,507.05,510.7,509.2,WOCKPHARMA
2020-12-17,512.9,535.0,509.2,516.1,516.35,WOCKPHARMA
2020-12-16,514.7,518.6,507.05,510.25,508.7,WOCKPHARMA
2020-12-15,511.45,522.4,506.0,511.25,510.95,WOCKPHARMA
2020-12-14,523.0,523.5,503.35,507.7,507.1,WOCKPHARMA
