DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,229.5,238.0,225.65,229.05,270.0,150.2,WONDERLA
2021-10-28,231.0,233.4,227.6,229.55,270.0,150.2,WONDERLA
2021-10-27,235.0,235.0,228.0,229.85,270.0,150.2,WONDERLA
2021-10-26,229.9,236.0,229.9,234.65,270.0,150.2,WONDERLA
2021-10-25,241.0,241.0,227.05,228.15,270.0,150.2,WONDERLA
2021-10-22,240.0,243.55,234.95,236.95,270.0,150.2,WONDERLA
2021-10-21,238.95,239.4,235.2,238.2,270.0,150.2,WONDERLA
2021-10-20,241.0,243.75,231.0,237.75,270.0,150.2,WONDERLA
2021-10-19,242.5,251.0,237.0,239.6,270.0,150.2,WONDERLA
2021-10-18,247.6,249.65,239.0,240.0,270.0,150.2,WONDERLA
2021-10-14,246.6,251.7,245.2,246.35,270.0,149.0,WONDERLA
2021-10-13,248.45,252.65,244.6,246.0,270.0,149.0,WONDERLA
2021-10-12,248.9,251.8,244.15,247.2,270.0,149.0,WONDERLA
2021-10-11,251.45,254.0,245.35,247.1,270.0,149.0,WONDERLA
2021-10-08,257.6,259.3,249.0,250.15,270.0,149.0,WONDERLA
2021-10-07,249.9,259.0,248.05,255.5,270.0,149.0,WONDERLA
2021-10-06,244.5,258.6,243.9,247.5,270.0,149.0,WONDERLA
2021-10-05,243.4,247.0,242.5,243.25,270.0,149.0,WONDERLA
2021-10-04,241.4,244.5,238.45,242.7,270.0,149.0,WONDERLA
2021-10-01,237.2,242.6,237.0,238.45,270.0,149.0,WONDERLA
2021-09-30,244.9,244.9,240.15,241.35,270.0,149.0,WONDERLA
2021-09-29,239.0,248.6,239.0,242.6,270.0,149.0,WONDERLA
2021-09-28,235.05,245.0,235.05,242.7,270.0,149.0,WONDERLA
2021-09-27,232.8,239.75,228.9,233.8,270.0,149.0,WONDERLA
2021-09-24,230.45,230.7,227.65,229.3,270.0,135.05,WONDERLA
2021-09-23,233.55,233.7,227.95,229.3,270.0,135.05,WONDERLA
2021-09-22,226.7,239.2,226.15,229.85,270.0,135.05,WONDERLA
2021-09-21,225.5,228.95,221.25,225.6,270.0,135.05,WONDERLA
2021-09-20,228.75,232.5,225.85,227.1,270.0,135.05,WONDERLA
2021-09-17,232.4,233.0,226.35,227.25,270.0,135.05,WONDERLA
2021-09-16,230.1,232.25,230.1,231.4,270.0,135.05,WONDERLA
2021-09-15,233.3,234.45,231.0,231.8,270.0,135.05,WONDERLA
2021-09-14,231.0,234.7,231.0,232.1,270.0,135.05,WONDERLA
2021-09-13,233.9,233.9,230.1,231.05,270.0,135.05,WONDERLA
2021-09-09,234.5,235.7,232.05,232.85,270.0,135.05,WONDERLA
2021-09-08,236.8,236.8,232.5,234.5,270.0,135.05,WONDERLA
2021-09-07,234.3,237.5,230.1,231.0,270.0,135.05,WONDERLA
2021-09-06,235.8,242.3,223.35,232.3,270.0,135.05,WONDERLA
2021-09-03,235.8,236.95,230.2,234.6,270.0,135.05,WONDERLA
2021-09-02,232.8,235.75,227.3,234.9,270.0,135.05,WONDERLA
2021-09-01,235.4,235.9,229.25,230.35,270.0,135.05,WONDERLA
2021-08-31,235.5,237.0,230.2,231.85,270.0,135.05,WONDERLA
2021-08-30,229.4,237.0,229.2,234.4,270.0,135.05,WONDERLA
2021-08-27,235.7,235.7,231.2,232.35,270.0,135.05,WONDERLA
2021-08-26,234.8,237.0,232.05,233.25,270.0,135.05,WONDERLA
2021-08-25,236.8,237.5,232.0,233.15,270.0,135.05,WONDERLA
2021-08-24,235.9,238.8,229.4,236.8,270.0,135.05,WONDERLA
2021-08-23,223.4,231.9,217.25,228.95,270.0,135.05,WONDERLA
2021-08-20,227.05,229.4,223.0,223.4,270.0,135.05,WONDERLA
2021-08-18,229.95,231.85,222.4,227.05,270.0,135.05,WONDERLA
2021-08-17,228.5,233.35,228.0,230.3,270.0,135.05,WONDERLA
2021-08-16,235.95,235.95,227.75,228.05,270.0,135.05,WONDERLA
2021-08-13,235.9,237.0,232.0,236.25,270.0,135.05,WONDERLA
2021-08-12,234.7,237.0,228.0,235.4,270.0,135.05,WONDERLA
2021-08-11,234.0,235.9,220.25,227.6,270.0,135.05,WONDERLA
2021-08-10,229.0,234.0,220.05,228.5,270.0,135.05,WONDERLA
2021-08-09,235.0,236.85,226.15,228.25,270.0,135.05,WONDERLA
2021-08-06,237.1,238.55,235.1,235.85,270.0,133.25,WONDERLA
2021-08-05,242.5,242.5,235.25,236.6,270.0,133.25,WONDERLA
2021-08-04,240.75,243.35,240.3,241.9,270.0,133.25,WONDERLA
2021-08-03,242.8,244.0,238.05,239.55,270.0,133.25,WONDERLA
2021-08-02,246.0,248.55,237.1,239.55,270.0,133.25,WONDERLA
2021-07-30,248.9,250.75,243.15,244.65,270.0,129.6,WONDERLA
2021-07-29,244.15,249.85,242.75,248.3,270.0,129.6,WONDERLA
2021-07-28,244.6,246.4,239.3,242.25,270.0,129.6,WONDERLA
2021-07-27,245.0,251.1,240.5,242.8,270.0,129.6,WONDERLA
2021-07-26,253.0,253.9,240.2,243.5,270.0,129.6,WONDERLA
2021-07-23,252.05,254.4,248.3,249.8,270.0,129.6,WONDERLA
2021-07-22,258.0,260.45,250.0,251.5,270.0,129.6,WONDERLA
2021-07-20,244.0,261.0,236.95,256.5,270.0,129.6,WONDERLA
2021-07-19,239.85,248.8,239.85,244.95,270.0,129.6,WONDERLA
2021-07-16,249.45,250.65,237.7,239.85,270.0,129.6,WONDERLA
2021-07-15,254.85,257.0,245.25,248.2,270.0,129.6,WONDERLA
2021-07-14,256.2,261.1,252.75,253.4,270.0,129.6,WONDERLA
2021-07-13,258.45,262.45,255.5,256.1,270.0,129.6,WONDERLA
2021-07-12,256.0,262.0,253.0,256.35,270.0,129.6,WONDERLA
2021-07-09,262.5,264.5,254.0,255.15,270.0,129.6,WONDERLA
2021-07-08,254.9,268.8,252.1,264.2,270.0,129.6,WONDERLA
2021-07-07,254.9,263.0,250.0,254.9,270.0,129.6,WONDERLA
2021-07-06,231.0,270.0,227.25,254.1,270.0,129.6,WONDERLA
2021-07-05,221.0,227.5,218.0,225.75,235.0,129.6,WONDERLA
2021-07-02,216.4,216.4,212.6,213.9,235.0,128.0,WONDERLA
2021-07-01,214.4,216.55,213.0,214.05,235.0,128.0,WONDERLA
2021-06-30,220.5,220.75,211.55,213.45,235.0,128.0,WONDERLA
2021-06-29,220.0,224.0,216.0,218.45,235.0,128.0,WONDERLA
2021-06-28,217.15,221.2,215.0,217.85,235.0,128.0,WONDERLA
2021-06-25,221.7,222.55,215.0,217.8,235.0,128.0,WONDERLA
2021-06-24,220.5,224.35,219.5,220.1,235.0,128.0,WONDERLA
2021-06-23,227.35,229.8,216.6,219.05,235.0,128.0,WONDERLA
2021-06-22,221.7,231.6,219.2,224.6,235.0,128.0,WONDERLA
2021-06-21,210.15,224.6,210.15,217.75,235.0,128.0,WONDERLA
2021-06-18,225.9,226.0,209.25,217.1,235.0,128.0,WONDERLA
2021-06-17,225.1,231.0,221.4,224.2,235.0,128.0,WONDERLA
2021-06-16,218.35,232.4,214.4,225.25,235.0,128.0,WONDERLA
2021-06-15,214.85,221.0,214.85,217.6,235.0,128.0,WONDERLA
2021-06-14,216.5,216.65,209.25,214.85,235.0,128.0,WONDERLA
2021-06-11,214.0,218.0,209.95,212.6,235.0,122.25,WONDERLA
2021-06-10,207.05,211.8,207.05,209.45,235.0,122.25,WONDERLA
2021-06-09,208.05,209.9,198.0,207.45,235.0,122.25,WONDERLA
2021-06-08,212.0,214.1,208.0,210.6,235.0,122.25,WONDERLA
2021-06-07,214.4,215.0,207.75,210.9,235.0,122.25,WONDERLA
2021-06-04,211.65,216.0,207.5,211.85,235.0,122.25,WONDERLA
2021-06-03,212.5,212.7,207.05,210.1,235.0,122.25,WONDERLA
2021-06-02,208.0,211.45,205.25,210.2,235.0,122.25,WONDERLA
2021-06-01,207.35,210.0,205.1,206.55,235.0,122.25,WONDERLA
2021-05-31,207.7,212.85,203.4,207.25,235.0,122.25,WONDERLA
2021-05-28,207.0,210.0,204.7,205.55,235.0,108.0,WONDERLA
2021-05-27,210.0,214.0,203.5,207.05,235.0,108.0,WONDERLA
2021-05-26,213.85,217.0,209.0,210.9,235.0,108.0,WONDERLA
2021-05-25,204.0,218.0,203.0,208.9,235.0,108.0,WONDERLA
