DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-04,264.9,269.0,260.0,260.0,260.65,288.7,154.5,WSTCSTPAPR
2021-08-03,270.95,270.95,261.65,264.5,264.65,288.7,154.5,WSTCSTPAPR
2021-08-02,265.35,274.75,261.05,270.9,270.75,288.7,154.5,WSTCSTPAPR
2021-07-30,265.1,269.7,258.05,261.15,261.45,288.7,154.5,WSTCSTPAPR
2021-07-29,270.0,281.0,260.05,263.0,263.95,288.7,154.5,WSTCSTPAPR
2021-07-28,246.55,269.0,241.25,266.5,263.5,288.7,154.5,WSTCSTPAPR
2021-07-27,248.6,254.1,245.0,246.05,247.15,288.7,154.5,WSTCSTPAPR
2021-07-26,252.0,252.15,246.1,247.6,248.0,288.7,154.5,WSTCSTPAPR
2021-07-23,248.4,256.75,245.05,253.5,253.9,288.7,154.5,WSTCSTPAPR
2021-07-22,244.15,250.0,240.0,248.0,247.25,288.7,154.5,WSTCSTPAPR
2021-07-20,259.95,260.45,238.55,240.25,242.0,288.7,154.5,WSTCSTPAPR
2021-07-19,261.4,266.7,254.65,261.8,258.65,288.7,154.5,WSTCSTPAPR
2021-07-16,263.4,264.75,261.0,262.55,262.2,288.7,154.5,WSTCSTPAPR
2021-07-15,264.9,265.8,261.5,262.3,262.05,288.7,154.5,WSTCSTPAPR
2021-07-14,268.6,269.85,262.85,263.8,263.8,288.7,154.5,WSTCSTPAPR
2021-07-13,268.8,274.6,266.8,267.0,267.85,288.7,154.5,WSTCSTPAPR
2021-07-12,267.0,275.0,265.55,266.95,267.25,288.7,154.5,WSTCSTPAPR
2021-07-09,271.0,274.8,265.2,266.0,267.9,288.7,154.5,WSTCSTPAPR
2021-07-08,278.95,281.9,268.15,270.0,269.85,288.7,154.5,WSTCSTPAPR
2021-07-07,282.0,288.7,275.35,279.2,279.4,288.7,154.5,WSTCSTPAPR
2021-07-06,281.0,281.0,270.05,273.0,271.75,287.0,154.5,WSTCSTPAPR
2021-07-05,264.45,287.0,261.65,281.0,281.1,287.0,154.5,WSTCSTPAPR
2021-07-02,257.0,267.95,256.25,262.05,262.35,277.0,154.5,WSTCSTPAPR
2021-07-01,265.45,270.5,255.0,257.3,256.45,277.0,154.5,WSTCSTPAPR
2021-06-30,246.75,266.4,243.0,263.0,263.45,277.0,154.5,WSTCSTPAPR
2021-06-29,249.45,251.2,243.2,245.0,245.5,277.0,154.5,WSTCSTPAPR
2021-06-28,247.8,254.6,242.8,248.1,247.25,277.0,154.5,WSTCSTPAPR
2021-06-25,245.0,255.0,243.0,245.0,245.85,277.0,154.5,WSTCSTPAPR
2021-06-24,255.8,260.8,242.4,244.0,250.4,277.0,154.5,WSTCSTPAPR
2021-06-23,245.7,262.7,245.7,251.95,251.25,277.0,154.5,WSTCSTPAPR
2021-06-22,235.8,253.0,232.7,244.0,243.75,277.0,154.5,WSTCSTPAPR
2021-06-21,221.0,240.2,218.8,234.0,233.65,277.0,154.5,WSTCSTPAPR
2021-06-18,238.0,238.7,219.1,228.25,228.2,277.0,149.0,WSTCSTPAPR
2021-06-17,236.1,243.95,235.0,235.4,236.2,277.0,149.0,WSTCSTPAPR
2021-06-16,244.85,246.1,236.75,239.9,239.45,277.0,149.0,WSTCSTPAPR
2021-06-15,237.55,247.4,233.1,244.0,244.25,277.0,149.0,WSTCSTPAPR
2021-06-14,240.45,245.8,226.3,237.1,237.3,277.0,149.0,WSTCSTPAPR
2021-06-11,241.5,242.65,232.5,240.0,240.7,277.0,148.05,WSTCSTPAPR
2021-06-10,232.7,240.5,232.7,239.0,239.05,277.0,148.05,WSTCSTPAPR
2021-06-09,227.0,239.5,225.45,230.5,230.5,277.0,148.05,WSTCSTPAPR
2021-06-08,231.45,232.35,221.75,227.8,226.9,277.0,148.05,WSTCSTPAPR
2021-06-07,233.2,235.95,230.0,231.4,231.45,277.0,148.05,WSTCSTPAPR
2021-06-04,233.95,238.35,231.0,233.15,234.4,277.0,130.4,WSTCSTPAPR
2021-06-03,235.2,236.8,229.7,232.65,233.6,277.0,130.4,WSTCSTPAPR
2021-06-02,229.8,237.9,228.8,233.7,233.35,277.0,130.4,WSTCSTPAPR
2021-06-01,219.7,230.0,216.65,228.8,228.35,277.0,130.4,WSTCSTPAPR
2021-05-31,216.0,223.85,213.75,216.2,218.6,277.0,130.4,WSTCSTPAPR
2021-05-28,220.8,222.65,215.2,217.45,216.1,277.0,124.0,WSTCSTPAPR
2021-05-27,212.1,224.15,210.55,220.8,221.2,277.0,124.0,WSTCSTPAPR
2021-05-26,211.0,219.1,209.3,210.8,211.0,277.0,124.0,WSTCSTPAPR
2021-05-25,216.0,216.65,210.05,211.5,210.7,277.0,124.0,WSTCSTPAPR
2021-05-24,214.0,214.6,209.1,210.0,209.9,277.0,124.0,WSTCSTPAPR
2021-05-21,208.7,215.75,208.55,214.0,213.75,277.0,122.4,WSTCSTPAPR
2021-05-20,198.7,215.9,198.2,206.9,205.7,277.0,122.4,WSTCSTPAPR
2021-05-19,198.5,201.5,196.9,197.75,197.7,277.0,122.4,WSTCSTPAPR
2021-05-18,201.0,204.6,198.8,199.3,199.5,277.0,122.4,WSTCSTPAPR
2021-05-17,200.3,204.35,197.15,199.0,199.2,277.0,122.4,WSTCSTPAPR
2021-05-14,208.5,208.75,197.0,199.35,198.35,277.0,122.4,WSTCSTPAPR
2021-05-12,212.75,216.0,204.4,205.65,205.9,277.0,122.4,WSTCSTPAPR
2021-05-11,212.5,219.1,211.55,212.0,212.6,277.0,122.4,WSTCSTPAPR
2021-05-10,212.95,219.8,212.9,217.0,215.25,277.0,122.4,WSTCSTPAPR
2021-05-07,209.6,219.35,209.1,210.1,211.0,277.0,122.4,WSTCSTPAPR
2021-05-06,211.9,216.2,207.0,208.0,208.55,277.0,122.4,WSTCSTPAPR
2021-05-05,216.2,219.35,209.35,211.8,210.8,277.0,122.4,WSTCSTPAPR
2021-05-04,200.4,226.9,200.4,217.9,214.6,277.0,122.4,WSTCSTPAPR
2021-05-03,204.0,204.95,198.0,200.4,199.65,277.0,122.4,WSTCSTPAPR
2021-04-30,203.1,210.4,201.0,204.0,203.75,277.0,122.4,WSTCSTPAPR
2021-04-29,211.3,212.9,204.7,207.1,206.35,277.0,122.4,WSTCSTPAPR
2021-04-28,203.85,213.6,200.75,210.35,209.6,277.0,122.4,WSTCSTPAPR
2021-04-27,202.6,204.8,200.6,201.0,201.4,277.0,122.4,WSTCSTPAPR
2021-04-26,197.5,203.8,197.35,201.3,201.75,277.0,122.4,WSTCSTPAPR
2021-04-23,195.35,202.65,194.4,196.7,196.25,277.0,122.4,WSTCSTPAPR
2021-04-22,187.95,199.9,187.95,195.8,195.35,277.0,122.4,WSTCSTPAPR
2021-04-20,194.5,195.8,185.05,190.0,187.7,277.0,122.4,WSTCSTPAPR
2021-04-19,201.0,201.8,189.1,190.0,190.5,277.0,122.4,WSTCSTPAPR
2021-04-16,209.0,209.3,202.15,204.9,203.1,277.0,122.4,WSTCSTPAPR
2021-04-15,212.0,214.5,203.3,205.8,206.4,277.0,122.4,WSTCSTPAPR
2021-04-13,208.5,216.0,207.6,210.5,210.25,277.0,122.4,WSTCSTPAPR
2021-04-12,224.4,225.6,207.6,209.0,208.6,277.0,122.4,WSTCSTPAPR
2021-04-09,233.65,234.95,228.1,229.5,228.8,277.0,122.4,WSTCSTPAPR
2021-04-08,233.6,239.95,230.05,231.2,231.1,277.0,122.4,WSTCSTPAPR
2021-04-07,235.0,236.4,230.0,230.1,231.95,277.0,122.4,WSTCSTPAPR
2021-04-06,237.0,242.0,232.65,233.5,233.55,277.0,122.4,WSTCSTPAPR
2021-04-05,247.1,247.1,225.0,236.1,236.5,277.0,122.4,WSTCSTPAPR
2021-04-01,241.15,251.65,241.15,248.0,247.9,277.0,115.45,WSTCSTPAPR
2021-03-31,241.7,244.0,236.55,240.0,241.45,277.0,115.45,WSTCSTPAPR
2021-03-30,245.5,247.0,233.0,239.15,240.0,277.0,115.45,WSTCSTPAPR
2021-03-26,241.05,247.4,240.45,244.0,243.05,277.0,100.05,WSTCSTPAPR
2021-03-25,240.7,244.9,234.1,240.0,240.4,277.0,100.05,WSTCSTPAPR
2021-03-24,251.65,253.6,238.0,239.4,240.6,277.0,100.05,WSTCSTPAPR
2021-03-23,250.8,255.0,249.0,251.0,251.55,277.0,100.05,WSTCSTPAPR
2021-03-22,244.65,252.8,240.45,248.5,248.55,277.0,100.05,WSTCSTPAPR
2021-03-19,235.0,249.95,232.7,244.9,243.75,277.0,100.05,WSTCSTPAPR
2021-03-18,247.8,255.5,232.65,241.0,239.35,277.0,100.05,WSTCSTPAPR
2021-03-17,256.0,261.7,241.5,244.0,243.1,277.0,100.05,WSTCSTPAPR
2021-03-16,244.0,269.4,243.05,255.15,256.25,277.0,100.05,WSTCSTPAPR
2021-03-15,249.8,250.0,233.0,238.3,236.4,277.0,100.05,WSTCSTPAPR
2021-03-12,252.7,258.4,242.1,244.5,243.85,277.0,100.05,WSTCSTPAPR
2021-03-10,258.0,258.35,248.3,251.9,250.65,277.0,100.05,WSTCSTPAPR
2021-03-09,267.9,267.9,255.0,257.0,256.85,277.0,100.05,WSTCSTPAPR
2021-03-08,256.0,271.45,256.0,266.5,267.95,277.0,100.05,WSTCSTPAPR
