DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-20,406.0,411.55,392.1,394.65,513.0,236.45,XELPMOC
2021-10-19,402.55,425.0,402.55,411.4,513.0,236.45,XELPMOC
2021-10-18,415.0,415.0,397.0,406.05,513.0,236.45,XELPMOC
2021-10-14,396.0,414.85,395.85,398.55,513.0,236.0,XELPMOC
2021-10-13,428.4,428.4,400.0,412.4,513.0,236.0,XELPMOC
2021-10-12,418.2,418.2,400.0,416.6,513.0,236.0,XELPMOC
2021-07-19,441.15,469.0,441.15,452.4,513.0,236.0,XELPMOC
2021-07-16,450.0,470.0,440.3,451.05,513.0,236.0,XELPMOC
2021-07-15,483.0,483.0,438.1,443.65,513.0,236.0,XELPMOC
2021-07-14,477.5,485.0,451.55,471.4,513.0,236.0,XELPMOC
2021-07-13,505.0,513.0,455.45,465.6,513.0,236.0,XELPMOC
2021-07-12,446.85,483.7,444.5,483.7,484.0,236.0,XELPMOC
2021-07-09,432.0,451.0,415.75,439.75,484.0,236.0,XELPMOC
2021-07-08,456.9,456.9,431.0,435.15,484.0,236.0,XELPMOC
2021-07-07,447.8,465.0,432.0,454.65,484.0,236.0,XELPMOC
2021-07-06,430.0,484.0,416.05,443.45,484.0,236.0,XELPMOC
2021-07-05,340.0,407.85,340.0,407.85,407.85,236.0,XELPMOC
2021-07-02,335.0,346.95,327.5,339.9,387.3,236.0,XELPMOC
2021-07-01,321.2,336.0,321.05,326.6,387.3,236.0,XELPMOC
2021-06-30,311.75,334.0,306.95,317.7,387.3,236.0,XELPMOC
2021-06-29,306.1,315.0,301.2,307.2,387.3,236.0,XELPMOC
2021-06-28,309.4,318.0,295.55,306.1,387.3,236.0,XELPMOC
2021-06-25,337.0,337.0,291.2,304.8,387.3,236.0,XELPMOC
2021-06-24,340.0,354.3,312.55,318.1,387.3,236.0,XELPMOC
2021-06-23,279.0,327.9,273.05,327.9,387.3,236.0,XELPMOC
