DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,210.5,212.3,206.6,208.9,208.95,ZEEL
2021-07-15,214.75,214.9,209.45,209.85,209.85,ZEEL
2021-07-14,214.6,214.95,213.0,213.7,214.25,ZEEL
2021-07-13,216.5,216.6,213.4,214.4,214.55,ZEEL
2021-07-12,218.9,218.9,215.0,215.3,215.35,ZEEL
2021-07-09,216.5,217.45,214.55,216.25,216.6,ZEEL
2021-07-08,220.15,223.05,214.55,216.85,216.15,ZEEL
2021-07-07,218.8,220.3,217.35,219.75,219.65,ZEEL
2021-07-06,219.0,223.5,218.2,219.5,219.45,ZEEL
2021-07-05,218.8,219.7,217.25,218.5,218.85,ZEEL
2021-07-02,216.35,218.25,214.8,217.15,217.1,ZEEL
2021-07-01,216.0,218.0,214.4,216.0,215.25,ZEEL
2021-06-30,217.7,217.9,213.55,214.55,214.75,ZEEL
2021-06-29,220.0,220.75,215.45,216.5,216.05,ZEEL
2021-06-28,219.0,221.5,217.25,219.85,219.15,ZEEL
2021-06-25,216.2,219.85,215.65,218.0,218.35,ZEEL
2021-06-24,218.0,218.55,213.6,215.5,214.75,ZEEL
2021-06-23,220.5,222.0,216.0,216.75,216.45,ZEEL
2021-06-22,223.8,223.9,217.4,217.85,218.15,ZEEL
2021-06-21,218.4,224.15,216.0,222.0,221.7,ZEEL
2021-06-18,225.0,226.55,212.65,222.4,221.95,ZEEL
2021-06-17,225.9,231.45,222.2,223.25,223.75,ZEEL
2021-06-16,230.0,232.0,226.15,226.45,227.55,ZEEL
2021-06-15,219.25,234.45,218.7,230.5,230.4,ZEEL
2021-06-14,220.5,220.9,213.8,217.95,218.2,ZEEL
2021-06-11,223.0,225.95,219.45,221.0,220.5,ZEEL
2021-06-10,218.75,224.45,215.5,221.6,222.1,ZEEL
2021-06-09,220.0,226.15,214.1,217.0,216.55,ZEEL
2021-06-08,219.0,221.25,214.4,219.75,220.15,ZEEL
2021-06-07,219.0,222.7,217.1,217.85,217.6,ZEEL
2021-06-04,216.6,221.45,216.1,218.4,218.3,ZEEL
2021-06-03,213.4,221.0,212.2,218.0,219.6,ZEEL
2021-06-02,212.3,215.3,210.75,212.25,212.8,ZEEL
2021-06-01,210.5,213.7,204.55,213.5,213.2,ZEEL
2021-05-31,212.1,214.95,208.15,209.7,209.35,ZEEL
2021-05-28,214.0,216.3,210.25,211.5,211.75,ZEEL
2021-05-27,206.45,214.45,203.7,213.0,209.75,ZEEL
2021-05-26,204.0,207.05,203.05,205.8,205.95,ZEEL
2021-05-25,200.0,204.25,198.5,202.0,201.55,ZEEL
2021-05-24,192.75,200.65,190.75,197.6,198.05,ZEEL
2021-05-21,196.0,199.0,190.2,191.1,190.7,ZEEL
2021-05-20,194.65,194.7,189.25,191.4,191.6,ZEEL
2021-05-19,191.8,195.75,190.75,192.2,192.65,ZEEL
2021-05-18,190.0,195.0,189.65,191.3,190.45,ZEEL
2021-05-17,192.2,194.0,187.15,188.2,188.2,ZEEL
2021-05-14,194.15,195.0,186.2,190.95,191.6,ZEEL
2021-05-12,186.5,198.2,183.0,192.75,193.0,ZEEL
2021-05-11,188.0,189.8,185.05,186.0,186.85,ZEEL
2021-05-10,187.2,193.6,186.55,189.1,189.0,ZEEL
2021-05-07,183.95,190.75,181.4,186.15,186.25,ZEEL
2021-05-06,184.0,184.2,179.6,182.35,182.25,ZEEL
2021-05-05,183.65,184.85,181.0,183.25,182.95,ZEEL
2021-05-04,185.4,187.35,180.8,182.3,182.1,ZEEL
2021-05-03,184.05,184.5,181.15,183.8,183.75,ZEEL
2021-04-30,185.3,190.95,183.65,185.0,185.6,ZEEL
2021-04-29,190.8,191.65,186.0,186.6,186.55,ZEEL
2021-04-28,188.8,190.6,187.1,188.95,189.1,ZEEL
2021-04-27,188.0,192.95,186.8,188.8,188.15,ZEEL
2021-04-26,190.6,191.1,185.1,186.7,186.4,ZEEL
2021-04-23,192.0,193.0,187.0,188.0,188.0,ZEEL
2021-04-22,195.5,199.8,191.7,192.15,192.3,ZEEL
2021-04-20,193.0,201.75,192.2,197.3,197.4,ZEEL
2021-04-19,187.0,191.2,185.1,191.0,190.35,ZEEL
2021-04-16,189.2,196.9,189.2,196.35,193.95,ZEEL
2021-04-15,189.4,190.5,184.9,188.8,189.2,ZEEL
2021-04-13,184.85,189.25,182.1,187.9,188.05,ZEEL
2021-04-12,201.2,201.25,176.1,184.15,181.1,ZEEL
2021-04-09,202.5,208.0,201.0,206.25,206.05,ZEEL
2021-04-08,202.0,205.2,200.6,202.0,201.95,ZEEL
2021-04-07,200.95,204.25,199.8,200.5,200.4,ZEEL
2021-04-06,202.25,204.5,198.6,200.3,199.9,ZEEL
2021-04-05,209.0,209.0,195.5,201.7,202.15,ZEEL
2021-04-01,204.2,210.85,202.2,209.25,209.25,ZEEL
2021-03-31,201.4,204.55,198.9,202.45,203.2,ZEEL
2021-03-30,204.0,204.0,197.95,201.25,200.95,ZEEL
2021-03-26,199.6,203.85,198.1,200.25,199.95,ZEEL
2021-03-25,206.0,206.5,194.3,197.3,196.1,ZEEL
2021-03-24,211.25,212.9,204.4,205.45,205.2,ZEEL
2021-03-23,215.3,216.45,210.4,213.0,212.65,ZEEL
2021-03-22,214.1,217.3,213.4,214.0,214.3,ZEEL
2021-03-19,206.0,216.85,203.2,216.25,215.85,ZEEL
