DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-04,207.3,213.8,201.0,201.9,201.8,261.0,134.65,ZEEL
2021-08-03,203.0,205.45,201.0,204.8,204.3,261.0,134.65,ZEEL
2021-08-02,204.15,204.25,201.75,202.75,202.45,261.0,134.65,ZEEL
2021-07-30,199.7,206.0,197.0,203.0,202.75,261.0,134.65,ZEEL
2021-07-29,201.55,202.15,198.5,199.25,199.1,261.0,134.65,ZEEL
2021-07-28,200.6,202.0,198.3,200.8,200.55,261.0,134.65,ZEEL
2021-07-27,206.05,206.4,200.0,201.1,200.55,261.0,134.65,ZEEL
2021-07-26,205.45,209.2,204.55,205.2,205.75,261.0,134.65,ZEEL
2021-07-23,205.7,207.4,204.6,205.5,205.95,261.0,134.65,ZEEL
2021-07-22,202.7,205.5,202.4,204.95,204.85,261.0,134.65,ZEEL
2021-07-20,207.8,207.8,199.8,200.65,201.4,261.0,134.65,ZEEL
2021-07-19,208.0,210.4,205.6,206.25,206.5,261.0,134.65,ZEEL
2021-07-16,210.5,212.3,206.6,208.9,208.95,261.0,134.65,ZEEL
2021-07-15,214.75,214.9,209.45,209.85,209.85,261.0,134.65,ZEEL
2021-07-14,214.6,214.95,213.0,213.7,214.25,261.0,134.65,ZEEL
2021-07-13,216.5,216.6,213.4,214.4,214.55,261.0,134.65,ZEEL
2021-07-12,218.9,218.9,215.0,215.3,215.35,261.0,134.65,ZEEL
2021-07-09,216.5,217.45,214.55,216.25,216.6,261.0,134.65,ZEEL
2021-07-08,220.15,223.05,214.55,216.85,216.15,261.0,134.65,ZEEL
2021-07-07,218.8,220.3,217.35,219.75,219.65,261.0,134.65,ZEEL
2021-07-06,219.0,223.5,218.2,219.5,219.45,261.0,134.65,ZEEL
2021-07-05,218.8,219.7,217.25,218.5,218.85,261.0,134.65,ZEEL
2021-07-02,216.35,218.25,214.8,217.15,217.1,261.0,134.65,ZEEL
2021-07-01,216.0,218.0,214.4,216.0,215.25,261.0,134.65,ZEEL
2021-06-30,217.7,217.9,213.55,214.55,214.75,261.0,134.65,ZEEL
2021-06-29,220.0,220.75,215.45,216.5,216.05,261.0,134.65,ZEEL
2021-06-28,219.0,221.5,217.25,219.85,219.15,261.0,134.65,ZEEL
2021-06-25,216.2,219.85,215.65,218.0,218.35,261.0,134.65,ZEEL
2021-06-24,218.0,218.55,213.6,215.5,214.75,261.0,134.65,ZEEL
2021-06-23,220.5,222.0,216.0,216.75,216.45,261.0,134.65,ZEEL
2021-06-22,223.8,223.9,217.4,217.85,218.15,261.0,134.65,ZEEL
2021-06-21,218.4,224.15,216.0,222.0,221.7,261.0,134.65,ZEEL
2021-06-18,225.0,226.55,212.65,222.4,221.95,261.0,134.65,ZEEL
2021-06-17,225.9,231.45,222.2,223.25,223.75,261.0,134.65,ZEEL
2021-06-16,230.0,232.0,226.15,226.45,227.55,261.0,134.65,ZEEL
2021-06-15,219.25,234.45,218.7,230.5,230.4,261.0,134.65,ZEEL
2021-06-14,220.5,220.9,213.8,217.95,218.2,261.0,134.65,ZEEL
2021-06-11,223.0,225.95,219.45,221.0,220.5,261.0,134.65,ZEEL
2021-06-10,218.75,224.45,215.5,221.6,222.1,261.0,134.65,ZEEL
2021-06-09,220.0,226.15,214.1,217.0,216.55,261.0,134.65,ZEEL
2021-06-08,219.0,221.25,214.4,219.75,220.15,261.0,134.65,ZEEL
2021-06-07,219.0,222.7,217.1,217.85,217.6,261.0,134.65,ZEEL
2021-06-04,216.6,221.45,216.1,218.4,218.3,261.0,134.65,ZEEL
2021-06-03,213.4,221.0,212.2,218.0,219.6,261.0,134.65,ZEEL
2021-06-02,212.3,215.3,210.75,212.25,212.8,261.0,134.65,ZEEL
2021-06-01,210.5,213.7,204.55,213.5,213.2,261.0,134.65,ZEEL
2021-05-31,212.1,214.95,208.15,209.7,209.35,261.0,134.65,ZEEL
2021-05-28,214.0,216.3,210.25,211.5,211.75,261.0,134.65,ZEEL
2021-05-27,206.45,214.45,203.7,213.0,209.75,261.0,134.65,ZEEL
2021-05-26,204.0,207.05,203.05,205.8,205.95,261.0,134.65,ZEEL
2021-05-25,200.0,204.25,198.5,202.0,201.55,261.0,134.65,ZEEL
2021-05-24,192.75,200.65,190.75,197.6,198.05,261.0,134.65,ZEEL
2021-05-21,196.0,199.0,190.2,191.1,190.7,261.0,134.65,ZEEL
2021-05-20,194.65,194.7,189.25,191.4,191.6,261.0,134.65,ZEEL
2021-05-19,191.8,195.75,190.75,192.2,192.65,261.0,134.65,ZEEL
2021-05-18,190.0,195.0,189.65,191.3,190.45,261.0,134.65,ZEEL
2021-05-17,192.2,194.0,187.15,188.2,188.2,261.0,134.65,ZEEL
2021-05-14,194.15,195.0,186.2,190.95,191.6,261.0,134.65,ZEEL
2021-05-12,186.5,198.2,183.0,192.75,193.0,261.0,134.65,ZEEL
2021-05-11,188.0,189.8,185.05,186.0,186.85,261.0,134.65,ZEEL
2021-05-10,187.2,193.6,186.55,189.1,189.0,261.0,134.65,ZEEL
2021-05-07,183.95,190.75,181.4,186.15,186.25,261.0,134.65,ZEEL
2021-05-06,184.0,184.2,179.6,182.35,182.25,261.0,134.65,ZEEL
2021-05-05,183.65,184.85,181.0,183.25,182.95,261.0,134.65,ZEEL
2021-05-04,185.4,187.35,180.8,182.3,182.1,261.0,134.65,ZEEL
2021-05-03,184.05,184.5,181.15,183.8,183.75,261.0,134.65,ZEEL
2021-04-30,185.3,190.95,183.65,185.0,185.6,261.0,134.65,ZEEL
2021-04-29,190.8,191.65,186.0,186.6,186.55,261.0,134.65,ZEEL
2021-04-28,188.8,190.6,187.1,188.95,189.1,261.0,134.65,ZEEL
2021-04-27,188.0,192.95,186.8,188.8,188.15,261.0,134.65,ZEEL
2021-04-26,190.6,191.1,185.1,186.7,186.4,261.0,134.65,ZEEL
2021-04-23,192.0,193.0,187.0,188.0,188.0,261.0,128.6,ZEEL
2021-04-22,195.5,199.8,191.7,192.15,192.3,261.0,128.6,ZEEL
2021-04-20,193.0,201.75,192.2,197.3,197.4,261.0,128.6,ZEEL
2021-04-19,187.0,191.2,185.1,191.0,190.35,261.0,128.6,ZEEL
2021-04-16,189.2,196.9,189.2,196.35,193.95,261.0,128.0,ZEEL
2021-04-15,189.4,190.5,184.9,188.8,189.2,261.0,128.0,ZEEL
2021-04-13,184.85,189.25,182.1,187.9,188.05,261.0,128.0,ZEEL
2021-04-12,201.2,201.25,176.1,184.15,181.1,261.0,128.0,ZEEL
2021-04-09,202.5,208.0,201.0,206.25,206.05,261.0,126.65,ZEEL
2021-04-08,202.0,205.2,200.6,202.0,201.95,261.0,126.65,ZEEL
2021-04-07,200.95,204.25,199.8,200.5,200.4,261.0,126.65,ZEEL
2021-04-06,202.25,204.5,198.6,200.3,199.9,261.0,126.65,ZEEL
2021-04-05,209.0,209.0,195.5,201.7,202.15,261.0,126.65,ZEEL
2021-04-01,204.2,210.85,202.2,209.25,209.25,261.0,119.05,ZEEL
2021-03-31,201.4,204.55,198.9,202.45,203.2,261.0,119.05,ZEEL
2021-03-30,204.0,204.0,197.95,201.25,200.95,261.0,119.05,ZEEL
2021-03-26,199.6,203.85,198.1,200.25,199.95,261.0,114.0,ZEEL
2021-03-25,206.0,206.5,194.3,197.3,196.1,261.0,114.0,ZEEL
2021-03-24,211.25,212.9,204.4,205.45,205.2,261.0,114.0,ZEEL
2021-03-23,215.3,216.45,210.4,213.0,212.65,261.0,114.0,ZEEL
2021-03-22,214.1,217.3,213.4,214.0,214.3,261.0,114.0,ZEEL
2021-03-19,206.0,216.85,203.2,216.25,215.85,261.0,114.0,ZEEL
2021-03-18,206.4,214.85,204.1,207.1,207.1,261.0,114.0,ZEEL
2021-03-17,210.0,211.85,202.7,203.8,203.35,261.0,114.0,ZEEL
2021-03-16,214.8,215.4,210.0,210.4,210.85,261.0,114.0,ZEEL
2021-03-15,219.0,220.35,209.05,213.0,213.25,261.0,114.0,ZEEL
2021-03-12,222.9,226.5,217.7,219.4,218.8,261.0,114.0,ZEEL
2021-03-10,222.1,224.05,220.35,221.4,221.65,261.0,114.0,ZEEL
2021-03-09,225.95,228.0,215.0,220.45,220.35,261.0,114.0,ZEEL
2021-03-08,220.3,227.7,218.15,224.9,224.8,261.0,114.0,ZEEL
2021-03-05,225.0,229.4,215.4,217.6,218.05,261.0,114.0,ZEEL
2021-03-04,220.0,231.8,216.8,225.25,225.75,261.0,114.0,ZEEL
2021-03-03,221.9,226.0,220.45,222.05,222.0,261.0,114.0,ZEEL
2021-03-02,217.0,221.4,214.35,220.0,220.15,261.0,114.0,ZEEL
2021-03-01,203.0,218.2,202.4,215.95,216.85,261.0,114.0,ZEEL
2021-02-26,205.0,208.55,200.0,200.85,201.0,261.0,114.0,ZEEL
2021-02-25,207.85,210.8,206.3,208.75,208.6,261.0,114.0,ZEEL
2021-02-24,203.55,208.8,202.5,205.95,205.6,261.0,114.0,ZEEL
2021-02-23,203.8,205.8,198.05,202.4,201.95,261.0,114.0,ZEEL
2021-02-22,209.0,209.6,200.25,201.0,201.8,261.0,114.0,ZEEL
2021-02-19,211.75,213.7,205.75,208.65,208.55,261.0,114.0,ZEEL
2021-02-18,214.95,217.9,211.0,211.8,211.75,261.0,114.0,ZEEL
2021-02-17,206.9,216.0,205.25,214.3,214.95,261.0,114.0,ZEEL
2021-02-16,213.5,213.75,202.85,206.45,206.1,261.0,114.0,ZEEL
2021-02-15,215.75,215.75,210.1,211.3,211.7,261.0,114.0,ZEEL
2021-02-12,215.95,218.4,212.0,212.35,212.5,261.0,114.0,ZEEL
2021-02-11,217.25,218.6,214.0,214.95,215.1,261.0,114.0,ZEEL
2021-02-10,217.5,220.3,215.0,217.0,217.25,261.0,114.0,ZEEL
2021-02-09,221.9,221.9,214.0,216.45,215.75,261.0,114.0,ZEEL
2021-02-08,220.0,222.4,210.8,220.3,219.75,261.0,114.0,ZEEL
2021-02-05,251.5,251.5,212.05,216.7,215.3,268.0,114.0,ZEEL
2021-02-04,242.8,261.0,242.0,249.55,249.45,268.0,114.0,ZEEL
2021-02-03,245.0,251.75,238.55,242.8,244.2,268.0,114.0,ZEEL
2021-02-02,228.0,247.7,227.5,244.9,242.9,268.0,114.0,ZEEL
2021-02-01,222.0,229.5,214.2,227.05,227.2,268.0,114.0,ZEEL
2021-01-29,223.7,229.0,217.75,219.45,220.0,281.9,114.0,ZEEL
2021-01-28,217.0,225.3,216.6,220.2,220.15,281.9,114.0,ZEEL
2021-01-27,224.0,224.75,218.25,221.9,221.1,281.9,114.0,ZEEL
2021-01-25,222.0,224.75,214.8,224.0,223.7,281.9,114.0,ZEEL
2021-01-22,225.5,226.65,217.7,218.95,219.3,304.0,114.0,ZEEL
2021-01-21,230.4,233.9,223.5,225.0,225.05,304.0,114.0,ZEEL
2021-01-20,224.8,231.3,223.75,228.2,228.6,304.0,114.0,ZEEL
2021-01-19,221.0,226.95,220.3,224.8,225.05,304.0,114.0,ZEEL
2021-01-18,225.9,225.9,214.35,217.3,218.0,304.0,114.0,ZEEL
2021-01-15,229.0,233.6,221.6,224.4,224.9,304.0,114.0,ZEEL
2021-01-14,229.0,231.45,226.2,229.95,229.35,304.0,114.0,ZEEL
2021-01-13,228.6,232.7,223.5,228.45,227.9,304.0,114.0,ZEEL
2021-01-12,225.0,229.7,223.7,226.0,226.15,304.0,114.0,ZEEL
2021-01-11,234.0,234.0,222.5,223.9,223.65,304.0,114.0,ZEEL
2021-01-08,221.85,236.85,220.7,230.45,231.15,304.0,114.0,ZEEL
2021-01-07,223.75,224.6,218.1,218.95,218.95,304.0,114.0,ZEEL
2021-01-06,222.5,225.3,217.0,220.75,221.2,304.0,114.0,ZEEL
2021-01-05,218.0,223.0,215.15,221.35,222.5,304.0,114.0,ZEEL
2021-01-04,226.9,228.2,216.0,219.15,219.05,304.0,114.0,ZEEL
2021-01-01,223.5,226.25,223.0,224.7,224.95,304.5,114.0,ZEEL
2020-12-31,219.0,226.6,217.25,223.75,223.5,304.5,114.0,ZEEL
2020-12-30,220.0,220.05,214.5,219.8,219.15,304.5,114.0,ZEEL
2020-12-29,221.2,223.3,216.35,217.9,218.15,304.5,114.0,ZEEL
2020-12-28,219.25,222.65,217.5,219.5,220.15,304.5,114.0,ZEEL
2020-12-24,219.0,222.45,215.5,216.85,217.3,304.9,114.0,ZEEL
2020-12-23,214.25,218.5,210.7,217.9,217.1,304.9,114.0,ZEEL
2020-12-22,214.25,216.9,202.0,215.0,214.55,304.9,114.0,ZEEL
2020-12-21,224.95,228.2,202.75,211.0,212.65,304.9,114.0,ZEEL
2020-12-18,227.5,230.85,216.8,224.75,225.25,304.9,114.0,ZEEL
2020-12-17,231.7,238.2,224.0,225.5,225.9,304.9,114.0,ZEEL
2020-12-16,232.0,236.9,228.75,231.1,231.9,304.9,114.0,ZEEL
2020-12-15,214.5,234.0,213.15,230.7,232.0,304.9,114.0,ZEEL
2020-12-14,215.0,217.8,213.5,215.3,215.4,304.9,114.0,ZEEL
2020-12-11,214.0,216.7,209.5,212.7,212.7,304.9,114.0,ZEEL
2020-12-10,213.45,213.9,208.25,212.5,212.5,304.9,114.0,ZEEL
2020-12-09,215.1,219.95,214.25,215.7,215.55,304.9,114.0,ZEEL
2020-12-08,216.65,217.9,208.3,212.8,212.75,304.9,114.0,ZEEL
2020-12-07,208.5,216.65,206.55,215.5,215.8,304.9,114.0,ZEEL
2020-12-04,206.0,212.3,205.5,206.75,206.85,307.0,114.0,ZEEL
2020-12-03,199.6,207.0,198.8,204.45,204.5,307.0,114.0,ZEEL
2020-12-02,195.6,200.0,193.85,196.95,197.75,307.0,114.0,ZEEL
2020-12-01,195.0,198.25,190.0,195.9,195.65,307.0,114.0,ZEEL
2020-11-27,190.8,201.0,190.05,191.3,192.75,354.9,114.0,ZEEL
2020-11-26,190.0,190.95,187.1,190.0,189.75,354.9,114.0,ZEEL
2020-11-25,189.85,193.5,187.0,187.85,188.4,354.9,114.0,ZEEL
2020-11-24,189.0,190.9,187.5,188.25,188.3,354.9,114.0,ZEEL
2020-11-23,187.0,188.0,183.75,187.5,187.2,354.9,114.0,ZEEL
